Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SEVERINO MICHAEL,Vice Chairman,2022-05-23,Option Exercise,108.99,79801,8697627,May 25 04:58 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-23,Sale,150.9,79801,12041780,May 25 04:58 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-17,Option Exercise,88.38,100000,8837929,May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-17,Sale,154.04,100000,15404400,May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-16,Option Exercise,66.5,100000,6650277,May 18 05:12 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-05-16,Option Exercise,54.86,83960,4606046,May 18 05:12 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-05-16,Sale,155,83960,13013800,May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-16,Sale,154.45,100000,15445089,May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-10,Option Exercise,59.6,100000,5960468,May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-10,Sale,152.28,100000,15227966,May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-09,Option Exercise,56.21,100000,5621478,May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-09,Sale,150.28,100000,15027710,May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-06,Option Exercise,54.55,100000,5454790,May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-06,Sale,150.81,100000,15080612,May 10 05:05 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-24,Option Exercise,58.88,27690,1630387,Mar 25 05:09 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-24,Sale,159.2,27690,4408375,Mar 25 05:09 PM
Durkin Brian L,"VP, Controller",2022-03-09,Option Exercise,79.02,11682,923112,Mar 11 05:05 PM
Durkin Brian L,"VP, Controller",2022-03-09,Sale,150.01,18628,2794301,Mar 11 05:05 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-03-01,Sale,148.26,15000,2223836,Mar 01 06:14 PM
Michael Robert A.,Vice Chairman,2022-03-01,Sale,148.25,43105,6390247,Mar 01 06:07 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-03-01,Sale,147.29,25000,3682189,Mar 02 05:03 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-01,Sale,148.25,21488,3185599,Mar 01 06:08 PM
Strom Carrie C,SVP & Pres Global Allerg Aesth,2022-02-07,Sale,141.17,2396,338243,Feb 08 05:13 PM
Durkin Brian L,"VP, Controller",2021-12-20,Option Exercise,61.36,7180,440565,Dec 21 05:29 PM
Durkin Brian L,"VP, Controller",2021-12-20,Sale,128.51,11790,1515133,Dec 21 05:29 PM
Schumacher Laura J,Vice Chairman,2021-12-17,Option Exercise,57.14,181670,10381361,Dec 21 05:21 PM
Schumacher Laura J,Vice Chairman,2021-12-17,Sale,130.24,181670,23660678,Dec 21 05:21 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2021-12-15,Sale,128,2152,275456,Dec 17 05:01 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-12-13,Sale,125.85,6458,812739,Dec 14 05:01 PM
GONZALEZ RICHARD A,Chairman of the Board and CEO,2021-12-09,Option Exercise,61.36,174100,10682776,Dec 10 05:02 PM
GONZALEZ RICHARD A,Chairman of the Board and CEO,2021-12-09,Sale,123.23,174100,21453641,Dec 10 05:02 PM
RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2021-12-06,Option Exercise,58.88,50350,2964608,Dec 08 05:01 PM
RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2021-12-06,Sale,120,50350,6042000,Dec 08 05:01 PM
AUSTIN ROXANNE S,Director,2021-11-03,Sale,117.23,20000,2344600,Nov 04 05:35 PM
AUSTIN ROXANNE S,Director,2021-11-02,Sale,116.38,51844,6033384,Nov 04 05:35 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-08-23,Option Exercise,114.36,7080,809669,Aug 25 06:08 PM
Strom Carrie C,SVP & Pres Global Allerg Aesth,2021-08-23,Sale,120,5057,606840,Aug 25 06:08 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-08-23,Sale,120,13080,1569600,Aug 25 06:08 PM
