Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SUTTER MARTIN P,Director,2022-05-18,Sale,244.4,2000,488798,May 19 04:49 PM
SUTTER MARTIN P,Director,2022-05-17,Sale,258.01,2000,516020,May 19 04:49 PM
Trapp Todd A,"VICE PRESIDENT, CFO",2022-04-04,Sale,333,1000,333000,Apr 06 04:26 PM
Weber David M,CHIEF OPERATING OFFICER,2022-03-31,Sale,340,7500,2550000,Apr 04 05:07 PM
SUTTER MARTIN P,Director,2022-02-17,Sale,314.71,4000,1258852,Feb 17 06:13 PM
Weber David M,Chief Operating Officer,2022-02-16,Sale,325,7500,2437500,Feb 18 04:10 PM
SUTTER MARTIN P,Director,2022-02-16,Sale,308.66,2000,617322,Feb 17 06:12 PM
SUTTER MARTIN P,Director,2022-02-15,Sale,303.65,2000,607301,Feb 17 06:11 PM
Weber David M,Chief Operating Officer,2022-02-09,Option Exercise,21.55,3112,67064,Feb 09 05:43 PM
Weber David M,Chief Operating Officer,2022-02-09,Sale,310.19,3112,965311,Feb 09 05:43 PM
Weber David M,Chief Operating Officer,2022-02-08,Option Exercise,21.55,7413,159750,Feb 09 05:43 PM
Weber David M,Chief Operating Officer,2022-02-08,Sale,302.9,7413,2245423,Feb 09 05:43 PM
Weber David M,Chief Operating Officer,2022-02-07,Option Exercise,21.55,300,6465,Feb 09 05:43 PM
Weber David M,Chief Operating Officer,2022-02-07,Sale,300.25,300,90076,Feb 09 05:43 PM
Trapp Todd A,"Vice President, CFO",2022-01-05,Sale,359.43,1000,359430,Jan 07 04:27 PM
SUTTER MARTIN P,Director,2021-11-18,Sale,338.59,15000,5078787,Nov 18 04:45 PM
SUTTER MARTIN P,Director,2021-11-17,Sale,344.95,3750,1293573,Nov 18 04:45 PM
SUTTER MARTIN P,Director,2021-11-16,Sale,351.85,3750,1319448,Nov 18 04:45 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-23,Option Exercise,23.15,3492,80840,Aug 25 04:37 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-23,Sale,350,3492,1222200,Aug 25 04:37 PM
THOMAS PAUL,Director,2021-08-18,Sale,330.77,663,219301,Aug 19 04:17 PM
SUTTER MARTIN P,Director,2021-08-18,Sale,332.9,3750,1248373,Aug 19 04:16 PM
SUTTER MARTIN P,Director,2021-08-17,Sale,326.73,3750,1225250,Aug 19 04:16 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-09,Option Exercise,23.15,7037,162907,Aug 10 05:07 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-09,Sale,350,7037,2462950,Aug 10 05:07 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-06,Option Exercise,23.15,24471,566504,Aug 10 05:07 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-06,Sale,350,24471,8564850,Aug 10 05:07 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-05,Option Exercise,23.15,25000,578750,Aug 06 04:16 PM
MINOGUE MICHAEL R,"Chairman, President, CEO",2021-08-05,Sale,341.18,25000,8529582,Aug 06 04:16 PM
