Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
STARKS DANIEL J,Director,2022-07-26,Sale,109.14,50000,5456994,Jul 28 05:20 PM
Mateus Fernando,SENIOR VICE PRESIDENT,2022-07-26,Sale,109.05,2457,267943,Jul 27 05:45 PM
Tyler Julie L.,SENIOR VICE PRESIDENT,2022-07-25,Sale,109.09,253,27600,Jul 27 05:43 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-05-04,Option Exercise,44.4,24000,1065600,May 05 06:12 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-05-04,Sale,113,24000,2712103,May 05 06:12 PM
STARKS DANIEL J,Director,2022-05-03,Sale,113.22,50000,5661048,May 05 05:15 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2022-03-08,Sale,117,4000,468001,Mar 10 05:25 PM
Earnhardt Lisa D,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.15,943,111416,Mar 02 07:38 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,1053,124412,Mar 02 07:36 PM
Calamari Christopher J.,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,706,83414,Mar 02 07:33 PM
ALLEN HUBERT L,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.17,1450,171348,Mar 02 07:29 PM
Ahlberg Gregory A,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.15,1099,129847,Mar 02 07:27 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.1,964,113849,Mar 02 08:07 PM
Watkin Jared,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.1,1038,122589,Mar 02 08:02 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.13,456,53866,Mar 02 08:00 PM
Salvadori Daniel Gesua Sive,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.17,1550,183165,Mar 02 07:58 PM
Morrone Louis H.,SENIOR VICE PRESIDENT,2022-03-01,Sale,118.16,656,77513,Mar 02 07:54 PM
MANNING JOSEPH J,EXECUTIVE VICE PRESIDENT,2022-03-01,Sale,118.16,779,92047,Mar 02 07:51 PM
McKinstry Nancy,Director,2022-02-24,Option Exercise,29.84,6280,187394,Feb 25 05:23 PM
McKinstry Nancy,Director,2022-02-24,Sale,116.42,1614,187910,Feb 25 05:23 PM
Tyler Julie L.,SENIOR VICE PRESIDENT,2022-02-22,Sale,119.29,462,55114,Feb 23 08:31 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-27,Option Exercise,47,3000,141000,Dec 28 05:41 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-27,Sale,142.5,3000,427500,Dec 28 05:41 PM
Salvadori Daniel Gesua Sive,EXECUTIVE VICE PRESIDENT,2021-12-23,Option Exercise,41.81,55000,2299374,Dec 28 05:20 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-23,Option Exercise,40.38,13000,525000,Dec 28 05:41 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-23,Sale,140,13000,1820000,Dec 28 05:41 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-12-23,Sale,140,4700,658023,Dec 28 05:39 PM
Salvadori Daniel Gesua Sive,EXECUTIVE VICE PRESIDENT,2021-12-23,Sale,140,58501,8190140,Dec 28 05:20 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-17,Option Exercise,47,7500,352500,Dec 21 05:34 PM
Morrone Louis H.,SENIOR VICE PRESIDENT,2021-12-17,Option Exercise,48.34,9988,482820,Dec 21 05:38 PM
Morrone Louis H.,SENIOR VICE PRESIDENT,2021-12-17,Sale,137.54,9988,1373750,Dec 21 05:38 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-12-17,Sale,137.54,7500,1031550,Dec 21 05:34 PM
CAPEK JOHN M,EXECUTIVE VICE PRESIDENT,2021-12-13,Option Exercise,34.94,149600,5227024,Dec 15 06:32 PM
Salvadori Daniel Gesua Sive,EXECUTIVE VICE PRESIDENT,2021-12-13,Option Exercise,41.81,55000,2299374,Dec 15 06:34 PM
