Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
DOLUCA TUNC,Director,2022-08-01,Sale,170.34,7000,1192372,Aug 02 04:22 PM
DOLUCA TUNC,Director,2022-07-28,Sale,170,9200,1564000,Jul 29 04:16 PM
DOLUCA TUNC,Director,2022-07-19,Sale,160,2300,368000,Jul 20 04:09 PM
DOLUCA TUNC,Director,2022-07-08,Sale,150,2400,360000,Jul 11 04:45 PM
EVANS BRUCE R,Director,2022-06-17,Buy,144.16,3650,526184,Jun 21 05:52 PM
DOLUCA TUNC,Director,2022-06-01,Sale,169.18,4700,795146,Jun 02 04:06 PM
CHAMPY JAMES,Director,2022-05-31,Option Exercise,46.48,11860,551253,Jun 01 04:22 PM
Frank Edward H.,Director,2022-05-31,Sale,166.9,1435,239502,Jun 01 04:30 PM
CHAMPY JAMES,Director,2022-05-31,Sale,169,11860,2004340,Jun 01 04:22 PM
Mahendra-Rajah Prashanth,"EVP, Finance & CFO",2022-05-19,Sale,163.14,3901,636420,May 20 04:42 PM
DOLUCA TUNC,Director,2022-05-02,Sale,155.34,2400,372816,May 03 04:19 PM
DOLUCA TUNC,Director,2022-04-01,Sale,166.5,4700,782550,Apr 04 04:43 PM
ROCHE VINCENT,Chair & CEO,2022-03-29,Option Exercise,0,6592,0,Mar 31 05:12 PM
Sondel Michael,CAO (principal acct. officer),2022-03-29,Option Exercise,0,277,0,Mar 31 05:02 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-29,Option Exercise,0,2072,0,Mar 31 04:42 PM
DOLUCA TUNC,Director,2022-03-29,Sale,170,4600,782000,Mar 30 06:04 PM
Sacks Anelise Angelino,"SVP, Chief Customer Officer",2022-03-15,Option Exercise,0,572,0,Mar 17 06:13 PM
Sondel Michael,CAO (principal acct. officer),2022-03-15,Option Exercise,0,632,0,Mar 17 06:07 PM
ROCHE VINCENT,President & CEO,2022-03-15,Option Exercise,0,6842,0,Mar 17 05:59 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-15,Option Exercise,0,1779,0,Mar 17 05:45 PM
ROCHE VINCENT,President & CEO,2022-03-13,Option Exercise,0,6897,0,Mar 15 05:38 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-13,Option Exercise,0,1814,0,Mar 15 05:27 PM
Sondel Michael,CAO (principal acct. officer),2022-03-13,Option Exercise,0,524,0,Mar 15 04:18 PM
ROCHE VINCENT,President & CEO,2022-03-10,Option Exercise,0,4840,0,Mar 14 07:53 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-10,Option Exercise,0,1320,0,Mar 14 07:46 PM
Sondel Michael,CAO (principal acct. officer),2022-03-10,Option Exercise,0,431,0,Mar 14 07:41 PM
SICCHITANO KENTON J,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 07:02 PM
EVANS BRUCE R,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 06:52 PM
DOLUCA TUNC,Director,2022-03-09,Option Exercise,0,685,0,Mar 11 06:19 PM
Wee Susie,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 06:16 PM
STATA RAY,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 06:12 PM
JOHNSON MERCEDES,Director,2022-03-09,Option Exercise,0,685,0,Mar 11 06:08 PM
Golz Karen,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 05:58 PM
GLIMCHER LAURIE H M.D.,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 05:55 PM
Frank Edward H.,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 05:51 PM
Chandrakasan Anantha P.,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 05:42 PM
CHAMPY JAMES,Director,2022-03-09,Option Exercise,0,1435,0,Mar 11 05:38 PM
DOLUCA TUNC,Director,2022-03-01,Sale,159.76,4700,750872,Mar 02 05:32 PM
DOLUCA TUNC,Director,2022-02-01,Sale,164.1,4700,771270,Feb 02 05:22 PM
ROCHE VINCENT,President & CEO,2021-12-01,Option Exercise,54.93,8536,468882,Dec 02 04:46 PM
ROCHE VINCENT,President & CEO,2021-12-01,Sale,182.41,8536,1557052,Dec 02 04:46 PM
DOLUCA TUNC,Director,2021-12-01,Sale,183.1,9100,1666169,Dec 03 04:11 PM
DOLUCA TUNC,Director,2021-11-22,Sale,190,1000,190000,Nov 23 04:14 PM
DOLUCA TUNC,Director,2021-11-19,Sale,190,1000,190000,Nov 22 04:35 PM
DOLUCA TUNC,Director,2021-11-04,Sale,180,2100,378000,Nov 05 04:32 PM
