Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Coletti Julie Ann,"EVP, Chief Legal & Regulatory",2022-07-20,Option Exercise,0,706,0,Jul 22 04:15 PM
Thaler Warren S,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:12 PM
SIEGEL SUSAN E,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:11 PM
SANTORA GREG J,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:09 PM
Saia Andrea Lynn,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:07 PM
Myong Anne,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:05 PM
MORROW GEORGE J,Director,2022-05-18,Option Exercise,0,524,0,May 19 06:03 PM
LARKIN C RAYMOND JR,Director,2022-05-18,Option Exercise,0,699,0,May 19 06:01 PM
LACOB JOSEPH,Director,2022-05-18,Option Exercise,0,524,0,May 19 05:59 PM
Dallas Kevin J,Director,2022-05-18,Option Exercise,0,524,0,May 19 05:57 PM
LARKIN C RAYMOND JR,Director,2022-05-13,Buy,264.42,1000,264420,May 13 05:33 PM
HOGAN JOSEPH M,President and CEO,2022-05-04,Buy,298.48,6700,1999842,May 05 07:12 PM
Wright Emory,"EVP, Global Operations",2022-02-20,Option Exercise,0,10813,0,Feb 24 07:11 PM
Morici John,EVP & Chief Financial Officer,2022-02-20,Option Exercise,0,12183,0,Feb 24 07:10 PM
HOGAN JOSEPH M,President and CEO,2022-02-20,Option Exercise,0,59836,0,Feb 24 07:08 PM
Hockridge Stuart A,EVP Global HR,2022-02-20,Option Exercise,0,9403,0,Feb 24 07:06 PM
Coletti Julie Ann,"EVP, Chief Legal & Regulatory",2022-02-20,Option Exercise,0,927,0,Feb 24 07:05 PM
Hockridge Stuart A,SVP Global HR,2021-12-27,Option Exercise,0,1199,0,Dec 28 05:25 PM
Thaler Warren S,Director,2021-11-10,Sale,703.06,5000,3515294,Nov 12 08:23 PM
Morici John,Chief Financial Officer,2021-11-08,Sale,699.08,3000,2097240,Nov 09 06:01 PM
Morici John,Chief Financial Officer,2021-09-20,Option Exercise,0,1573,0,Sep 22 04:48 PM
Thaler Warren S,Director,2021-08-24,Sale,711.54,5000,3557723,Aug 25 09:02 PM
Coletti Julie Ann,"SVP, Chief Legal & Regulatory",2021-08-04,Sale,710,782,555220,Aug 06 04:51 PM
Thaler Warren S,Director,2021-08-03,Sale,701.9,5000,3509481,Aug 03 06:36 PM
SANTORA GREG J,Director,2021-08-03,Sale,701.34,2500,1753338,Aug 04 04:48 PM
HOGAN JOSEPH M,President and CEO,2021-08-03,Sale,699.54,66667,46636436,Aug 04 04:47 PM
Wright Emory,"SVP, Global Operations",2021-08-02,Sale,706.58,6404,4524913,Aug 03 06:37 PM
MORROW GEORGE J,Director,2021-08-02,Sale,707.34,5000,3536682,Aug 03 04:36 PM
Hockridge Stuart A,SVP Global HR,2021-08-02,Sale,703.66,9286,6534187,Aug 03 04:34 PM
LARKIN C RAYMOND JR,Director,2021-07-29,Sale,675,2500,1687500,Aug 02 04:28 PM
Coletti Julie Ann,"SVP, Chief Legal & Regulatory",2021-07-20,Option Exercise,0,706,0,Jul 22 08:00 PM
LARKIN C RAYMOND JR,Director,2021-07-14,Sale,650,2500,1625000,Jul 14 05:03 PM
