Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
GRASBY PAUL DARREN,EVP & CSO,2022-07-12,Option Exercise,30.15,22989,693022,Jul 14 04:10 PM
PENG VICTOR,"President, AECG",2022-07-12,Option Exercise,0,30489,0,Jul 14 04:14 PM
GRASBY PAUL DARREN,EVP & CSO,2022-07-12,Sale,76.99,32694,2517111,Jul 14 04:10 PM
WOLIN HARRY A,"SVP, GC & Corporate Secretary",2022-06-15,Option Exercise,1.84,325143,598263,Jun 17 04:11 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-05-31,Sale,102.44,20000,2048800,Jun 02 04:11 PM
HOUSEHOLDER JOSEPH A,Director,2022-05-19,Option Exercise,0,2578,0,May 20 04:39 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-05-18,Option Exercise,12.83,28966,371634,May 20 04:23 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-05-18,Sale,100,28966,2896600,May 20 04:23 PM
Bergman Rick,"EVP, Computing & Graphics",2022-05-17,Sale,97.94,2000,195880,May 19 04:13 PM
GRASBY PAUL DARREN,EVP & CSO,2022-05-04,Sale,98.26,15000,1473900,May 06 04:17 PM
PENG VICTOR,"President, AECG",2022-04-29,Option Exercise,0,55924,0,May 03 04:19 PM
SMITH DARLA M,Chief Accounting Officer,2022-04-15,Option Exercise,0,628,0,Apr 19 04:21 PM
CALDWELL JOHN EDWARD,Director,2022-04-01,Sale,109.28,10000,1092800,Apr 05 04:18 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-03-30,Option Exercise,6.98,20180,140856,Apr 01 04:27 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-03-30,Sale,125,20180,2522500,Apr 01 04:27 PM
PENG VICTOR,"President, AECG",2022-03-22,Option Exercise,0,104001,0,Mar 24 04:18 PM
PENG VICTOR,"President, AECG",2022-03-18,Option Exercise,0,148923,0,Mar 22 04:13 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-03-01,Option Exercise,12.83,28964,371608,Mar 03 04:14 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-03-01,Sale,122.26,28964,3541139,Mar 03 04:14 PM
Su Lisa T,"Chairman, President & CEO",2022-02-15,Option Exercise,2.92,100000,292000,Feb 17 05:35 PM
GRASBY PAUL DARREN,EVP & CSO,2022-02-15,Option Exercise,0,17191,0,Feb 17 04:48 PM
Bergman Rick,"EVP, Computing & Graphics",2022-02-15,Sale,117.12,2000,234240,Feb 17 04:41 PM
Su Lisa T,"Chairman, President & CEO",2022-02-15,Sale,120,100000,12000000,Feb 17 05:35 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-02-10,Option Exercise,6.98,20180,140856,Feb 14 04:19 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-02-10,Sale,128.63,20180,2595753,Feb 14 04:19 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-02-08,Option Exercise,12.83,28964,371608,Feb 10 04:10 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2022-02-08,Sale,122.25,28964,3540849,Feb 10 04:10 PM
GRASBY PAUL DARREN,EVP & CSO,2022-02-02,Sale,130,9852,1280760,Feb 04 04:24 PM
CALDWELL JOHN EDWARD,Director,2022-01-03,Sale,151.25,10000,1512500,Jan 05 04:10 PM
Papermaster Mark D,Chief Technology Officer & EVP,2021-12-15,Option Exercise,1.84,60221,110807,Dec 17 04:24 PM
Papermaster Mark D,Chief Technology Officer & EVP,2021-12-15,Sale,135.31,60221,8148485,Dec 17 04:24 PM
Su Lisa T,President & CEO,2021-12-07,Option Exercise,2.92,125000,365000,Dec 09 04:16 PM
Su Lisa T,President & CEO,2021-12-07,Sale,143.72,125000,17964642,Dec 09 04:16 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2021-11-30,Option Exercise,6.98,74021,516667,Dec 02 04:23 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2021-11-30,Sale,162.26,74021,12010412,Dec 02 04:23 PM
