Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Duda Kenneth,CTO and SVP Software Eng.,2022-07-11,Option Exercise,7.67,20000,153350,Jul 13 07:18 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-07-11,Sale,102.28,20000,2045674,Jul 13 07:18 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-07-11,Sale,102.28,19500,1994507,Jul 13 07:18 PM
Taxay Marc,SVP and General Counsel,2022-07-01,Option Exercise,59.28,1040,61647,Jul 06 07:40 PM
McCool John F,Chief Platform Officer,2022-07-01,Option Exercise,59.19,996,58958,Jul 06 07:40 PM
Taxay Marc,SVP and General Counsel,2022-07-01,Sale,93.14,1040,96866,Jul 06 07:40 PM
McCool John F,Chief Platform Officer,2022-07-01,Sale,93.14,996,92767,Jul 06 07:40 PM
Giancarlo Charles H,Director,2022-07-01,Sale,92.7,6660,617366,Jul 06 07:40 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-06-10,Option Exercise,7.67,20000,153350,Jun 14 08:24 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-06-10,Sale,95.66,19500,1865289,Jun 14 08:24 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-06-10,Sale,95.66,20000,1913161,Jun 14 08:24 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-08,Sale,103.8,12988,1348133,Jun 09 08:03 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-07,Sale,103.69,100000,10368693,Jun 09 08:03 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-06,Sale,103.88,100000,10388318,Jun 07 08:09 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-03,Sale,103.47,100000,10346689,Jun 07 08:09 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-02,Sale,104.56,100000,10455731,Jun 03 07:30 PM
Brennan Ita M,"Senior Vice President, CFO",2022-06-01,Option Exercise,14.74,14800,218084,Jun 03 07:30 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-01,Option Exercise,58.57,1500,87860,Jun 03 07:30 PM
Taxay Marc,SVP and General Counsel,2022-06-01,Option Exercise,59.28,1040,61647,Jun 03 07:30 PM
McCool John F,Chief Platform Officer,2022-06-01,Option Exercise,59.2,1000,59202,Jun 03 07:30 PM
Giancarlo Charles H,Director,2022-06-01,Sale,102.11,6660,680035,Jun 03 07:30 PM
Brennan Ita M,"Senior Vice President, CFO",2022-06-01,Sale,102.14,14800,1511685,Jun 03 07:30 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-01,Sale,101.95,1500,152921,Jun 03 07:30 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-06-01,Sale,102.09,100000,10209337,Jun 03 07:30 PM
Taxay Marc,SVP and General Counsel,2022-06-01,Sale,102.32,6779,693636,Jun 03 07:30 PM
McCool John F,Chief Platform Officer,2022-06-01,Sale,103.5,1000,103500,Jun 03 07:30 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-31,Sale,103.23,100000,10323317,Jun 01 08:41 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-27,Sale,105.26,100000,10526226,Jun 01 08:41 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-26,Sale,102.95,100000,10295328,May 27 06:40 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-25,Sale,100.6,100000,10060092,May 27 06:40 PM
McCool John F,Chief Platform Officer,2022-05-24,Sale,97.93,7621,746330,May 25 07:46 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-24,Sale,98.99,100000,9898893,May 25 07:45 PM
Battles Kelly Bodnar,Director,2022-05-24,Sale,98.5,560,55159,May 25 07:45 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-23,Option Exercise,58.57,3000,175702,May 25 07:45 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-23,Sale,101.91,3000,305722,May 25 07:45 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-23,Sale,101.89,100000,10189480,May 25 07:45 PM
Battles Kelly Bodnar,Director,2022-05-20,Option Exercise,0,692,0,May 24 06:53 PM
CHEW LEWIS,Director,2022-05-20,Option Exercise,0,616,0,May 24 06:54 PM
Brennan Ita M,"Senior Vice President, CFO",2022-05-20,Option Exercise,0,13614,0,May 24 06:54 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-05-20,Option Exercise,0,5000,0,May 24 06:53 PM
Sadana Anshul,"SVP, Chief Operating Officer",2022-05-20,Option Exercise,0,24570,0,May 24 06:55 PM
McCool John F,Chief Platform Officer,2022-05-20,Option Exercise,0,15119,0,May 24 06:55 PM
MATHER ANN,Director,2022-05-20,Option Exercise,0,876,0,May 24 06:55 PM
Giancarlo Charles H,Director,2022-05-20,Option Exercise,0,876,0,May 24 06:54 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-05-20,Option Exercise,0,14049,0,May 24 06:54 PM
Ullal Jayshree,President and CEO,2022-05-20,Option Exercise,0,29701,0,May 24 06:56 PM
Theodosopoulos Nikos,Director,2022-05-20,Option Exercise,0,692,0,May 24 06:56 PM
TEMPLETON MARK B,Director,2022-05-20,Option Exercise,0,692,0,May 24 06:56 PM
Taxay Marc,SVP and General Counsel,2022-05-20,Option Exercise,0,11389,0,May 24 06:56 PM
Scheinman Daniel,Director,2022-05-20,Option Exercise,0,876,0,May 24 06:55 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-05-13,Option Exercise,7.67,20000,153350,May 17 07:25 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-05-13,Sale,107.74,16000,1723773,May 17 07:25 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-05-13,Sale,107.74,20000,2154714,May 17 07:25 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-05-10,Sale,104.81,3500,366849,May 12 08:55 PM
MATHER ANN,Director,2022-05-05,Option Exercise,7.67,1668,12789,May 09 08:24 PM
MATHER ANN,Director,2022-05-05,Sale,113.4,1668,189151,May 09 08:24 PM
McCool John F,Chief Platform Officer,2022-05-02,Option Exercise,59.2,1000,59202,May 04 05:34 PM
Taxay Marc,SVP and General Counsel,2022-05-02,Option Exercise,59.28,1044,61891,May 04 05:35 PM
McCool John F,Chief Platform Officer,2022-05-02,Sale,115.71,1000,115710,May 04 05:34 PM
Giancarlo Charles H,Director,2022-05-02,Sale,116.57,6660,776351,May 04 05:34 PM
Taxay Marc,SVP and General Counsel,2022-05-02,Sale,115.71,1044,120801,May 04 05:35 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-04-11,Option Exercise,5.62,40000,224900,Apr 13 05:28 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-04-11,Sale,128.31,40000,5132370,Apr 13 05:28 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-04-11,Sale,128.29,3500,449005,Apr 13 05:28 PM
McCool John F,Chief Platform Officer,2022-04-01,Option Exercise,52.69,1328,69976,Apr 05 08:35 PM
Taxay Marc,SVP and General Counsel,2022-04-01,Option Exercise,59.28,1040,61647,Apr 05 08:35 PM
McCool John F,Chief Platform Officer,2022-04-01,Sale,140.33,1328,186358,Apr 05 08:35 PM
Giancarlo Charles H,Director,2022-04-01,Sale,138.84,6660,924672,Apr 05 08:34 PM
Taxay Marc,SVP and General Counsel,2022-04-01,Sale,140.33,1040,145943,Apr 05 08:35 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-03-14,Sale,117.35,3500,410713,Mar 15 06:46 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-03-10,Option Exercise,5.62,40000,224900,Mar 11 07:12 PM
Duda Kenneth,CTO and SVP Software Eng.,2022-03-10,Sale,120.25,40000,4810157,Mar 11 07:12 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-03-09,Sale,119.85,100000,11985033,Mar 10 07:37 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-03-08,Sale,114.45,100000,11444851,Mar 09 09:25 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-03-07,Sale,115.74,100000,11573751,Mar 09 09:25 PM
BECHTOLSHEIM ANDREAS,Chief Development Officer,2022-03-04,Sale,118.51,100000,11850562,Mar 07 05:26 PM
