Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-07-29,Option Exercise,36.45,20000,729000,Aug 02 07:37 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-07-29,Sale,76.93,20000,1538614,Aug 02 07:37 AM
Doherty William J,"SR VP & GGM, AICC",2021-12-07,Option Exercise,33.71,165800,5589842,Dec 07 05:21 PM
Doherty William J,"SR VP & GGM, AICC",2021-12-07,Sale,83.77,165800,13888983,Dec 07 05:21 PM
NORWITT RICHARD ADAM,President & CEO,2021-12-06,Option Exercise,28.98,350000,10143000,Dec 07 05:27 PM
NORWITT RICHARD ADAM,President & CEO,2021-12-06,Sale,82.33,217913,17941235,Dec 07 05:27 PM
NORWITT RICHARD ADAM,President & CEO,2021-12-03,Option Exercise,28.98,850000,24633000,Dec 07 05:27 PM
NORWITT RICHARD ADAM,President & CEO,2021-12-03,Sale,81.48,547087,44578290,Dec 07 05:27 PM
Gavelle Jean-Luc,Senior Vice President,2021-11-23,Option Exercise,38.31,54800,2099388,Nov 26 02:03 PM
Gavelle Jean-Luc,Senior Vice President,2021-11-23,Sale,84.53,54800,4632206,Nov 26 02:03 PM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2021-09-07,Option Exercise,29.72,40000,1188800,Sep 08 09:10 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2021-09-07,Sale,76.25,27500,2096958,Sep 08 09:10 AM
Gavelle Jean-Luc,Senior Vice President,2021-09-02,Option Exercise,28.98,60000,1738800,Sep 03 09:02 AM
Gavelle Jean-Luc,Senior Vice President,2021-09-02,Sale,76.58,60000,4595034,Sep 03 09:02 AM
Booker Martin,"VP & Grp General Mgr, AIPG",2021-08-27,Option Exercise,28.98,140000,4057200,Aug 30 03:14 PM
Booker Martin,"VP & Grp General Mgr, AIPG",2021-08-27,Sale,76.29,140000,10680852,Aug 30 03:14 PM
Silverman David M,"Senior VP, Human Resources",2021-08-16,Option Exercise,23.85,87078,2076810,Aug 17 10:32 AM
Silverman David M,"Senior VP, Human Resources",2021-08-16,Sale,74.05,80078,5929624,Aug 17 10:32 AM
Silverman David M,"Senior VP, Human Resources",2021-08-13,Option Exercise,23.85,32922,785190,Aug 17 10:32 AM
Silverman David M,"Senior VP, Human Resources",2021-08-13,Sale,74,32922,2436284,Aug 17 10:32 AM
WALTER LUC,SR VP & GGM MIL & AERO OPS,2021-08-06,Option Exercise,28.99,82400,2388776,Aug 09 01:25 PM
WALTER LUC,SR VP & GGM MIL & AERO OPS,2021-08-06,Sale,73.59,82400,6063576,Aug 09 01:25 PM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2021-08-02,Option Exercise,36.45,40000,1458000,Aug 03 10:23 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2021-08-02,Sale,72.61,40000,2904492,Aug 03 10:23 AM
