Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
ZERZA ARMIN,Chief Financial Officer,2022-06-01,Sale,77.54,3295,255495,Jun 03 04:14 PM
MORGADO ROBERT J,Director,2022-05-11,Option Exercise,14.38,44000,632698,May 12 04:17 PM
YANG JESSE,Chief Accounting Officer,2022-05-05,Sale,78.68,10812,850639,May 09 05:32 PM
YANG JESSE,Chief Accounting Officer,2022-03-15,Sale,79.54,2072,164798,Mar 17 07:04 PM
Alegre Daniel,President and COO,2022-03-14,Sale,79.66,14563,1160089,Mar 16 07:08 PM
Hartong Hendrik III,Director,2022-01-18,Sale,81.79,74,6052,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-12-21,Buy,63.01,19,1197,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-12-16,Buy,61.28,74,4535,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-12-14,Buy,59.41,19,1129,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-12-13,Buy,58.7,55,3228,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-11-30,Buy,59.16,63,3727,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-11-23,Buy,61.88,65,4022,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-30,Sale,77.66,58,4504,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-28,Sale,76.03,69,5246,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-24,Sale,75.01,78,5851,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-23,Sale,74.91,77,5768,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-21,Buy,74.42,25,1860,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-14,Buy,78.27,6,470,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-13,Buy,78.46,47,3688,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-09,Buy,78.1,44,3436,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-09-07,Buy,78.63,62,4875,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-08-31,Buy,82.75,54,4468,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-08-30,Buy,80.75,6,484,Mar 23 03:58 PM
Hartong Hendrik III,Director,2021-08-27,Buy,82.39,38,3131,Mar 23 03:58 PM
NOLAN PETER J,Director,2021-08-09,Buy,81.93,3950,323608,Aug 11 07:01 PM
NOLAN PETER J,Director,2021-08-06,Buy,81.58,8300,677148,Aug 09 07:03 PM
NOLAN PETER J,Director,2021-08-05,Buy,80.24,12465,1000172,Aug 09 07:03 PM
