Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Alford Bradley A,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 08:20 PM
STEWART JULIA A,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 08:04 PM
HICKS KEN C,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 08:00 PM
Sullivan Martha N.,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 07:57 PM
Anderson Anthony,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 07:54 PM
Lopez Andres Alberto,Director,2022-05-01,Option Exercise,182.8,792,144778,May 03 07:49 PM
Siewert Patrick,Director,2022-05-01,Option Exercise,182.8,792,144778,May 04 10:16 AM
Barrenechea Mark J,Director,2022-04-28,Option Exercise,181.55,792,143788,Apr 29 03:19 PM
Butier Mitchell R,Chairman & CEO,2022-03-01,Option Exercise,170.6,83660,14272396,Mar 03 07:38 PM
Bondar Lori J,"VP, Ctrlr, Treasurer & CAO",2022-03-01,Option Exercise,170.6,7141,1218255,Mar 03 08:36 PM
Baker-Nel Deena,VP & Chief HR Officer,2022-03-01,Option Exercise,170.6,5844,996986,Mar 03 08:31 PM
Colisto Nicholas,VP & Chief Information Officer,2022-03-01,Option Exercise,170.6,6170,1052602,Mar 03 08:27 PM
Lovins Gregory,SVP and CFO,2022-03-01,Option Exercise,170.6,22169,3782031,Mar 03 08:22 PM
STANDER DEON,President & COO,2022-03-01,Option Exercise,170.6,11650,1987490,Mar 03 08:18 PM
Walker Ignacio J,VP and Chief Legal Officer,2022-03-01,Option Exercise,170.6,5749,980779,Mar 03 08:04 PM
Alford Bradley A,Director,2021-11-05,Option Exercise,31.87,6318,201355,Nov 08 05:35 PM
Alford Bradley A,Director,2021-11-05,Sale,225.58,6318,1425245,Nov 08 05:35 PM
Baker-Nel Deena,VP & Chief HR Officer,2021-10-29,Sale,217,1400,303800,Nov 01 05:32 PM
Walker Ignacio J,VP and Chief Legal Officer,2021-09-03,Sale,226.66,477,108117,Sep 03 05:14 PM
Lovins Gregory,SVP and CFO,2021-09-01,Option Exercise,225.2,1453,327216,Sep 03 05:20 PM
Walker Ignacio J,VP and Chief Legal Officer,2021-09-01,Option Exercise,225.2,866,195023,Sep 03 05:14 PM
