Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Barry Corie S,CEO,2022-07-11,Sale,71.22,56,3988,Jul 12 04:43 PM
Barry Corie S,CEO,2022-06-14,Sale,70,4388,307173,Jun 15 04:23 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-06-01,Sale,80.68,1318,106340,Jun 02 05:42 PM
Irvin Mark A,Chief Supply Chain Officer,2022-06-01,Sale,80.68,1068,86169,Jun 02 05:42 PM
Tilzer Brian A,Chief Digital & Tech Officer,2022-06-01,Sale,80.68,3746,302239,Jun 02 05:42 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-06-01,Sale,80.68,1905,153701,Jun 02 05:42 PM
Watson Mathew,"SVP, Finance-Controller & CAO",2022-06-01,Sale,80.68,1646,132804,Jun 02 05:42 PM
Peterson Allison,Chief Customer Officer,2022-06-01,Sale,80.68,1646,132804,Jun 02 05:42 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-06-01,Sale,80.68,6237,503220,Jun 02 05:42 PM
Barry Corie S,CEO,2022-06-01,Sale,80.68,44619,3599995,Jun 02 05:41 PM
Bilunas Matthew M,Chief Financial Officer,2022-06-01,Sale,80.68,6065,489342,Jun 02 05:41 PM
Bonfig Jason J,Chief Merchandising Officer,2022-06-01,Sale,80.68,2472,199448,Jun 02 05:41 PM
SCHULZE RICHARD M,Chairman Emeritus,2022-05-25,Buy,79.6,250000,19900738,May 27 05:32 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-04-21,Sale,95.72,1188,113717,Apr 22 04:37 PM
Marte Mario Jesus,Director,2022-04-04,Sale,94.34,8,755,Apr 06 04:39 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-03-23,Sale,97.64,10108,986975,Mar 23 06:14 PM
Tilzer Brian A,Chief Digital & Tech Officer,2022-03-22,Sale,99.06,4259,421905,Mar 23 06:15 PM
Watson Mathew,"SVP, Finance-Controller & CAO",2022-03-22,Sale,99.06,2331,230914,Mar 23 06:15 PM
Scarlett Kathleen,"EVP, HR and Best Buy Canada",2022-03-22,Sale,99.06,3338,330669,Mar 23 06:14 PM
Barry Corie S,CEO,2022-03-22,Sale,99.06,17741,1757459,Mar 23 06:14 PM
Bilunas Matthew M,Chief Financial Officer,2022-03-22,Sale,99.06,6090,603288,Mar 23 06:15 PM
Bonfig Jason J,Chief Merchandising Officer,2022-03-22,Sale,99.06,10904,1080172,Mar 23 06:15 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2022-03-22,Sale,99.06,799,79151,Mar 23 06:15 PM
Furman Matthew M,Chief Comm & Publ. Affairs Ofc,2022-03-22,Sale,99.06,4275,423490,Mar 23 06:15 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-03-22,Sale,99.06,5337,528694,Mar 23 06:15 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-03-22,Sale,99.06,3280,324923,Mar 23 06:15 PM
Irvin Mark A,Chief Supply Chain Officer,2022-03-22,Sale,99.06,2954,292629,Mar 23 06:15 PM
Peterson Allison,Chief Customer Officer,2022-03-22,Sale,99.06,3098,306894,Mar 23 06:15 PM
Marte Mario Jesus,Director,2022-03-17,Buy,99.29,8,794,Apr 06 04:39 PM
Hartman Todd G.,"GC, Chief Risk Officer",2022-03-09,Sale,101.73,2000,203460,Mar 11 04:38 PM
Marte Mario Jesus,Director,2022-01-21,Sale,96.45,2,193,Apr 06 04:39 PM
Marte Mario Jesus,Director,2022-01-12,Buy,102.69,2,205,Apr 06 04:39 PM
Harmon Damien,"Pres., Omnichannel Ops & Serv",2022-01-10,Sale,101.72,365,37126,Jan 12 04:27 PM
DOYLE J PATRICK,Director,2021-12-03,Buy,104.47,20000,2089400,Dec 03 05:07 PM
Bass Robert L,Chief SC & Global Prop Officer,2021-10-13,Sale,110.51,5823,643471,Oct 15 04:29 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2021-10-07,Sale,107.65,14,1507,Oct 12 04:34 PM
Eldracher Deborah DiSanzo,"President, Best Buy Health",2021-09-21,Sale,107.18,1776,190346,Sep 22 04:58 PM
Peterson Allison,Chief Customer Officer,2021-09-21,Sale,107.18,120,12861,Sep 22 04:58 PM
Bilunas Matthew M,Chief Financial Officer,2021-08-23,Sale,113.16,819,92677,Aug 25 04:42 PM
Bass Robert L,Chief SC & Global Prop Officer,2021-07-27,Sale,114.37,4697,537201,Jul 28 05:21 PM
