Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Spoerel Thomas J,VP Controller & Chief Acct Off,2022-06-07,Option Exercise,147.68,1026,151520,Jun 09 10:32 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2022-06-07,Sale,260,443,115180,Jun 09 10:32 AM
Hickey David,"EVP & President, Life Sciences",2022-05-06,Sale,256,475,121600,May 10 03:16 PM
Larson Betty D,EVP HR & CHRO,2022-02-25,Option Exercise,188.11,46658,8776834,Feb 28 03:58 PM
Larson Betty D,EVP HR & CHRO,2022-02-25,Sale,271.9,14374,3908291,Feb 28 03:58 PM
Fraser Claire,Director,2022-02-08,Sale,271.7,841,228500,Feb 10 10:17 AM
Conroy Alexandre,EVP of Integrated Supply Chain,2022-02-03,Option Exercise,134.73,12787,1722793,Feb 07 10:42 AM
Conroy Alexandre,EVP of Integrated Supply Chain,2022-02-03,Sale,270.16,6410,1731726,Feb 07 10:42 AM
Larson Betty D,EVP HR & CHRO,2021-12-16,Option Exercise,97.14,893,86746,Dec 17 09:41 AM
Larson Betty D,EVP HR & CHRO,2021-12-16,Sale,255,3341,851955,Dec 17 09:41 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-12-07,Sale,250,233,58250,Dec 09 08:09 AM
Goette Roland,"EVP and President, EMEA",2021-11-16,Option Exercise,72.12,3055,220327,Nov 18 08:58 AM
Hickey David,"EVP & President, Life Sciences",2021-09-08,Sale,260,500,130000,Sep 08 05:40 PM
RIMEL REBECCA W,Director,2021-09-08,Sale,260,500,130000,Sep 08 10:47 AM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-09-08,Sale,260,267,69420,Sep 08 05:52 PM
Lim James C,Executive Vice President,2021-09-03,Option Exercise,134.73,14584,1964902,Sep 07 09:46 AM
Lim James C,Executive Vice President,2021-09-03,Sale,257.44,6956,1790753,Sep 07 09:46 AM
RIMEL REBECCA W,Director,2021-09-03,Sale,257.1,500,128550,Sep 03 10:01 AM
RIMEL REBECCA W,Director,2021-09-02,Sale,254,244,61976,Sep 03 08:36 AM
RIMEL REBECCA W,Director,2021-08-30,Sale,252,207,52164,Aug 31 08:54 AM
Fraser Claire,Director,2021-08-18,Sale,251.58,387,97361,Aug 18 12:29 PM
RIMEL REBECCA W,Director,2021-08-17,Sale,252,207,52164,Aug 18 12:23 PM
Spoerel Thomas J,VP Controller & Chief Acct Off,2021-08-06,Sale,242.3,266,64452,Aug 09 01:23 PM
