Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-29,Buy,12.69,1713948,21750000,Aug 02 09:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-29,Buy,4.59,88884,408084,Aug 01 09:10 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-28,Buy,4.46,89977,401540,Aug 01 09:10 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-27,Buy,4.4,127186,559084,Jul 28 12:17 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-26,Buy,4.37,124934,545624,Jul 28 12:17 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-25,Buy,12.69,1970055,25000000,Jul 29 12:10 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-25,Buy,4.4,79523,350187,Jul 26 10:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-22,Buy,4.46,113726,507605,Jul 26 10:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-21,Buy,4.44,57887,257180,Jul 22 09:18 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-20,Buy,4.43,108467,480162,Jul 22 09:18 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-19,Buy,4.38,115154,504282,Jul 20 09:03 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-18,Buy,4.4,121568,535009,Jul 20 09:03 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-15,Buy,4.35,56500,245713,Jul 18 09:11 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-14,Buy,4.43,56500,250368,Jul 18 09:11 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-13,Buy,4.37,54595,238777,Jul 14 07:54 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-12,Buy,4.33,55953,242545,Jul 14 07:54 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-11,Buy,4.32,56123,242367,Jul 12 08:33 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-08,Buy,4.42,37163,164201,Jul 12 08:33 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-07,Buy,4.43,41926,185640,Jul 08 09:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-06,Buy,4.48,42746,191609,Jul 08 09:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-05,Buy,4.51,36266,163578,Jul 06 07:02 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-01,Buy,4.45,56900,253444,Jul 06 07:02 PM
Byerwalter Mariann H,Director,2022-06-15,Sale,23.37,3135,73265,Jun 16 01:42 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-04-01,Buy,12.27,998370,12250000,Apr 05 09:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-03-11,Buy,12.27,668297,8200000,Mar 15 09:45 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-02-18,Buy,12.2,1098361,13400000,Feb 23 04:31 PM
Shaneyfelt Gwen L,Chief Accounting Officer,2021-11-16,Sale,35.82,10000,358246,Nov 16 04:37 PM
Plafker Jed A.,Executive Vice President,2021-11-05,Sale,35.86,21705,778363,Nov 08 03:57 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2021-09-30,Buy,11.93,3604359,43000000,Oct 01 04:41 PM
JOHNSON JENNIFER M,President and CEO,2021-08-19,Sale,30.37,52789,1603202,Aug 19 07:13 PM
Shaneyfelt Gwen L,Chief Accounting Officer,2021-08-11,Sale,33.51,5000,167550,Aug 11 03:11 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2021-08-09,Buy,10.86,460405,5000000,Aug 11 09:24 AM
