Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Last Andrew J.,"EVP, Chief Operating Officer",2022-04-29,Option Exercise,0,1000,0,May 02 02:44 PM
RAMALINGAM AJIT,"SVP, Chief Accounting Officer",2022-04-29,Option Exercise,0,277,0,May 02 02:42 PM
Daskal Ilan,"EVP, Chief Financial Officer",2022-04-08,Option Exercise,0,700,0,Apr 11 12:16 PM
WRIGHT DARA,Executive Vice President,2021-12-16,Option Exercise,0,502,0,Dec 17 02:21 PM
TUMOLO ANNETTE,Executive Vice President,2021-11-12,Option Exercise,250.21,4800,1201014,Nov 15 10:55 AM
TUMOLO ANNETTE,Executive Vice President,2021-11-12,Sale,750.05,4800,3600240,Nov 15 10:55 AM
TUMOLO ANNETTE,Executive Vice President,2021-11-11,Option Exercise,386.82,1546,598029,Nov 15 10:55 AM
TUMOLO ANNETTE,Executive Vice President,2021-11-11,Sale,749,1546,1157958,Nov 15 10:55 AM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2021-09-07,Option Exercise,92.56,40000,3702220,Sep 09 09:39 AM
Crowley Michael,"EVP, GBL Commercial Operations",2021-09-07,Option Exercise,0,600,0,Sep 09 09:38 AM
TUMOLO ANNETTE,Executive Vice President,2021-09-07,Option Exercise,0,600,0,Sep 09 09:38 AM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-09-07,Option Exercise,0,500,0,Sep 09 09:37 AM
Crowley Michael,"EVP, GBL Commercial Operations",2021-09-05,Option Exercise,0,600,0,Sep 08 12:10 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2021-09-05,Option Exercise,0,2600,0,Sep 08 12:09 PM
TUMOLO ANNETTE,Executive Vice President,2021-09-05,Option Exercise,0,600,0,Sep 08 12:06 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-09-05,Option Exercise,0,500,0,Sep 08 12:05 PM
Crowley Michael,"EVP, GBL Commercial Operations",2021-09-04,Option Exercise,0,600,0,Sep 08 12:10 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2021-09-04,Option Exercise,0,2600,0,Sep 08 12:09 PM
TUMOLO ANNETTE,Executive Vice President,2021-09-04,Option Exercise,0,600,0,Sep 08 12:06 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-09-04,Option Exercise,0,500,0,Sep 08 12:05 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-09-03,Option Exercise,0,464,0,Sep 08 12:05 PM
Crowley Michael,"EVP, GBL Commercial Operations",2021-09-03,Option Exercise,0,557,0,Sep 08 12:10 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2021-09-03,Option Exercise,0,2319,0,Sep 08 12:09 PM
TUMOLO ANNETTE,Executive Vice President,2021-09-03,Option Exercise,0,557,0,Sep 08 12:06 PM
Daskal Ilan,"EVP, Chief Financial Officer",2021-09-03,Sale,820.06,270,221416,Sep 08 12:07 PM
Daskal Ilan,"EVP, Chief Financial Officer",2021-09-02,Option Exercise,261.91,1081,283122,Sep 03 05:02 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-09-02,Option Exercise,0,361,0,Sep 03 05:01 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2021-09-02,Option Exercise,0,1805,0,Sep 03 05:12 PM
TUMOLO ANNETTE,Executive Vice President,2021-09-02,Option Exercise,0,433,0,Sep 03 05:10 PM
Crowley Michael,"EVP, GBL Commercial Operations",2021-09-02,Option Exercise,0,433,0,Sep 03 05:09 PM
RAMALINGAM AJIT,"SVP, Chief Accounting Officer",2021-09-02,Option Exercise,0,240,0,Sep 03 05:07 PM
WRIGHT DARA,Executive Vice President,2021-09-02,Option Exercise,0,433,0,Sep 03 05:08 PM
Last Andrew J.,"EVP, Chief Operating Officer",2021-09-02,Option Exercise,0,902,0,Sep 03 05:05 PM
Daskal Ilan,"EVP, Chief Financial Officer",2021-09-02,Sale,828,540,447121,Sep 03 05:02 PM
Last Andrew J.,"EVP, Chief Operating Officer",2021-09-01,Option Exercise,299.24,2000,598480,Sep 03 05:05 PM
Last Andrew J.,"EVP, Chief Operating Officer",2021-09-01,Sale,813.1,2000,1626203,Sep 03 05:05 PM
TUMOLO ANNETTE,Executive Vice President,2021-08-26,Sale,792.58,600,475548,Aug 27 10:39 AM
Crowley Michael,"EVP, GBL Commercial Operations",2021-08-09,Option Exercise,139.56,3000,418680,Aug 10 11:58 AM
Crowley Michael,"EVP, GBL Commercial Operations",2021-08-09,Sale,754.93,3000,2264796,Aug 10 11:58 AM
Daskal Ilan,"EVP, Chief Financial Officer",2021-08-04,Option Exercise,309.84,1400,433776,Aug 05 12:38 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2021-08-04,Sale,760.26,327,248605,Aug 05 12:40 PM
Daskal Ilan,"EVP, Chief Financial Officer",2021-08-04,Sale,751.84,2300,1729241,Aug 05 12:38 PM
