Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KAPITO ROBERT,President,2022-07-25,Sale,632.88,37588,23788680,Jul 27 05:52 PM
FORD WILLIAM E,Director,2022-04-18,Buy,681.44,2000,1362880,Apr 18 06:06 PM
FORD WILLIAM E,Director,2022-04-14,Buy,701,1000,701000,Apr 18 06:06 PM
McCombe Mark,Senior Managing Director,2022-02-07,Sale,819.32,1400,1147049,Feb 09 05:52 PM
FINK LAURENCE,Chairman and CEO,2021-12-02,Sale,920.92,16365,15070818,Dec 03 08:20 PM
Kushel J. Richard,Senior Managing Director,2021-11-08,Sale,964.45,405,390602,Nov 10 04:26 PM
FINK LAURENCE,Chairman and CEO,2021-10-26,Sale,936.35,5000,4681766,Oct 27 05:11 PM
FINK LAURENCE,Chairman and CEO,2021-10-25,Sale,925.68,22247,20593675,Oct 27 05:11 PM
McCombe Mark,Senior Managing Director,2021-08-16,Sale,910.5,2000,1821000,Aug 18 04:24 PM
Meade Christopher J.,General Counsel and CLO,2021-07-20,Sale,877.24,2106,1847467,Jul 22 05:01 PM
Wiedman Mark,Senior Managing Director,2021-07-15,Sale,884.5,175,154787,Jul 16 05:12 PM
