Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Weese Michelle,"EVP, Corporate Affairs",2022-07-01,Option Exercise,0,1885,0,Jul 05 04:29 PM
Hirawat Samit,"EVP,Chief Med.Offr.,Drug Dev.",2022-07-01,Option Exercise,0,9356,0,Jul 05 04:28 PM
Caforio Giovanni,Board Chair and CEO,2022-06-13,Sale,74.04,30000,2221200,Jun 14 05:58 PM
LEUNG SANDRA,"EVP, General Counsel",2022-06-06,Sale,74.89,65000,4867850,Jun 07 05:49 PM
Haller Julia A,Director,2022-06-03,Option Exercise,0,2949,0,Jun 07 05:50 PM
Mily Elizabeth,"EVP, Strategy & BD",2022-04-01,Option Exercise,0,6347,0,Apr 04 06:13 PM
Caforio Giovanni,Board Chair and CEO,2022-03-21,Sale,71.52,25000,1788000,Mar 23 07:43 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2022-03-16,Option Exercise,57,47305,2696612,Mar 18 05:50 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2022-03-16,Sale,69.25,74559,5162973,Mar 18 05:50 PM
Santiago Karen Murphy,SVP & Controller,2022-03-14,Sale,69.19,6577,455096,Mar 16 07:32 PM
BOERNER CHRISTOPHER S.,"EVP, Chief Commercial Officer",2022-03-14,Sale,69.2,29532,2043526,Mar 16 07:32 PM
Caforio Giovanni,Board Chair and CEO,2022-03-10,Option Exercise,0,239501,0,Mar 14 09:20 PM
LEUNG SANDRA,"EVP, General Counsel",2022-03-10,Option Exercise,0,60273,0,Mar 14 09:20 PM
Elkins David V,"EVP, Chief Financial Officer",2022-03-10,Option Exercise,0,16067,0,Mar 14 09:18 PM
BOERNER CHRISTOPHER S.,"EVP, Chief Commercial Officer",2022-03-10,Option Exercise,0,51715,0,Mar 14 09:19 PM
Powell Ann,"EVP, Chief Human Resources",2022-03-10,Option Exercise,0,35686,0,Mar 14 09:17 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2022-03-10,Option Exercise,0,15247,0,Mar 14 09:16 PM
Santiago Karen Murphy,SVP & Controller,2022-03-10,Option Exercise,0,11073,0,Mar 14 09:16 PM
Hirawat Samit,"EVP,Chief Med.Offr.,Drug Dev.",2022-03-10,Option Exercise,0,9074,0,Mar 14 09:17 PM
Mily Elizabeth,"EVP, Strategy & BD",2022-03-10,Option Exercise,0,4005,0,Mar 14 09:16 PM
Elkins David V,"EVP, Chief Financial Officer",2022-03-01,Option Exercise,0,24577,0,Mar 03 05:33 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2022-03-01,Option Exercise,0,23350,0,Mar 03 05:33 PM
Caforio Giovanni,Board Chair and CEO,2022-02-24,Sale,67,30000,2010000,Feb 28 04:44 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2022-02-04,Option Exercise,0,3593,0,Feb 08 06:10 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2021-12-16,Sale,61.99,19298,1196252,Dec 17 05:08 PM
Elkins David V,"EVP, Chief Financial Officer",2021-12-02,Option Exercise,0,8792,0,Dec 06 06:27 PM
BOERNER CHRISTOPHER S.,"EVP, Chief Commercial Officer",2021-12-02,Option Exercise,0,2638,0,Dec 06 06:27 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2021-12-02,Option Exercise,0,8792,0,Dec 06 06:27 PM
von Autenried Paul,"EVP, Chief Information Officer",2021-11-24,Sale,56.92,17353,987733,Nov 24 05:25 PM
von Autenried Paul,"EVP, Chief Information Officer",2021-11-23,Sale,57.47,15418,886072,Nov 24 05:25 PM
von Autenried Paul,"EVP, Chief Information Officer",2021-11-22,Sale,57.17,18363,1049813,Nov 24 05:25 PM
Caforio Giovanni,Board Chair and CEO,2021-09-20,Sale,60.64,25000,1516000,Sep 22 05:19 PM
Elkins David V,"EVP, Chief Financial Officer",2021-08-12,Option Exercise,48.49,70000,3394300,Aug 16 05:51 PM
Elkins David V,"EVP, Chief Financial Officer",2021-08-12,Sale,66.95,99691,6674497,Aug 16 05:51 PM
Powell Ann,"EVP, Chief Human Resources",2021-08-03,Sale,68.57,23280,1596310,Aug 04 04:46 PM
Caforio Giovanni,Chairman and CEO,2021-08-02,Sale,68.58,20000,1371600,Aug 04 04:47 PM
Elkins David V,"EVP, Chief Financial Officer",2021-08-01,Option Exercise,0,46403,0,Aug 03 04:55 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2021-07-30,Option Exercise,58.49,150967,8830108,Aug 03 04:50 PM
Dubow Adam,"SVP,ChiefCompliance&EthicsOff.",2021-07-30,Sale,67.9,2466,167441,Aug 03 04:56 PM
LEUNG SANDRA,"EVP, General Counsel",2021-07-30,Sale,68.04,29390,1999696,Aug 03 04:54 PM
VESSEY RUPERT,"EVP, Research & Early Dev.",2021-07-30,Sale,68.07,158393,10782154,Aug 03 04:50 PM
von Autenried Paul,"EVP, Chief Information Officer",2021-07-30,Sale,68.06,25000,1701375,Aug 03 04:49 PM
Santiago Karen Murphy,SVP & Controller,2021-07-01,Option Exercise,0,1069,0,Jul 06 04:38 PM
Hirawat Samit,"EVP,Chief Med.Offr.,Drug Dev.",2021-07-01,Option Exercise,0,9356,0,Jul 06 04:38 PM
