Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Stingi Richard John,Corporate VP and CHRO,2022-04-01,Option Exercise,0,432,0,Apr 05 03:57 PM
Duelks Robert N,Director,2022-02-16,Option Exercise,22.05,22056,486234,Feb 18 04:15 PM
Duelks Robert N,Director,2022-02-16,Sale,145.75,1300,189476,Feb 18 04:15 PM
Reese Edmund,Corporate VP and CFO,2022-02-01,Option Exercise,0,1943,0,Feb 02 11:55 AM
Reese Edmund,Corporate VP and CFO,2022-01-31,Option Exercise,0,3021,0,Feb 02 11:55 AM
PERRY CHRISTOPHER JOHN,President,2021-12-28,Option Exercise,98.31,466,45812,Dec 28 04:49 PM
PERRY CHRISTOPHER JOHN,President,2021-12-28,Sale,185.04,415,76791,Dec 28 04:49 PM
Gumbs Keir D,CVP and Chief Legal Officer,2021-12-15,Option Exercise,0,8079,0,Dec 17 11:22 AM
SCHIFELLITE ROBERT,Corporate SVP,2021-12-07,Option Exercise,50.95,18040,919138,Dec 07 12:20 PM
SCHIFELLITE ROBERT,Corporate SVP,2021-12-07,Sale,173.26,18063,3129613,Dec 07 12:20 PM
SCHIFELLITE ROBERT,Corporate SVP,2021-12-03,Option Exercise,50.95,14960,762212,Dec 06 04:19 PM
SCHIFELLITE ROBERT,Corporate SVP,2021-12-03,Sale,173.11,12488,2161759,Dec 06 04:19 PM
Mayadas Vijay,Corporate Vice President,2021-11-29,Option Exercise,71.21,28836,2053506,Nov 29 02:48 PM
Mayadas Vijay,Corporate Vice President,2021-11-29,Sale,174,25208,4386192,Nov 29 02:48 PM
BRUN LESLIE A,Director,2021-11-18,Option Exercise,21.29,17113,364336,Nov 18 02:22 PM
Tae Michael S,"Corporate VP, CTO, ICS",2021-11-10,Option Exercise,87.61,36309,3181128,Nov 10 05:15 PM
Tae Michael S,"Corporate VP, CTO, ICS",2021-11-10,Sale,178.53,34556,6169110,Nov 10 05:15 PM
PERRY CHRISTOPHER JOHN,President,2021-10-19,Option Exercise,93.88,11519,1081404,Oct 20 10:42 AM
PERRY CHRISTOPHER JOHN,President,2021-10-19,Sale,180.14,10104,1820106,Oct 20 10:42 AM
PERRY CHRISTOPHER JOHN,President,2021-10-15,Option Exercise,93.88,1016,95382,Oct 15 04:40 PM
PERRY CHRISTOPHER JOHN,President,2021-10-15,Sale,180.01,902,162367,Oct 15 04:40 PM
DALY RICHARD J,Executive Chairman,2021-10-07,Option Exercise,97.86,81909,8015488,Oct 08 04:13 PM
DALY RICHARD J,Executive Chairman,2021-10-07,Sale,168.43,73300,12346080,Oct 08 04:13 PM
DALY RICHARD J,Executive Chairman,2021-10-06,Option Exercise,92.91,102847,9555756,Oct 07 03:04 PM
DALY RICHARD J,Executive Chairman,2021-10-06,Sale,165.5,92009,15227756,Oct 07 03:04 PM
DALY RICHARD J,Executive Chairman,2021-10-05,Option Exercise,67.32,39000,2625480,Oct 07 03:04 PM
DALY RICHARD J,Executive Chairman,2021-10-05,Sale,164.02,77661,12737786,Oct 07 03:04 PM
Tae Michael S,"Corporate VP, CTO, ICS",2021-10-01,Option Exercise,0,4928,0,Oct 05 12:40 PM
Gokey Timothy C,CEO,2021-09-23,Option Exercise,36.97,60908,2251769,Sep 24 10:30 AM
Gokey Timothy C,CEO,2021-09-23,Sale,167.61,49897,8363017,Sep 24 10:30 AM
Mayadas Vijay,Corporate Vice President,2021-09-07,Option Exercise,36.97,1312,48505,Sep 07 05:30 PM
Mayadas Vijay,Corporate Vice President,2021-09-07,Sale,169.42,1093,185176,Sep 07 05:30 PM
Mayadas Vijay,Corporate Vice President,2021-09-03,Option Exercise,36.97,24506,905987,Sep 07 05:30 PM
Mayadas Vijay,Corporate Vice President,2021-09-03,Sale,171.1,20415,3492939,Sep 07 05:30 PM
Mayadas Vijay,Corporate Vice President,2021-09-02,Option Exercise,36.97,2083,77009,Sep 07 05:30 PM
Mayadas Vijay,Corporate Vice President,2021-09-02,Sale,171,1735,296685,Sep 07 05:30 PM
AMSTERDAM ADAM D,CVP and Sr. Advisor to the CEO,2021-08-24,Sale,171.72,5500,944443,Aug 25 11:26 AM
Liberatore Michael,"VP, ICS - Mutual Funds",2021-08-16,Option Exercise,77.47,27172,2104892,Aug 18 02:23 PM
Liberatore Michael,"VP, ICS - Mutual Funds",2021-08-16,Sale,175.65,32727,5748591,Aug 18 02:23 PM
PERRY CHRISTOPHER JOHN,President,2021-08-13,Option Exercise,67.32,2523,169848,Aug 13 04:28 PM
PERRY CHRISTOPHER JOHN,President,2021-08-13,Sale,175,2124,371700,Aug 13 04:28 PM
PERRY CHRISTOPHER JOHN,President,2021-08-03,Option Exercise,67.32,15300,1029996,Aug 04 09:38 AM
PERRY CHRISTOPHER JOHN,President,2021-08-03,Sale,175.02,12909,2259292,Aug 04 09:38 AM
PERRY CHRISTOPHER JOHN,President,2021-08-02,Option Exercise,67.32,1075,72369,Aug 02 04:46 PM
PERRY CHRISTOPHER JOHN,President,2021-08-02,Sale,175.07,900,157564,Aug 02 04:46 PM
PERRY CHRISTOPHER JOHN,President,2021-07-14,Option Exercise,51.95,15337,796757,Jul 15 12:34 PM
PERRY CHRISTOPHER JOHN,President,2021-07-14,Sale,170.04,12621,2146042,Jul 15 12:34 PM
