Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Jain Ajit,Vice Chairman,2022-07-28,Sale,293.17,3420,1002643,Aug 01 05:31 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-16,Buy,59.67,242241,14455320,Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-15,Buy,58.04,1148281,66646072,Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-14,Buy,56.14,552378,31011882,Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-13,Buy,56.94,65199,3712470,Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-12,Buy,57.19,2454558,140366716,Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-11,Buy,59.27,1784389,105762667,Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-06,Buy,57.95,3868242,224154396,Jul 07 05:00 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-05,Buy,57.94,8174228,473623552,Jul 07 05:00 PM
OLSON RONALD L,Director,2022-07-05,Buy,274.19,1515,415398,Jul 07 05:39 PM
OLSON RONALD L,Director,2022-07-05,Buy,274.62,895,245785,Jul 07 05:39 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-01,Buy,59.01,4845546,285940198,Jul 01 09:14 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-30,Buy,58.62,2906229,170349032,Jul 01 09:14 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-29,Buy,59.08,2135265,126160211,Jul 01 09:14 PM
Jain Ajit,Vice Chairman,2022-06-24,Sale,277.72,1200,333265,Jun 24 05:54 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-23,Buy,55.39,794389,44001440,Jun 27 06:43 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-22,Buy,55.49,3878258,215222461,Jun 22 06:21 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-17,Buy,55.27,5673196,313564496,Jun 22 06:21 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-12,Buy,57.34,185419,10631666,May 12 09:33 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-10,Buy,57.32,716355,41058675,May 12 09:33 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-03,Buy,57.78,20500,1184578,May 04 08:27 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-02,Buy,57.1,5867118,335039097,May 04 08:27 PM
