Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
CHIRICO EMANUEL,Director,2022-07-25,Buy,34.06,30000,1021800,Jul 26 04:28 PM
Connolly Sean,President and CEO,2022-07-17,Option Exercise,0,67313,0,Jul 26 04:38 PM
Serrao Darren,EVP & Co-COO,2022-07-16,Option Exercise,0,14424,0,Jul 26 04:37 PM
Bartell Carey,"EVP, GC and Corp. Secretary",2022-07-16,Option Exercise,0,5680,0,Jul 26 04:35 PM
McGough Thomas M,EVP & Co-COO,2022-07-16,Option Exercise,0,14424,0,Jul 26 04:34 PM
MARBERGER DAVID S,EVP and CFO,2022-07-16,Option Exercise,0,14424,0,Jul 26 04:42 PM
Brock Charisse,"EVP, Chief HR Officer",2022-07-16,Option Exercise,0,7212,0,Jul 26 04:41 PM
Wise Robert G,"SVP, Corporate Controller",2022-07-16,Option Exercise,0,5409,0,Jul 26 04:40 PM
McGough Thomas M,EVP & Co-COO,2022-04-21,Option Exercise,27.46,25400,697484,Apr 22 04:20 PM
McGough Thomas M,EVP & Co-COO,2022-04-21,Sale,36.95,25400,938530,Apr 22 04:20 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2022-04-19,Option Exercise,31.06,72480,2251229,Apr 21 04:41 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2022-04-19,Sale,36.02,72480,2610730,Apr 21 04:41 PM
Serrao Darren,EVP & Co-COO,2022-04-08,Sale,34.49,11700,403533,Apr 08 04:46 PM
McGough Thomas M,EVP & Co-COO,2022-01-20,Option Exercise,27.46,40802,1120423,Jan 21 05:33 PM
McGough Thomas M,EVP & Co-COO,2022-01-20,Sale,35.96,40802,1467240,Jan 21 05:33 PM
McGough Thomas M,EVP & Co-COO,2022-01-10,Option Exercise,27.46,49800,1367508,Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-10,Sale,35,49800,1743000,Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-07,Option Exercise,27.46,200,5492,Jan 10 05:18 PM
McGough Thomas M,EVP & Co-COO,2022-01-07,Sale,35,200,7000,Jan 10 05:18 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-27,Sale,34.2,33803,1156063,Jul 27 08:00 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-21,Sale,34.96,6210,217102,Jul 21 05:09 PM
Connolly Sean,President and CEO,2021-07-18,Option Exercise,0,52109,0,Jul 20 06:04 PM
Batcheler Colleen,EVP Gen Counsel & Corp Secty,2021-07-17,Option Exercise,0,11150,0,Jul 20 06:06 PM
Brock Charisse,"EVP, Chief HR Officer",2021-07-17,Option Exercise,0,5575,0,Jul 20 06:05 PM
Wise Robert G,"SVP, Corporate Controller",2021-07-17,Option Exercise,0,4181,0,Jul 20 06:01 PM
MARBERGER DAVID S,EVP and CFO,2021-07-17,Option Exercise,0,11150,0,Jul 20 06:02 PM
Serrao Darren,EVP & Co-COO,2021-07-17,Option Exercise,0,8363,0,Jul 20 05:59 PM
McGough Thomas M,EVP & Co-COO,2021-07-17,Option Exercise,0,11150,0,Jul 20 05:57 PM
LENNY RICHARD H,Director,2021-07-15,Buy,34.14,10000,341400,Jul 16 08:00 AM
