Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Stephens Kevin A,Director,2022-07-22,Buy,173.6,699,121344,Jul 25 04:59 PM
Collins Robert Sean,Vice President and Controller,2022-05-03,Sale,185.44,1000,185435,May 04 04:42 PM
Collins Robert Sean,Vice President and Controller,2022-05-03,Sale,185.44,1000,185435,May 04 04:47 PM
Collins Robert Sean,Vice President and Controller,2022-05-03,Sale,185.44,1000,185435,May 04 04:42 PM
Kavanagh Michael Joseph,EVP & Chief Commercial Officer,2022-04-29,Sale,191.02,5000,955110,May 02 07:13 PM
Levendos Christopher,EVP & COO - Fiber,2022-04-25,Sale,192.79,11000,2120734,Apr 27 05:38 PM
Piche Catherine,EVP & COO-Towers,2022-03-17,Sale,176.41,2500,441028,Mar 21 05:41 PM
Stephens Kevin A,Director,2022-02-22,Buy,162.3,2000,324600,Feb 24 05:09 PM
Kavanagh Michael Joseph,EVP & Chief Commercial Officer,2022-02-19,Option Exercise,0,27489,0,Feb 23 05:22 PM
Collins Robert Sean,Vice President and Controller,2022-02-19,Option Exercise,0,6896,0,Feb 23 05:24 PM
Simon Kenneth Jay,EVP and General Counsel,2022-02-19,Option Exercise,0,33325,0,Feb 23 05:19 PM
Nichol Laura B,EVP - Business Support,2022-02-19,Option Exercise,0,12552,0,Feb 23 05:16 PM
Piche Catherine,EVP & COO-Towers,2022-02-19,Option Exercise,0,10057,0,Feb 23 05:14 PM
Brown Jay A.,President and CEO,2022-02-19,Option Exercise,0,128576,0,Feb 23 05:06 PM
Kelley Philip M,"EVP, Corp Dev & Strategy",2022-02-19,Option Exercise,0,26923,0,Feb 23 05:10 PM
SCHLANGER DANIEL K,EVP & Chief Financial Officer,2022-02-19,Option Exercise,0,40113,0,Feb 23 05:01 PM
Levendos Christopher,EVP & COO - Fiber,2022-02-19,Option Exercise,0,25869,0,Feb 23 05:04 PM
Levendos Christopher,EVP & COO - Fiber,2021-12-10,Option Exercise,0,1951,0,Dec 13 05:57 PM
Stephens Kevin A,Director,2021-10-27,Buy,178.66,1110,198310,Oct 29 06:56 PM
SCHLANGER DANIEL K,EVP & Chief Financial Officer,2021-08-03,Sale,194.33,10800,2098732,Aug 04 04:46 PM
MARTIN J LANDIS,Director,2021-07-26,Buy,191.5,7000,1340477,Jul 28 04:56 PM
MARTIN J LANDIS,Director,2021-07-26,Buy,191.52,4200,804381,Jul 28 04:56 PM
Levendos Christopher,EVP & COO - Fiber,2021-07-26,Sale,191.52,4000,766080,Jul 28 06:15 PM
