Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
ZAMAN ANEEL,Sr. Vice President,2022-07-28,Option Exercise,138.02,6253,863039,Aug 01 08:38 PM
WALL JOHN M,Sr. VP & CFO,2022-07-28,Option Exercise,39.58,41619,1647280,Aug 01 08:40 PM
ZAMAN ANEEL,Sr. Vice President,2022-07-28,Sale,180,6253,1125540,Aug 01 08:38 PM
WALL JOHN M,Sr. VP & CFO,2022-07-28,Sale,179.88,54943,9883147,Aug 01 08:40 PM
TAN LIP BU,Executive Chair,2022-07-21,Sale,166.74,40000,6669431,Jul 25 05:52 PM
TAN LIP BU,Executive Chair,2022-07-15,Option Exercise,19.6,50000,980000,Jul 19 06:22 PM
TAN LIP BU,Executive Chair,2022-07-15,Sale,155.06,50000,7752955,Jul 19 06:22 PM
Cunningham Paul,Sr. Vice President,2022-07-05,Sale,148.24,250,37060,Jul 07 05:36 PM
TAN LIP BU,Executive Chair,2022-06-24,Option Exercise,19.6,50000,980000,Jun 28 06:02 PM
TAN LIP BU,Executive Chair,2022-06-24,Sale,153.88,50000,7694194,Jun 28 06:02 PM
TAN LIP BU,Executive Chair,2022-06-21,Sale,148.7,40000,5947875,Jun 23 08:01 PM
DEVGAN ANIRUDH,President and CEO,2022-06-09,Sale,158.82,35217,5593153,Jun 13 07:31 PM
Cunningham Paul,Sr. Vice President,2022-06-06,Sale,160.9,250,40225,Jun 08 05:16 PM
ZAMAN ANEEL,Sr. Vice President,2022-05-31,Option Exercise,57.86,22542,1304385,Jun 02 06:57 PM
ZAMAN ANEEL,Sr. Vice President,2022-05-31,Sale,153.36,22542,3457060,Jun 02 06:57 PM
TAN LIP BU,Executive Chair,2022-05-27,Option Exercise,19.6,50000,980000,Jun 01 07:16 PM
SOHN YOUNG,Director,2022-05-27,Sale,150,16275,2441250,Jun 01 07:18 PM
TAN LIP BU,Executive Chair,2022-05-27,Sale,153.58,50000,7679177,Jun 01 07:16 PM
TAN LIP BU,Executive Chair,2022-05-20,Sale,143.77,40000,5750803,May 24 06:56 PM
TAN LIP BU,Executive Chair,2022-05-03,Sale,152.3,70000,10661152,May 05 07:05 PM
PLUMMER JAMES D,Director,2022-04-28,Option Exercise,14.02,20000,280300,May 02 08:39 PM
PLUMMER JAMES D,Director,2022-04-28,Sale,155.2,13000,2017640,May 02 08:39 PM
PLUMMER JAMES D,Director,2022-04-28,Sale,156.44,20000,3128822,May 02 08:39 PM
TAN LIP BU,Executive Chair,2022-04-21,Sale,154.8,40000,6191813,Apr 25 07:09 PM
TAN LIP BU,Executive Chairman,2022-04-19,Option Exercise,19.6,45064,883254,Apr 20 05:06 PM
TAN LIP BU,Executive Chairman,2022-04-19,Sale,153.22,45064,6904871,Apr 20 05:06 PM
TAN LIP BU,Executive Chairman,2022-04-18,Option Exercise,19.6,4936,96746,Apr 20 05:06 PM
TAN LIP BU,Executive Chairman,2022-04-18,Sale,151.57,4936,748152,Apr 20 05:06 PM
SANGIOVANNI VINCENTELLI ALBERT,Director,2022-03-29,Option Exercise,12.02,15000,180300,Mar 29 09:20 PM
SANGIOVANNI VINCENTELLI ALBERT,Director,2022-03-25,Option Exercise,12.02,10000,120200,Mar 29 09:20 PM
ZAMAN ANEEL,Sr. Vice President,2022-03-18,Sale,152.05,12479,1897441,Mar 21 09:35 PM
TAN LIP BU,Executive Chairman,2022-03-17,Option Exercise,19.6,50000,980000,Mar 21 09:36 PM
TAN LIP BU,Executive Chairman,2022-03-17,Sale,151.76,50000,7588094,Mar 21 09:36 PM
ZAMAN ANEEL,Sr. Vice President,2022-02-28,Sale,152.02,6623,1006810,Mar 02 07:38 PM
TENG CHIN-CHI,Sr. Vice President,2022-02-28,Sale,152.02,7500,1140171,Mar 02 07:41 PM
TAN LIP BU,Executive Chairman,2022-02-25,Option Exercise,19.6,49600,972160,Mar 01 05:41 PM
TAN LIP BU,Executive Chairman,2022-02-25,Sale,150.92,49600,7485801,Mar 01 05:41 PM
TAN LIP BU,Executive Chairman,2022-02-23,Option Exercise,19.6,400,7840,Feb 25 05:44 PM
TAN LIP BU,Executive Chairman,2022-02-23,Sale,150.61,400,60245,Feb 25 05:44 PM
Cunningham Paul,Sr. Vice President,2022-02-22,Sale,134.63,1000,134630,Feb 24 07:08 PM
Cunningham Paul,Sr. Vice President,2022-01-19,Sale,154.4,1000,154400,Jan 21 05:55 PM
TAN LIP BU,Executive Chairman,2022-01-18,Option Exercise,19.6,50000,980000,Jan 20 06:54 PM
TAN LIP BU,Executive Chairman,2022-01-18,Sale,154.99,50000,7749434,Jan 20 06:54 PM
Cunningham Paul,Sr. Vice President,2021-12-22,Sale,182.92,1000,182920,Dec 27 04:50 PM
Adams Mark,Director,2021-12-07,Sale,181.98,6000,1091853,Dec 09 06:04 PM
Cunningham Paul,Sr. Vice President,2021-12-06,Sale,177.87,1000,177870,Dec 08 06:41 PM
WALL JOHN M,Sr. VP & CFO,2021-12-01,Sale,179.98,5233,941838,Dec 03 07:19 PM
DEVGAN ANIRUDH,President,2021-11-19,Option Exercise,30.79,25000,769750,Nov 23 06:28 PM
DEVGAN ANIRUDH,President,2021-11-19,Sale,189,25000,4725000,Nov 23 06:28 PM
DEVGAN ANIRUDH,President,2021-11-16,Option Exercise,30.79,25000,769750,Nov 18 06:57 PM
DEVGAN ANIRUDH,President,2021-11-16,Sale,184,25000,4600000,Nov 18 06:57 PM
DEVGAN ANIRUDH,President,2021-11-04,Option Exercise,30.79,25000,769750,Nov 08 06:13 PM
DEVGAN ANIRUDH,President,2021-11-04,Sale,179,25000,4475100,Nov 08 06:13 PM
Cunningham Paul,Sr. Vice President,2021-10-22,Sale,165.81,1000,165810,Oct 26 07:07 PM
BECKLEY THOMAS P,Sr. Vice President,2021-10-21,Option Exercise,19.6,18000,352800,Oct 25 06:21 PM
BECKLEY THOMAS P,Sr. Vice President,2021-10-21,Sale,165,30944,5105760,Oct 25 06:21 PM
TAN LIP BU,CEO,2021-10-15,Option Exercise,17.16,50000,858000,Oct 19 05:37 PM
TAN LIP BU,CEO,2021-10-15,Sale,156.16,50000,7808133,Oct 19 05:37 PM
Cunningham Paul,Sr. Vice President,2021-09-24,Sale,162.39,1000,162390,Sep 28 05:33 PM
TAN LIP BU,CEO,2021-09-15,Option Exercise,17.16,50000,858000,Sep 17 05:52 PM
TAN LIP BU,CEO,2021-09-15,Sale,166.65,49999,8332415,Sep 17 05:52 PM
TENG CHIN-CHI,Sr. Vice President,2021-09-09,Sale,165.62,7500,1242142,Sep 10 06:05 PM
DEVGAN ANIRUDH,President,2021-08-24,Sale,158.71,3922,622461,Aug 24 05:06 PM
ZAMAN ANEEL,Sr. Vice President,2021-08-24,Sale,158.71,1765,280123,Aug 24 05:38 PM
ZAMAN ANEEL,Sr. Vice President,2021-08-23,Sale,155.86,1409,219607,Aug 24 05:38 PM
Cunningham Paul,Sr. Vice President,2021-08-23,Sale,155.86,1000,155860,Aug 24 05:22 PM
ZAMAN ANEEL,Sr. Vice President,2021-08-18,Option Exercise,55.34,14003,774989,Aug 20 05:57 PM
ZAMAN ANEEL,Sr. Vice President,2021-08-18,Sale,148.98,14003,2086167,Aug 20 05:57 PM
DEVGAN ANIRUDH,President,2021-08-17,Sale,150.45,2817,423818,Aug 17 09:19 PM
TAN LIP BU,CEO,2021-08-16,Option Exercise,17.16,50000,858000,Aug 17 09:53 PM
TAN LIP BU,CEO,2021-08-16,Sale,151.56,50000,7577998,Aug 17 09:53 PM
ZAMAN ANEEL,Sr. Vice President,2021-08-02,Sale,148.09,32,4739,Aug 04 06:30 PM
Cunningham Paul,Sr. Vice President,2021-07-23,Sale,143.59,1000,143590,Jul 26 08:06 PM
TAN LIP BU,CEO,2021-07-15,Option Exercise,17.16,50000,858000,Jul 19 08:38 PM
TAN LIP BU,CEO,2021-07-15,Sale,137.43,50000,6871643,Jul 19 08:38 PM
