Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Bridges Wendy,EVP,2022-03-03,Sale,93.78,1100,103158,Mar 04 05:32 PM
CHAUSSE MELINDA A.,EVP,2022-02-18,Sale,100.67,3647,367143,Feb 23 04:17 PM
Moore Christine M,EVP and General Auditor,2022-02-01,Option Exercise,33.79,2750,92922,Feb 03 04:17 PM
Moore Christine M,EVP and General Auditor,2022-02-01,Sale,93.9,2750,258225,Feb 03 04:17 PM
CHAUSSE MELINDA A.,EVP,2021-11-24,Option Exercise,45.84,3429,157187,Nov 29 04:16 PM
CHAUSSE MELINDA A.,EVP,2021-11-24,Sale,90.98,3429,311958,Nov 29 04:16 PM
Ortiz Mauricio A,SVP & Chief Accounting Officer,2021-11-12,Option Exercise,32.97,567,18694,Nov 16 04:24 PM
Ortiz Mauricio A,SVP & Chief Accounting Officer,2021-11-12,Sale,88.48,567,50170,Nov 16 04:24 PM
Buchanan John D,EVP & Corporate Secretary,2021-10-28,Option Exercise,32.97,3688,121593,Oct 29 04:24 PM
Buchanan John D,EVP & Corporate Secretary,2021-10-28,Sale,85.11,5688,484106,Oct 29 04:24 PM
Burkhart Megan D,EVP - Chief HR Officer,2021-10-27,Option Exercise,40.74,9926,404429,Oct 29 04:19 PM
Burkhart Megan D,EVP - Chief HR Officer,2021-10-27,Sale,86.9,9926,862605,Oct 29 04:19 PM
OBERG JAY K.,EVP - Chief Risk Officer,2021-10-25,Option Exercise,40.44,5200,210292,Oct 27 04:15 PM
OBERG JAY K.,EVP - Chief Risk Officer,2021-10-25,Sale,88.66,5200,461055,Oct 27 04:15 PM
WEBER JAMES HARRY,Executive Vice President,2021-10-22,Option Exercise,43.53,2454,106814,Oct 26 04:18 PM
WEBER JAMES HARRY,Executive Vice President,2021-10-22,Sale,88.5,2454,217170,Oct 26 04:18 PM
Humrichouse Ximena G,Director,2021-10-22,Sale,88.4,728,64358,Oct 26 04:16 PM
CHAUSSE MELINDA A.,EVP,2021-08-13,Option Exercise,33.79,3250,109818,Aug 17 04:17 PM
CHAUSSE MELINDA A.,EVP,2021-08-13,Sale,75.12,3250,244140,Aug 17 04:17 PM
