Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Tully Sean,Sr MD Global Hd Financial & OT,2022-03-14,Sale,229.8,4000,919200,Mar 14 08:37 PM
Tully Sean,Sr MD Global Hd Financial & OT,2022-03-11,Sale,229,3000,687000,Mar 11 05:35 PM
CRONIN KATHLEEN M,Sr MD Gen Counsel & Corp Secr,2022-03-11,Sale,227.15,4000,908612,Mar 14 08:41 PM
Piell Hilda Harris,Sr MD & Chief HR Officer,2022-03-03,Sale,244,2000,488000,Mar 07 10:34 AM
GLICKMAN DANIEL R,Director,2022-03-01,Sale,234.3,750,175725,Mar 02 10:35 AM
Piell Hilda Harris,Sr MD & Chief HR Officer,2022-02-24,Sale,234.01,1500,351016,Feb 25 12:25 PM
Cutinho Sunil,Sr MD & President CME Clearing,2022-02-14,Sale,237.96,4900,1166004,Feb 15 06:20 PM
Carey Charles P,Director,2022-02-10,Sale,244.36,3000,733072,Feb 14 08:41 PM
Kometer Kevin,Sr MD Chief Information Office,2022-02-10,Sale,244.04,13500,3294504,Feb 14 04:00 PM
Cook Elizabeth A,Director,2022-02-10,Sale,244.25,1000,244254,Feb 14 07:45 PM
GEPSMAN MARTIN J,Director,2021-12-07,Sale,231,500,115500,Dec 09 08:59 AM
Sammann Derek,Sr MD Gl Hd Commodity & Option,2021-12-02,Sale,226.84,4500,1020758,Dec 03 05:39 PM
SIEGEL HOWARD J,Director,2021-11-12,Sale,223.74,5000,1118690,Nov 15 11:01 AM
SIEGEL HOWARD J,Director,2021-11-11,Sale,222,1000,222000,Nov 15 11:01 AM
Holzrichter Julie,Sr MD Chief Operating Officer,2021-11-11,Sale,220.81,5000,1104060,Nov 12 09:49 AM
Bitsberger Timothy S.,Director,2021-11-10,Sale,221.15,600,132690,Nov 12 09:51 AM
Vroman Ken,Sr MD International & Optimiza,2021-11-09,Sale,220,445,97900,Nov 12 10:26 AM
DUFFY TERRENCE A,Chairman and CEO,2021-11-05,Buy,222.02,400,88806,Nov 08 03:57 PM
Durkin Bryan T,Director,2021-11-05,Sale,222.07,10000,2220652,Nov 08 04:07 PM
DUFFY TERRENCE A,Chairman and CEO,2021-11-04,Buy,220.21,1600,352337,Nov 05 11:03 AM
GEPSMAN MARTIN J,Director,2021-10-28,Sale,218.26,500,109132,Oct 28 09:20 PM
Piell Hilda Harris,Sr MD & Chief HR Officer,2021-10-19,Sale,215,2947,633605,Oct 21 05:16 PM
GEPSMAN MARTIN J,Director,2021-09-13,Sale,188.53,1000,188535,Sep 13 07:37 PM
GEPSMAN MARTIN J,Director,2021-09-07,Sale,194.25,1000,194250,Sep 08 10:40 AM
GEPSMAN MARTIN J,Director,2021-08-30,Sale,201,1000,201003,Aug 30 09:10 PM
Tully Sean,Sr MD Global Hd Financial & OT,2021-08-24,Sale,200.2,5000,1001006,Aug 26 09:38 AM
GEPSMAN MARTIN J,Director,2021-08-23,Sale,201.37,1000,201365,Aug 23 10:00 PM
