Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Murphy James P.,Executive VP,2022-07-20,Sale,525.2,1500,787798,Jul 21 09:45 AM
DENMAN KENNETH D,Director,2022-07-15,Sale,521.68,300,156503,Jul 15 08:02 PM
GALANTI RICHARD A,Executive VP and CFO,2022-07-14,Sale,505.6,1000,505597,Jul 15 09:23 AM
Murphy James P.,Executive VP,2022-06-22,Sale,464,2500,1160000,Jun 23 10:12 AM
Wilderotter Mary Agnes,Director,2022-06-07,Buy,470.74,850,400125,Jun 08 02:14 PM
Hines Daniel M.,Principal Acctg Officer,2022-04-08,Sale,603,4498,2712301,Apr 08 01:57 PM
Adamo Claudine,Executive Vice President,2022-04-08,Sale,602.03,500,301015,Apr 08 05:17 PM
Rose Timothy L.,Executive VP,2022-03-29,Sale,566.29,4000,2265145,Mar 29 07:38 PM
DENMAN KENNETH D,Director,2022-03-23,Sale,554.67,250,138669,Mar 24 10:38 AM
Vachris Roland Michael,Executive VP,2022-01-27,Sale,492.45,3318,1633934,Jan 28 12:20 PM
Wilderotter Mary Agnes,Director,2021-12-21,Buy,540.13,925,499620,Dec 22 03:16 PM
GALANTI RICHARD A,Executive VP and CFO,2021-12-15,Sale,554.09,2218,1228965,Dec 15 07:10 PM
Miller Russell D,Executive Vice President,2021-12-13,Sale,556.02,4000,2224090,Dec 14 01:14 PM
Rubananko Yoram,Executive VP,2021-12-13,Sale,550.72,4000,2202884,Dec 14 11:34 AM
Murphy James P.,Executive VP,2021-12-13,Sale,559.32,5000,2796616,Dec 14 01:09 PM
Callans Patrick J,Executive VP,2021-12-13,Sale,549.03,2500,1372575,Dec 14 11:21 AM
PORTERA JOSEPH P,Executive VP,2021-08-13,Sale,445.5,3287,1464358,Aug 13 12:14 PM
Vachris Roland Michael,Executive VP,2021-07-12,Sale,409.4,4000,1637611,Jul 12 05:05 PM
