Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Blunt Matt,Director,2022-06-06,Option Exercise,47.19,10000,471900,Jun 08 03:39 PM
Blunt Matt,Director,2022-06-06,Sale,115.72,10000,1157200,Jun 08 03:39 PM
TRYFOROS THOMAS N,Director,2022-05-31,Option Exercise,12.48,11000,137280,Jun 02 03:15 PM
TRYFOROS THOMAS N,Director,2022-05-31,Sale,114.72,11000,1261887,Jun 02 03:15 PM
Englander Daniel J,Director,2022-05-25,Option Exercise,15.01,80000,1200800,May 26 08:07 AM
Englander Daniel J,Director,2022-05-25,Sale,110.78,80000,8862400,May 26 08:07 AM
TRYFOROS THOMAS N,Director,2021-12-08,Option Exercise,12.48,69000,861120,Dec 10 04:25 PM
TRYFOROS THOMAS N,Director,2021-12-08,Sale,149.63,69000,10324463,Dec 10 04:25 PM
ADAIR A JAYSON,Chief Executive Officer,2021-09-15,Sale,147.2,170000,25024000,Sep 17 03:21 PM
COHAN STEVEN D,Director,2021-07-12,Option Exercise,27.93,80000,2234000,Jul 14 08:45 PM
COHAN STEVEN D,Director,2021-07-12,Sale,139.46,80000,11156776,Jul 14 08:45 PM
ADAIR A JAYSON,Chief Executive Officer,2021-07-12,Sale,139.21,130000,18096975,Jul 14 08:42 PM
Liaw Jeffrey,President & CEO North America,2021-07-06,Option Exercise,25.45,21654,551119,Jul 08 07:59 AM
Liaw Jeffrey,President & CEO North America,2021-07-06,Sale,136.29,15814,2155290,Jul 08 07:59 AM
Liaw Jeffrey,President & CEO North America,2021-07-02,Option Exercise,25.82,47346,1222362,Jul 07 07:26 PM
Liaw Jeffrey,President & CEO North America,2021-07-02,Sale,135.28,47479,6422986,Jul 07 07:26 PM
