Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Martinez Maria,EVP & Chief Operating Officer,2022-06-13,Sale,43.33,4674,202537,Jun 14 04:46 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-06-13,Sale,43.1,607,26162,Jun 14 04:44 PM
Robbins Charles,Chair and CEO,2022-05-25,Sale,43.79,12717,556931,May 25 07:08 PM
Martinez Maria,EVP & Chief Operating Officer,2022-05-23,Sale,43.34,3628,157238,May 25 07:05 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-05-23,Sale,43.34,3700,160358,May 25 07:03 PM
Martinez Maria,EVP & Chief Operating Officer,2022-03-11,Sale,55.24,992,54798,Mar 11 07:46 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-03-11,Sale,55.16,608,33536,Mar 11 07:45 PM
Robbins Charles,Chair and CEO,2022-02-24,Sale,53.86,15382,828521,Feb 24 07:43 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-02-22,Sale,56.4,3623,204340,Feb 24 07:42 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-12-14,Sale,58.34,468,27303,Dec 14 06:58 PM
Robbins Charles,Chair and CEO,2021-11-24,Sale,55.45,162959,9036500,Nov 29 06:03 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-11-22,Sale,54.8,12722,697175,Nov 23 05:06 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-09-13,Sale,58.35,468,27309,Sep 14 05:50 PM
Elliott Geraldine,EVP & Chief Cust & Prtnr Offcr,2021-08-25,Sale,59.4,50000,2969805,Aug 25 07:29 PM
Robbins Charles,Chair and CEO,2021-08-25,Sale,59.69,6543,390572,Aug 25 07:32 PM
Martinez Maria,EVP & Chief Operating Officer,2021-08-24,Sale,59.01,44000,2596541,Aug 25 07:31 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-08-23,Sale,58.4,3518,205454,Aug 25 07:27 PM
Martinez Maria,EVP & Chief Operating Officer,2021-08-23,Sale,58.52,4000,234063,Aug 25 07:31 PM
