Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
ZILLMER JOHN J,Director,2022-06-06,Sale,32.25,16000,516000,Jun 08 04:12 PM
Goldman Nathan D,EVP & CLO,2021-10-22,Option Exercise,16.13,17793,287001,Oct 25 04:55 PM
Goldman Nathan D,EVP & CLO,2021-10-22,Sale,34.94,57793,2019287,Oct 25 04:55 PM
Williams Angela C,VP & Chief Accounting Officer,2021-10-21,Option Exercise,18.92,30639,579677,Oct 25 05:03 PM
Williams Angela C,VP & Chief Accounting Officer,2021-10-21,Sale,35.44,38535,1365569,Oct 25 05:03 PM
Wallace Mark Kenneth,Executive Vice President - CSX,2021-09-08,Option Exercise,17.94,161487,2897077,Sep 09 05:03 PM
Wallace Mark Kenneth,Executive Vice President - CSX,2021-09-08,Sale,31.6,161487,5102989,Sep 09 05:03 PM
ZILLMER JOHN J,Director,2021-08-24,Sale,33.54,15000,503100,Aug 26 05:01 PM
Goldman Nathan D,EVP & CLO,2021-07-26,Sale,32.87,35000,1150450,Jul 27 06:33 PM
ZILLMER JOHN J,Director,2021-07-26,Sale,32.64,80000,2611200,Jul 28 05:29 PM
