Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Patsalos-Fox Michael,Director,2022-05-17,Option Exercise,65.6,6371,417938,May 19 05:56 PM
Patsalos-Fox Michael,Director,2022-05-17,Sale,74.4,5687,423139,May 19 05:56 PM
Mackay Leo S. Jr.,Director,2022-05-10,Option Exercise,59.63,1426,85032,May 12 05:41 PM
Stafford Andrew J,"EVP, Head of Global Delivery",2022-05-10,Sale,77.24,5867,453167,May 12 05:36 PM
Mackay Leo S. Jr.,Director,2022-03-07,Option Exercise,65.6,6371,417938,Mar 09 05:57 PM
Mackay Leo S. Jr.,Director,2022-03-07,Sale,88.52,4778,422949,Mar 09 05:57 PM
Breakiron-Evans Maureen,Director,2022-02-25,Option Exercise,65.6,6371,417938,Mar 01 06:18 PM
Breakiron-Evans Maureen,Director,2022-02-25,Sale,87.76,6371,559120,Mar 01 06:18 PM
Nambiar Rajesh,"President, Digital Business",2022-02-11,Sale,90.5,5000,452500,Feb 15 04:56 PM
Schmitt Becky,EVP and Chief People Officer,2022-01-03,Sale,88.68,2225,197313,Jan 05 04:44 PM
Stafford Andrew J,"EVP, Head of Global Delivery",2021-12-09,Sale,80.87,6422,519348,Dec 13 04:30 PM
Telesmanic Robert,"SVP, Controller & CAO",2021-12-07,Sale,81.76,210,17169,Dec 09 01:33 PM
Schmitt Becky,EVP and Chief People Officer,2021-10-01,Sale,74.63,2696,201202,Oct 05 05:59 PM
Telesmanic Robert,"SVP, Controller & CAO",2021-09-08,Sale,76.41,148,11309,Sep 10 04:24 PM
Schmitt Becky,EVP and Chief People Officer,2021-07-01,Sale,69.43,2888,200514,Jul 06 05:57 PM
