Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
HENSHALL DAVID J,CEO & PRESIDENT,2021-10-01,Sale,107.96,5450,588382,Oct 04 11:24 AM
Mullapudi Sridhar,"EVP, Product Management",2021-09-07,Sale,102.69,690,70856,Sep 08 09:32 AM
Shenkman Arlen,EVP & CFO,2021-09-01,Sale,103.22,935,96511,Sep 02 10:31 AM
HENSHALL DAVID J,CEO & PRESIDENT,2021-09-01,Sale,103.22,6154,635216,Sep 02 10:29 AM
Shenkman Arlen,EVP & CFO,2021-08-02,Sale,100.28,935,93762,Aug 04 09:31 AM
FERRER MARK J,"EVP, Chief Revenue Officer",2021-08-02,Sale,100.28,1175,117829,Aug 04 09:29 AM
HENSHALL DAVID J,CEO & PRESIDENT,2021-08-02,Sale,100.28,6155,617223,Aug 04 09:27 AM
Shenkman Arlen,EVP & CFO,2021-07-01,Sale,117.15,935,109535,Jul 02 12:38 PM
HENSHALL DAVID J,CEO & PRESIDENT,2021-07-01,Sale,117.15,5859,686382,Jul 02 12:36 PM
FERRER MARK J,"EVP, Chief Revenue Officer",2021-07-01,Sale,117.15,2445,286432,Jul 02 12:33 PM
