Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Moriarty Thomas M,EVP & General Counsel,2022-06-28,Option Exercise,61.31,138654,8500397,Jun 30 05:00 PM
Moriarty Thomas M,EVP & General Counsel,2022-06-28,Sale,95,138654,13172130,Jun 30 05:00 PM
Shah Prem S,EVP and Co-President of Retail,2022-04-08,Option Exercise,62.37,13824,862145,Apr 12 04:51 PM
Shah Prem S,EVP and Co-President of Retail,2022-04-08,Sale,105,16954,1780170,Apr 12 04:51 PM
Finke Daniel P,"EVP/Pres, Health Care Benefits",2022-04-05,Sale,100,5941,594100,Apr 06 05:02 PM
Finke Daniel P,"EVP/Pres, Health Care Benefits",2022-04-04,Option Exercise,56.79,43327,2460629,Apr 06 05:02 PM
Finke Daniel P,"EVP/Pres, Health Care Benefits",2022-04-04,Sale,100.13,55359,5543097,Apr 06 05:02 PM
Shah Prem S,EVP and Co-President of Retail,2022-03-30,Option Exercise,102.26,5346,546682,Mar 31 04:49 PM
Shah Prem S,EVP and Co-President of Retail,2022-03-30,Sale,104.7,5346,559726,Mar 31 04:49 PM
Shah Prem S,EVP and Co-President of Retail,2022-03-17,Option Exercise,104.82,2935,307647,Mar 18 04:55 PM
Shah Prem S,EVP and Co-President of Retail,2022-03-17,Sale,106.65,4624,493150,Mar 18 04:55 PM
Moriarty Thomas M,EVP & General Counsel,2022-03-15,Option Exercise,102.26,51361,5252176,Mar 17 04:32 PM
Moriarty Thomas M,EVP & General Counsel,2022-03-15,Sale,105,51361,5392905,Mar 17 04:32 PM
LUDWIG EDWARD J,Director,2022-02-10,Buy,105.9,1000,105904,Feb 11 04:42 PM
Brennan Troyen A,EVP and Chief Medical Officer,2022-02-03,Option Exercise,102.26,47937,4902038,Feb 04 04:46 PM
Brennan Troyen A,EVP and Chief Medical Officer,2022-02-03,Sale,110,47937,5273070,Feb 04 04:46 PM
Lotvin Alan,EVP&President-PharmacyServices,2022-02-01,Option Exercise,102.26,21386,2186932,Feb 02 04:20 PM
Lotvin Alan,EVP&President-PharmacyServices,2022-02-01,Sale,106.5,21386,2277566,Feb 02 04:20 PM
Clark James David,"SVP, Cont & Chief Acct Officer",2022-01-28,Option Exercise,102.26,6059,619593,Feb 01 04:43 PM
Clark James David,"SVP, Cont & Chief Acct Officer",2022-01-28,Sale,109,6059,660431,Feb 01 04:43 PM
Roberts Jonathan C,EVP & Chief Operating Officer,2022-01-27,Option Exercise,102.26,68482,7002969,Jan 28 04:58 PM
Roberts Jonathan C,EVP & Chief Operating Officer,2022-01-27,Sale,107.5,68482,7361815,Jan 28 04:58 PM
Roberts Jonathan C,EVP & Chief Operating Officer,2021-11-03,Option Exercise,45.93,108870,5000399,Nov 05 04:35 PM
Roberts Jonathan C,EVP & Chief Operating Officer,2021-11-03,Sale,95,108870,10342650,Nov 05 04:35 PM
Brennan Troyen A,EVP and Chief Medical Officer,2021-11-01,Option Exercise,58.34,28159,1642796,Nov 03 04:44 PM
Brennan Troyen A,EVP and Chief Medical Officer,2021-11-01,Sale,90,28159,2534310,Nov 03 04:44 PM
Brennan Troyen A,EVP and Chief Medical Officer,2021-10-26,Option Exercise,54.19,80802,4378660,Oct 28 04:34 PM
Brennan Troyen A,EVP and Chief Medical Officer,2021-10-26,Sale,88,82757,7282616,Oct 28 04:34 PM
Brennan Troyen A,EVP and Chief Medical Officer,2021-09-02,Sale,87,2625,228375,Sep 07 07:57 PM
LUDWIG EDWARD J,Director,2021-08-05,Buy,79.55,3000,238635,Aug 05 04:58 PM
