Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Taylor David S,Director,2022-07-14,Buy,29.31,10000,293100,Jul 15 04:30 PM
Smith Joanne D,EVP & Chief People Officer,2022-05-31,Sale,41.48,7704,319562,Jun 01 04:30 PM
Sear Steven M,EVP - Global Sales,2022-05-27,Sale,41.65,12780,532287,Jun 01 04:30 PM
Bastian Edward H,Chief Executive Officer,2022-05-23,Sale,39.55,27664,1094111,May 25 04:30 PM
HAUENSTEIN GLEN W,President,2022-05-04,Sale,43.55,10000,435500,May 06 04:30 PM
Smith Joanne D,EVP & Chief People Officer,2022-04-29,Sale,44.14,9024,398319,May 02 05:13 PM
Creed Greg,Director,2022-04-22,Buy,44.03,11000,484352,Apr 26 04:31 PM
Smith Joanne D,EVP & Chief People Officer,2022-04-14,Sale,41.99,6098,256055,Apr 18 04:30 PM
Samant Rahul D,EVP & Chief Info Officer,2022-02-16,Sale,44.37,11885,527337,Feb 17 04:15 PM
Carroll William C,"SVP, Fin & Controller",2022-02-02,Sale,40.08,3580,143486,Feb 03 05:16 PM
Taylor David S,Director,2021-11-30,Buy,35.59,6000,213510,Dec 01 04:30 PM
Taylor David S,Director,2021-11-26,Buy,35.96,6000,215784,Nov 29 04:36 PM
Laughter John E,EVP & Chief of Operations,2021-08-31,Buy,40.22,1250,50269,Sep 02 04:30 PM
Taylor David S,Director,2021-08-03,Buy,39.3,5000,196485,Aug 05 04:49 PM
Taylor David S,Director,2021-07-19,Buy,38.25,3000,114750,Jul 21 06:13 PM
