Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
RING TIMOTHY M,Director,2022-08-01,Option Exercise,60.85,2000,121709,Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-08-01,Sale,136.04,2000,272080,Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-07-01,Option Exercise,57.46,2000,114911,Jul 05 04:35 PM
RING TIMOTHY M,Director,2022-07-01,Sale,133.47,2000,266940,Jul 05 04:35 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Option Exercise,94.2,282408,26601579,May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Sale,140.12,282408,39571322,May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-23,Option Exercise,94.26,77466,7302052,May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-23,Sale,140.17,77466,10858220,May 25 04:31 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-05-17,Option Exercise,66.51,50604,3365672,May 19 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-05-17,Sale,139.97,50604,7082991,May 19 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-03-08,Sale,135.21,6228,842088,Mar 09 04:50 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2022-03-08,Sale,135.21,7032,950797,Mar 09 04:40 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-02-28,Sale,130,661,85930,Mar 02 04:44 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2022-02-24,Sale,126.26,2750,347215,Feb 28 07:50 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-02-24,Sale,126.26,1669,210728,Feb 28 07:35 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2021-11-29,Option Exercise,95.8,37565,3598539,Dec 01 04:34 PM
Doherty Catherine T.,"SVP, Group Exec. Clin. Fran.",2021-11-29,Sale,156.81,37565,5890575,Dec 01 04:34 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-29,Option Exercise,95.8,9493,909382,Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-29,Sale,140.87,9493,1337251,Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-28,Option Exercise,95.8,139751,13387447,Jul 30 04:16 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-28,Sale,140.14,139751,19584845,Jul 30 04:16 PM
WILENSKY GAIL R,Director,2021-07-27,Option Exercise,59.39,12222,725926,Jul 28 04:18 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-27,Option Exercise,95.8,32788,3140926,Jul 28 04:21 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-27,Sale,140.01,32788,4590550,Jul 28 04:21 PM
WILENSKY GAIL R,Director,2021-07-27,Sale,139.3,12222,1702470,Jul 28 04:18 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-26,Option Exercise,95.8,5813,556856,Jul 28 04:21 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2021-07-26,Sale,140.03,5813,813994,Jul 28 04:21 PM
