Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Hewatt Michael W,Director,2022-08-02,Sale,77.07,4000,308284,Aug 02 05:02 PM
Odom Aron M.,"VP, Controller and PAO",2022-07-22,Sale,77.72,5000,388594,Jul 25 01:20 PM
Hewatt Michael W,Director,2022-05-25,Sale,67.97,1948,132406,May 26 04:18 PM
Allen Barbara K,Director,2022-03-21,Sale,82.63,1122,92713,Mar 21 06:03 PM
Auld David V,President and CEO,2022-03-17,Option Exercise,0,4278,0,Mar 21 05:45 PM
HORTON DONALD R,Chairman,2022-03-17,Option Exercise,0,10695,0,Mar 21 05:44 PM
Auld David V,President and CEO,2022-03-11,Option Exercise,0,9486,0,Mar 14 07:05 PM
HORTON DONALD R,Chairman,2022-03-11,Option Exercise,0,23718,0,Mar 14 07:03 PM
Allen Barbara K,Director,2022-02-28,Sale,85.46,423,36150,Feb 28 04:19 PM
Allen Barbara K,Director,2022-02-03,Sale,88.53,4000,354111,Feb 03 05:25 PM
Murray Michael J,EVP and COO,2021-12-10,Option Exercise,23.8,40000,952000,Dec 13 04:48 PM
WHEAT BILL W,EVP and CFO,2021-12-10,Option Exercise,23.8,60000,1428000,Dec 13 04:49 PM
Auld David V,President and CEO,2021-12-10,Option Exercise,23.86,28000,668080,Dec 13 04:47 PM
WHEAT BILL W,EVP and CFO,2021-12-10,Sale,108.11,35000,3783962,Dec 13 04:49 PM
Murray Michael J,EVP and COO,2021-12-10,Sale,107.89,34000,3668141,Dec 13 04:48 PM
Auld David V,President and CEO,2021-12-09,Option Exercise,23.86,32000,763520,Dec 13 04:47 PM
Auld David V,President and CEO,2021-12-09,Sale,108.61,32000,3475542,Dec 13 04:47 PM
Hewatt Michael W,Director,2021-12-08,Sale,107.1,2000,214200,Dec 08 05:41 PM
BUCHANAN MICHAEL R,Director,2021-12-08,Sale,107.72,470,50626,Dec 08 05:40 PM
Odom Aron M.,"VP, Controller and PAO",2021-12-06,Sale,106,1000,106000,Dec 08 04:30 PM
ANDERSON BRADLEY S,Director,2021-12-06,Sale,105,3000,315000,Dec 06 04:02 PM
Auld David V,President and CEO,2021-12-01,Option Exercise,0,1187,0,Dec 03 04:02 PM
HORTON DONALD R,Chairman,2021-12-01,Option Exercise,0,1197,0,Dec 03 04:01 PM
Allen Barbara K,Director,2021-12-01,Sale,99.63,470,46826,Dec 01 04:35 PM
ANDERSON BRADLEY S,Director,2021-11-19,Sale,103,3000,309000,Nov 22 04:50 PM
ANDERSON BRADLEY S,Director,2021-11-17,Sale,100.97,3000,302914,Nov 18 04:45 PM
Murray Michael J,EVP and COO,2021-10-27,Option Exercise,0,52500,0,Oct 29 04:03 PM
Auld David V,President and CEO,2021-10-27,Option Exercise,0,175000,0,Oct 29 04:03 PM
WHEAT BILL W,EVP and CFO,2021-10-27,Option Exercise,0,52500,0,Oct 29 04:04 PM
HORTON DONALD R,Chairman,2021-10-27,Option Exercise,0,350000,0,Oct 29 04:01 PM
Auld David V,President and CEO,2021-09-27,Option Exercise,23.8,60000,1428000,Sep 28 04:02 PM
Hewatt Michael W,Director,2021-07-27,Sale,92.66,2342,217010,Jul 27 09:03 PM
BUCHANAN MICHAEL R,Director,2021-07-26,Sale,92.5,2812,260110,Jul 27 09:02 PM
