Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Jacobs David A.,Chief Strategy Officer,2022-04-08,Sale,162.8,1346,219123,Apr 08 05:21 PM
Jacobs David A.,Chief Strategy Officer,2022-04-07,Sale,157.94,542,85604,Apr 08 05:21 PM
O'Boyle Thomas Jr,Chief Operating Officer,2022-04-01,Option Exercise,0,8740,0,Apr 05 02:43 PM
Lech Michael,Chief Logistics Officer,2022-04-01,Option Exercise,0,1600,0,Apr 05 02:44 PM
Click Betty J.,Former CHRO,2022-04-01,Option Exercise,0,6913,0,Apr 05 02:42 PM
McNeely Richard L,Chief Merchandising Officer,2022-04-01,Option Exercise,0,11275,0,Apr 05 02:41 PM
Old William A. JR,Chief Legal Officer,2022-04-01,Option Exercise,0,11076,0,Apr 05 02:42 PM
Jacobs David A.,Chief Strategy Officer,2022-04-01,Option Exercise,0,10426,0,Apr 05 02:40 PM
WAMPLER KEVIN S,Chief Financial Officer,2022-04-01,Option Exercise,0,15902,0,Apr 05 02:40 PM
Witynski Michael A.,President and CEO,2022-04-01,Option Exercise,0,21954,0,Apr 05 02:38 PM
HEINRICH DANIEL J,Director,2022-03-28,Buy,156.09,425,66340,Mar 29 04:13 PM
WAMPLER KEVIN S,Chief Financial Officer,2022-03-16,Option Exercise,0,6944,0,Mar 18 02:06 PM
Witynski Michael A.,President and CEO,2022-03-16,Option Exercise,0,19725,0,Mar 18 02:07 PM
O'Boyle Thomas Jr,Chief Operating Officer,2022-03-16,Option Exercise,0,5412,0,Mar 18 02:04 PM
Old William A. JR,Chief Legal Officer,2022-03-16,Option Exercise,0,4828,0,Mar 18 02:05 PM
Paisley James A.,Chief Information Officer,2022-03-16,Option Exercise,0,1320,0,Mar 18 02:05 PM
McNeely Richard L,Chief Merchandising Officer,2022-03-16,Option Exercise,0,6067,0,Mar 18 02:03 PM
Lech Michael,Chief Logistics Officer,2022-03-16,Option Exercise,0,2265,0,Mar 18 02:03 PM
Alasdair James,EVP Merch and Supply Chain,2022-03-16,Option Exercise,0,4673,0,Mar 18 02:02 PM
Click Betty J.,Former CHRO,2022-03-16,Option Exercise,0,3190,0,Mar 18 02:00 PM
Jacobs David A.,Chief Strategy Officer,2022-03-16,Option Exercise,0,4540,0,Mar 18 02:01 PM
Paisley James A.,Chief Information Officer,2022-01-29,Option Exercise,0,983,0,Jan 31 04:08 PM
Jacobs David A.,Chief Strategy Officer,2022-01-06,Sale,143,3395,485488,Jan 07 04:28 PM
Old William A. JR,Chief Legal Officer,2021-11-15,Sale,125.46,16267,2040872,Nov 16 04:16 PM
Witynski Michael A.,President and CEO,2021-08-28,Option Exercise,0,10292,0,Aug 30 10:50 AM
Lech Michael,Chief Logistics Officer,2021-07-02,Option Exercise,0,801,0,Jul 06 03:22 PM
