Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
BALSON ANDREW,Director,2022-07-26,Sale,385,10000,3850000,Jul 27 04:21 PM
BALSON ANDREW,Director,2022-07-25,Sale,387.24,4000,1548971,Jul 27 04:21 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2022-07-19,Sale,409.99,82,33619,Jul 20 04:53 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2022-07-18,Sale,409.26,103,42154,Jul 20 04:53 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2022-07-12,Sale,396.75,65,25789,Jul 14 06:02 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2022-04-04,Sale,397,137,54389,Apr 05 04:22 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2022-02-23,Sale,423.89,149,63160,Feb 24 05:51 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2021-11-04,Option Exercise,252.88,1190,300932,Nov 08 04:18 PM
HEADEN CYNTHIA A,"EVP, Supply Chain Services",2021-11-04,Sale,500,1565,782500,Nov 08 04:18 PM
JORDAN JOSEPH HUGH,"EVP, International",2021-10-21,Option Exercise,73.04,2010,146810,Oct 25 04:20 PM
JORDAN JOSEPH HUGH,"EVP, International",2021-10-21,Sale,467.16,2010,938998,Oct 25 04:20 PM
WEINER RUSSELL J,"COO & President, Domino's U.S.",2021-08-04,Option Exercise,51.96,54130,2812432,Aug 06 04:16 PM
WEINER RUSSELL J,"COO & President, Domino's U.S.",2021-08-04,Sale,537.71,54130,29106123,Aug 06 04:16 PM
PARRISH JESSICA L,"VP, Treasurer, Corp Controller",2021-07-29,Sale,530,100,53000,Jul 30 04:30 PM
ALLISON RICHARD E JR,Chief Executive Officer,2021-07-26,Option Exercise,42.16,29360,1237912,Jul 28 04:59 PM
ALLISON RICHARD E JR,Chief Executive Officer,2021-07-26,Option Exercise,63.05,14480,912964,Jul 28 05:00 PM
ALLISON RICHARD E JR,Chief Executive Officer,2021-07-26,Sale,529.44,14480,7666232,Jul 28 05:00 PM
ALLISON RICHARD E JR,Chief Executive Officer,2021-07-26,Sale,532.08,29360,15621812,Jul 28 04:59 PM
