Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
YOUNG STEVEN K,EVP & CFO,2022-08-01,Sale,109.87,415,45596,Aug 02 04:39 PM
YOUNG STEVEN K,EVP & CFO,2022-07-01,Sale,107.75,415,44716,Jul 06 04:29 PM
YOUNG STEVEN K,EVP & CFO,2022-06-01,Sale,112.55,415,46708,Jun 02 04:20 PM
REISING RONALD R,SVP & Chief HR Officer,2022-05-17,Sale,109.1,3706,404325,May 19 04:22 PM
YOUNG STEVEN K,EVP & CFO,2022-05-02,Sale,110.67,415,45928,May 04 04:27 PM
YOUNG STEVEN K,EVP & CFO,2022-04-01,Sale,111.47,415,46260,Apr 05 04:33 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-24,Sale,107.63,1793,192975,Mar 25 04:37 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-23,Sale,107.19,3876,415468,Mar 24 04:27 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-17,Sale,107.26,4470,479452,Mar 18 05:29 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-15,Sale,107.22,412,44175,Mar 16 04:40 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-14,Sale,107.25,2325,249356,Mar 16 04:40 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-03-08,Sale,107,1036,110852,Mar 10 04:34 PM
Glenn Robert Alexander,SVP & CEO DEF & Midwest,2022-03-04,Sale,105,1430,150150,Mar 07 04:40 PM
YOUNG STEVEN K,EVP & CFO,2022-03-01,Sale,100.41,415,41670,Mar 03 04:28 PM
GOOD LYNN J,"Chair, President & CEO",2022-02-25,Sale,98.57,20000,1971400,Feb 28 03:34 PM
Renjel Louis E.,"SVP, External Affairs & Comm",2022-02-14,Sale,99.32,1300,129116,Feb 16 04:33 PM
GOOD LYNN J,"Chair, President & CEO",2022-02-08,Option Exercise,104.41,98864,10322390,Feb 10 04:44 PM
Renjel Louis E.,"SVP, External Affairs & Comm",2022-02-08,Option Exercise,104.41,2858,298404,Feb 10 04:44 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2022-02-08,Option Exercise,104.41,15790,1648634,Feb 10 04:43 PM
Glenn Robert Alexander,SVP & CEO DEF & Midwest,2022-02-08,Option Exercise,104.41,3147,328578,Feb 10 04:42 PM
Savoy Brian D,"SVP,Chief Transform&AdminOff",2022-02-08,Option Exercise,104.41,3562,371908,Feb 10 04:42 PM
Jamil Dhiaa M.,EVP & Chief Operating Officer,2022-02-08,Option Exercise,104.41,23875,2492789,Feb 10 04:43 PM
Sideris Harry K.,"SVP, Customer Exp & Services",2022-02-08,Option Exercise,104.41,3499,365331,Feb 10 04:41 PM
Birmingham Melody,SVP & Chief Admin Officer,2022-02-08,Option Exercise,104.41,2554,266663,Feb 10 04:41 PM
YOUNG STEVEN K,EVP & CFO,2022-02-08,Option Exercise,104.41,17508,1828010,Feb 10 04:40 PM
Ghartey-Tagoe Kodwo,EVP & Chief Legal Officer,2022-02-08,Option Exercise,104.41,2526,263740,Feb 10 04:40 PM
YOUNG STEVEN K,EVP & CFO,2022-02-01,Sale,104.55,415,43388,Feb 03 04:23 PM
YOUNG STEVEN K,EVP & CFO,2022-01-03,Sale,104.91,415,43538,Jan 05 04:22 PM
YOUNG STEVEN K,EVP & CFO,2021-12-01,Sale,97.44,2000,194880,Dec 02 04:21 PM
Jamil Dhiaa M.,EVP & Chief Operating Officer,2021-11-17,Sale,98.71,400,39484,Nov 18 04:23 PM
JANSON JULIA S,EVP ExtAffairs&PresCarolinas,2021-07-16,Sale,105,15465,1623825,Jul 20 04:16 PM
