Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
STAFFIERI MICHAEL DAVID,"Chief Operating Officer, DKC",2022-06-23,Buy,77.7,20000,1554000,Jun 27 07:31 PM
Rodriguez Javier,Chief Executive Officer,2022-06-06,Option Exercise,65.48,79909,5232441,Jun 07 06:47 PM
Waters Kathleen Alyce,Chief Legal & Pub. Affairs Off,2022-06-06,Option Exercise,65.48,20929,1370431,Jun 07 06:47 PM
DESOER BARBARA J,Director,2022-06-03,Sale,97.42,2320,226010,Jun 06 06:17 PM
DESOER BARBARA J,Director,2022-05-31,Option Exercise,66.17,7178,474968,Jun 01 05:27 PM
NEHRA JOHN M,Director,2022-05-10,Option Exercise,66.17,7178,474968,May 11 06:35 PM
HEARTY JAMES O,Chief Compliance Officer,2022-03-24,Option Exercise,65.48,2283,149491,Mar 28 05:34 PM
Price Paula A,Director,2022-02-14,Sale,113.64,700,79551,Feb 15 06:24 PM
Arway Pamela M,Director,2021-11-23,Sale,102.86,446,45876,Nov 23 05:34 PM
STAFFIERI MICHAEL DAVID,"Chief Operating Officer, DKC",2021-09-03,Option Exercise,65.48,37101,2429373,Sep 08 05:59 PM
Arway Pamela M,Director,2021-08-23,Sale,133.09,365,48578,Aug 23 06:08 PM
ACKERMAN JOEL,CFO and Treasuer,2021-08-09,Option Exercise,68.89,145159,10000004,Aug 11 07:32 PM
Price Paula A,Director,2021-08-05,Sale,132.66,790,104804,Aug 06 06:00 PM
ACKERMAN JOEL,CFO & Treasurer,2021-08-05,Sale,131.36,37760,4960146,Aug 06 06:00 PM
