Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
DECKELMAN WILLIAM L JR,EVP & General Counsel,2022-02-07,Option Exercise,17.33,50195,869879,Feb 09 04:41 PM
DECKELMAN WILLIAM L JR,EVP & General Counsel,2022-02-07,Sale,36.68,53831,1974397,Feb 09 04:41 PM
FERNANDEZ RAUL J,Director,2021-09-01,Buy,33.88,1324,44863,Sep 03 07:32 PM
FERNANDEZ RAUL J,Director,2021-08-23,Buy,35.83,1390,49807,Aug 24 07:03 PM
FERNANDEZ RAUL J,Director,2021-08-20,Buy,35.63,280,9977,Aug 24 07:03 PM
FERNANDEZ RAUL J,Director,2021-08-19,Buy,34.84,575,20036,Aug 19 06:49 PM
FERNANDEZ RAUL J,Director,2021-08-18,Buy,36.86,816,30077,Aug 19 06:49 PM
FERNANDEZ RAUL J,Director,2021-08-17,Buy,38.86,9515,369743,Aug 19 06:49 PM
FERNANDEZ RAUL J,Director,2021-08-13,Buy,40.99,1195,48983,Aug 13 05:54 PM
FERNANDEZ RAUL J,Director,2021-08-11,Buy,40.1,1247,50005,Aug 13 05:54 PM
FERNANDEZ RAUL J,Director,2021-08-06,Buy,39.55,2545,100664,Aug 10 09:24 PM
