Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Haney Carl P.,EVP Research Prod & Innovation,2022-06-03,Sale,263.88,548,144606,Jun 06 01:47 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-05-27,Sale,253.55,671,170132,May 27 02:26 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-05-26,Sale,237.92,1965,467513,May 26 04:39 PM
Webster Meridith,EVP Global Comm/Public Affairs,2022-05-17,Option Exercise,0,786,0,May 18 12:30 PM
BARSHEFSKY CHARLENE,Director,2022-05-11,Option Exercise,57.49,4736,272273,May 12 01:22 PM
Hertzmark Hudis Jane,Executive Group President,2022-05-11,Sale,230.69,8256,1904577,May 12 04:35 PM
BARSHEFSKY CHARLENE,Director,2022-05-11,Sale,238.34,1158,275998,May 12 01:22 PM
LAUDER JANE,"EVP, Enterprise Mkg & CDataO",2022-05-04,Option Exercise,59.78,20032,1197513,May 06 04:07 PM
LAUDER JANE,"EVP, Enterprise Mkg & CDataO",2022-05-04,Sale,245.34,20032,4914745,May 06 04:07 PM
Canevari Roberto,Executive Vice President,2022-04-19,Option Exercise,0,1994,0,Apr 20 02:35 PM
Freda Fabrizio,President and CEO,2022-03-11,Option Exercise,76.23,127919,9751265,Mar 14 04:32 PM
Freda Fabrizio,President and CEO,2022-03-11,Sale,266.84,127919,34133912,Mar 14 04:32 PM
Haney Carl P.,EVP Research Prod & Innovation,2022-02-15,Sale,307.94,1152,354747,Feb 16 03:03 PM
LAUDER RONALD S,"Chairman, Clinique Labs, LLC",2022-02-10,Sale,307.08,700000,214956000,Feb 11 03:35 PM
Demsey John,Group President,2022-02-09,Option Exercise,218.06,10027,2186488,Feb 10 01:53 PM
Demsey John,Group President,2022-02-09,Sale,319.68,10027,3205431,Feb 10 01:53 PM
O'HARE MICHAEL,EVP-Global Human Resources,2022-02-04,Option Exercise,183.08,16389,3000516,Feb 07 12:52 PM
Demsey John,Group President,2022-02-04,Option Exercise,163.79,23248,3807875,Feb 07 12:51 PM
O'HARE MICHAEL,EVP-Global Human Resources,2022-02-04,Sale,309.88,16389,5078623,Feb 07 12:52 PM
