Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SHAPIRO MARK S,Director,2022-06-17,Option Exercise,50.68,6665,337782,Jun 21 04:34 PM
SHAPIRO MARK S,Director,2022-06-17,Sale,70.1,6665,467216,Jun 21 04:34 PM
Manelis Michael L,Executive Vice President & COO,2022-02-04,Sale,90.13,3629,327082,Feb 07 04:49 PM
Garechana Robert,EVP & Chief Financial Officer,2022-02-04,Sale,90.13,2770,249660,Feb 07 04:43 PM
Kaufman Ian,Chief Accounting Officer,2022-02-04,Sale,90.13,870,78413,Feb 07 04:46 PM
Fenster Scott,EVP & General Counsel,2022-02-04,Sale,90.13,1102,99323,Feb 07 04:36 PM
Carraway Catherine,Executive Vice President,2022-02-04,Sale,90.13,160,14421,Feb 07 04:33 PM
Brackenridge Alexander,Executive Vice President & CIO,2022-02-04,Sale,90.13,1600,144208,Feb 07 04:26 PM
NEITHERCUT DAVID J,Director,2022-02-03,Option Exercise,46.72,100000,4672000,Feb 07 04:20 PM
NEITHERCUT DAVID J,Director,2022-02-03,Sale,92.01,100000,9201000,Feb 07 04:20 PM
NEITHERCUT DAVID J,Director,2021-11-24,Option Exercise,51.34,67941,3488091,Nov 29 04:05 PM
NEITHERCUT DAVID J,Director,2021-11-24,Sale,88,67941,5978808,Nov 29 04:05 PM
NEITHERCUT DAVID J,Director,2021-11-18,Option Exercise,51.34,10026,514735,Nov 19 04:21 PM
NEITHERCUT DAVID J,Director,2021-11-18,Sale,88.01,10026,882388,Nov 19 04:21 PM
NEITHERCUT DAVID J,Director,2021-11-15,Option Exercise,51.34,39674,2036863,Nov 17 04:14 PM
NEITHERCUT DAVID J,Director,2021-11-15,Sale,88,39674,3491312,Nov 17 04:14 PM
Garechana Robert,EVP & Chief Financial Officer,2021-11-01,Option Exercise,60.33,9146,551778,Nov 03 04:16 PM
Garechana Robert,EVP & Chief Financial Officer,2021-11-01,Sale,86.21,9146,788477,Nov 03 04:16 PM
NEITHERCUT DAVID J,Director,2021-10-29,Option Exercise,51.34,300,15402,Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-29,Sale,88,300,26400,Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-28,Option Exercise,51.34,50000,2567000,Nov 01 04:12 PM
NEITHERCUT DAVID J,Director,2021-10-28,Sale,87.53,50000,4376500,Nov 01 04:12 PM
HABEN MARY KAY,Director,2021-09-23,Option Exercise,50.68,6665,337782,Sep 24 04:24 PM
HABEN MARY KAY,Director,2021-09-23,Sale,82.94,6665,552795,Sep 24 04:24 PM
ZELL SAMUEL,Chairman of the Board,2021-09-22,Option Exercise,51.34,223331,11465814,Sep 24 04:21 PM
NEITHERCUT DAVID J,Director,2021-09-02,Option Exercise,51.34,24757,1271024,Sep 07 04:12 PM
NEITHERCUT DAVID J,Director,2021-09-02,Sale,86,24757,2129102,Sep 07 04:12 PM
NEITHERCUT DAVID J,Director,2021-09-01,Option Exercise,50.34,100000,5033568,Sep 02 04:13 PM
NEITHERCUT DAVID J,Director,2021-09-01,Sale,85.02,100000,8501669,Sep 02 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-06,Option Exercise,45.28,11709,530184,Aug 10 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-06,Sale,85.02,11709,995499,Aug 10 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-02,Option Exercise,45.28,10459,473584,Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-08-02,Sale,85.24,10459,891525,Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-07-30,Option Exercise,45.28,70171,3177343,Aug 03 04:13 PM
Carraway Catherine,Executive Vice President,2021-07-30,Sale,84.61,891,75388,Aug 03 04:16 PM
NEITHERCUT DAVID J,Director,2021-07-30,Sale,85.11,70171,5972254,Aug 03 04:13 PM
NEITHERCUT DAVID J,Director,2021-07-29,Option Exercise,45.28,1721,77927,Aug 02 04:22 PM
NEITHERCUT DAVID J,Director,2021-07-29,Sale,85,1721,146285,Aug 02 04:22 PM
