Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Lawrence Sandra AJ,Director,2022-06-03,Sale,70.01,400,28003,Jun 03 04:28 PM
Lawrence Sandra AJ,Director,2022-06-02,Sale,69.98,400,27992,Jun 03 04:28 PM
Lawrence Sandra AJ,Director,2022-05-26,Sale,69.79,400,27917,May 27 05:10 PM
Lawrence Sandra AJ,Director,2022-05-25,Sale,69.48,500,34742,May 25 04:35 PM
Lawrence Sandra AJ,Director,2022-05-23,Sale,68.22,500,34112,May 25 04:35 PM
Lawrence Sandra AJ,Director,2022-05-18,Sale,67.18,657,44137,May 20 04:16 PM
KING CHARLES L,SVP & CHIEF TECHNOLOGY OFFICER,2022-03-10,Sale,63.26,1200,75915,Mar 10 06:30 PM
KING CHARLES L,SVP & CHIEF TECHNOLOGY OFFICER,2022-03-01,Option Exercise,0,1130,0,Mar 03 05:49 PM
Humphrey Heather A,"SVP - GEN COUNSEL, CORP SEC",2022-03-01,Option Exercise,0,3029,0,Mar 03 05:43 PM
GREENWOOD GREG A,EVP & CHIEF STRATEGY OFFICER,2022-03-01,Option Exercise,0,3754,0,Mar 03 05:38 PM
Caisley Charles A.,SVP - PA & CHIEF CO,2022-03-01,Option Exercise,0,1298,0,Mar 03 05:30 PM
BUSSER STEVEN P,VP & CHIEF ACCOUNTING OFFICER,2022-03-01,Option Exercise,0,1058,0,Mar 03 05:24 PM
Bryant Kevin E.,EVP - CHIEF OPERATING OFFICER,2022-03-01,Option Exercise,0,3754,0,Mar 03 05:17 PM
Andrews Kirkland B,EVP - Chief Financial Officer,2022-02-22,Option Exercise,0,16692,0,Feb 23 06:01 PM
WILDER C JOHN,Director,2021-12-17,Buy,67.55,6290,424905,Dec 17 05:30 PM
WILDER C JOHN,Director,2021-12-16,Buy,68.13,6745,459560,Dec 17 05:30 PM
WILDER C JOHN,Director,2021-12-15,Buy,67.64,6775,458286,Dec 17 05:30 PM
WILDER C JOHN,Director,2021-12-14,Buy,67.41,6806,458823,Dec 14 06:07 PM
WILDER C JOHN,Director,2021-12-13,Buy,67.62,6806,460192,Dec 14 06:07 PM
WILDER C JOHN,Director,2021-12-10,Buy,66.96,7000,468744,Dec 14 06:07 PM
WILDER C JOHN,Director,2021-12-09,Buy,66.59,6755,449783,Dec 09 05:16 PM
WILDER C JOHN,Director,2021-12-08,Buy,66.95,6775,453612,Dec 09 05:16 PM
WILDER C JOHN,Director,2021-12-07,Buy,66.73,6806,454156,Dec 07 05:28 PM
WILDER C JOHN,Director,2021-12-06,Buy,66.69,6903,460340,Dec 07 05:28 PM
WILDER C JOHN,Director,2021-12-03,Buy,64.53,7168,462560,Dec 07 05:28 PM
WILDER C JOHN,Director,2021-12-02,Buy,64.03,7219,462265,Dec 02 05:34 PM
WILDER C JOHN,Director,2021-12-01,Buy,64.05,7146,457718,Dec 02 05:34 PM
WILDER C JOHN,Director,2021-11-30,Buy,64.22,7049,452677,Dec 02 05:34 PM
WILDER C JOHN,Director,2021-11-29,Buy,65.1,7058,459447,Nov 29 04:58 PM
WILDER C JOHN,Director,2021-11-26,Buy,64.82,7058,457521,Nov 29 04:58 PM
WILDER C JOHN,Director,2021-11-24,Buy,65.66,6929,454942,Nov 29 04:58 PM
WILDER C JOHN,Director,2021-11-23,Buy,66.38,6877,456488,Nov 23 06:28 PM
WILDER C JOHN,Director,2021-11-22,Buy,66.26,6835,452917,Nov 23 06:28 PM
WILDER C JOHN,Director,2021-11-19,Buy,65.61,7085,464862,Nov 23 06:28 PM
WILDER C JOHN,Director,2021-11-18,Buy,64.82,7036,456080,Nov 18 05:10 PM
WILDER C JOHN,Director,2021-11-17,Buy,65.61,7014,460154,Nov 18 05:10 PM
WILDER C JOHN,Director,2021-11-16,Buy,65.57,6961,456449,Nov 16 04:55 PM
WILDER C JOHN,Director,2021-11-15,Buy,65.32,7070,461783,Nov 16 04:55 PM
WILDER C JOHN,Director,2021-11-12,Buy,64.63,7085,457914,Nov 16 04:55 PM
WILDER C JOHN,Director,2021-11-11,Buy,64.38,7090,456463,Nov 12 07:46 AM
WILDER C JOHN,Director,2021-11-10,Buy,64.6,7085,457680,Nov 12 07:46 AM
WILDER C JOHN,Director,2021-11-09,Buy,64.06,7146,457748,Nov 09 05:41 PM
WILDER C JOHN,Director,2021-11-08,Buy,63.63,7058,449097,Nov 09 05:41 PM
WILDER C JOHN,Director,2021-11-05,Buy,64.56,7180,463575,Nov 09 05:41 PM
WILDER C JOHN,Director,2021-10-06,Buy,62.96,19930,1254741,Oct 06 06:02 PM
WILDER C JOHN,Director,2021-10-05,Buy,62.85,19942,1253430,Oct 06 06:02 PM
WILDER C JOHN,Director,2021-10-04,Buy,62.4,20225,1262102,Oct 04 05:23 PM
WILDER C JOHN,Director,2021-10-01,Buy,62.11,20030,1244111,Oct 04 05:23 PM
WILDER C JOHN,Director,2021-09-30,Buy,62.78,19763,1240769,Oct 04 05:23 PM
WILDER C JOHN,Director,2021-09-29,Buy,63.08,19868,1253210,Sep 29 05:12 PM
WILDER C JOHN,Director,2021-09-28,Buy,62.76,19778,1241360,Sep 29 05:12 PM
WILDER C JOHN,Director,2021-09-24,Buy,63.52,19740,1253978,Sep 27 08:00 AM
Campbell David A,President and CEO,2021-09-23,Buy,63.66,7850,499699,Sep 23 04:16 PM
Andrews Kirkland B,EVP - Chief Financial Officer,2021-09-23,Buy,63.67,7875,501392,Sep 23 04:17 PM
WILDER C JOHN,Director,2021-09-23,Buy,63.7,19840,1263820,Sep 27 08:00 AM
