Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Snow Frederick Philip,Chief Executive Officer,2022-08-01,Option Exercise,164.9,2500,412250,Aug 02 04:13 PM
Snow Frederick Philip,Chief Executive Officer,2022-08-01,Sale,424.92,2500,1062300,Aug 02 04:13 PM
Reeve Jonathan,"EVP, Head of CTS",2022-07-08,Option Exercise,269.43,335,90259,Jul 11 04:11 PM
Reeve Jonathan,"EVP, Head of CTS",2022-07-08,Sale,401.55,335,134519,Jul 11 04:11 PM
Snow Frederick Philip,Chief Executive Officer,2022-07-01,Option Exercise,164.9,2500,412250,Jul 01 04:08 PM
Snow Frederick Philip,Chief Executive Officer,2022-07-01,Sale,384.54,2500,961350,Jul 01 04:08 PM
Jordan Sheila B,Director,2022-06-28,Option Exercise,207.88,2572,534667,Jun 29 05:32 PM
Jordan Sheila B,Director,2022-06-28,Sale,391.15,2572,1006038,Jun 29 05:32 PM
ZIMMEL JOSEPH,Director,2022-06-24,Sale,390.62,1000,390620,Jun 27 04:16 PM
Snow Frederick Philip,Chief Executive Officer,2022-06-01,Option Exercise,164.9,2500,412250,Jun 01 05:45 PM
Snow Frederick Philip,Chief Executive Officer,2022-06-01,Sale,370.95,2500,927375,Jun 01 05:45 PM
Snow Frederick Philip,Chief Executive Officer,2022-05-02,Option Exercise,164.9,2500,412250,May 02 04:15 PM
Snow Frederick Philip,Chief Executive Officer,2022-05-02,Sale,404.37,2500,1010925,May 02 04:15 PM
ABRAMS ROBIN ANN,Director,2022-04-26,Sale,418.98,1767,740338,Apr 27 04:11 PM
ZIMMEL JOSEPH,Director,2022-04-08,Option Exercise,207.88,2572,534667,Apr 08 04:22 PM
ZIMMEL JOSEPH,Director,2022-04-08,Sale,443.11,1207,534829,Apr 08 04:22 PM
Fernandez Gene D.,Chief Tech & Content Officer,2022-04-07,Option Exercise,199.73,16517,3298919,Apr 08 04:37 PM
Fernandez Gene D.,Chief Tech & Content Officer,2022-04-07,Sale,442.99,16517,7316845,Apr 08 04:37 PM
SIEGEL LAURIE,Director,2022-04-06,Option Exercise,170.24,1286,218929,Apr 06 04:18 PM
SIEGEL LAURIE,Director,2022-04-06,Sale,440,1286,565840,Apr 06 04:18 PM
ZIMMEL JOSEPH,Director,2022-04-06,Sale,444.72,976,434047,Apr 07 05:18 PM
Snow Frederick Philip,Chief Executive Officer,2022-04-01,Option Exercise,164.9,2500,412250,Apr 01 04:09 PM
Snow Frederick Philip,Chief Executive Officer,2022-04-01,Sale,435.37,2500,1088425,Apr 01 04:09 PM
