Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Lavender Kevin P,EVP,2022-06-02,Sale,39.24,6500,255060,Jun 06 04:07 PM
Schramm Jude,EVP & CIO,2022-05-17,Sale,36.93,2500,92325,May 19 05:07 PM
CARMICHAEL GREG D,"CEO, Chair",2022-04-21,Sale,40.05,50000,2002500,Apr 22 04:03 PM
FEIGER MITCHELL,Director,2022-02-22,Option Exercise,27.71,27965,774910,Feb 24 04:35 PM
Spence Timothy,President,2022-02-14,Sale,48.07,4558,219103,Feb 15 04:36 PM
CARMICHAEL GREG D,"CEO, Chair",2022-02-09,Sale,49.21,67687,3330877,Feb 09 04:23 PM
CARMICHAEL GREG D,"CEO, Chair",2022-02-07,Option Exercise,16.15,141447,2284369,Feb 09 04:23 PM
Hammond Howard,EVP,2022-02-07,Sale,47.63,2500,119064,Feb 08 04:18 PM
Hammond Howard,EVP,2021-11-03,Sale,43.79,4000,175160,Nov 05 04:10 PM
Garrett Kristine R.,EVP,2021-10-25,Sale,45.61,10740,489851,Oct 27 04:33 PM
Shaffer Robert P,EVP,2021-09-08,Sale,38.41,6372,244749,Sep 10 04:07 PM
Shaffer Robert P,EVP,2021-09-02,Option Exercise,14.36,17731,254617,Sep 07 04:26 PM
HARVEY THOMAS H,Director,2021-08-24,Sale,38.13,500,19065,Aug 26 04:25 PM
