Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
STAVRIDIS JAMES G.,Director,2022-06-16,Option Exercise,0,527,0,Jun 17 04:36 PM
Sim Judith,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 04:33 PM
NEUKOM WILLIAM H.,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 04:32 PM
GOLDMAN KENNETH A,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 04:29 PM
Hsieh Ming,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 04:30 PM
Ducourty Kelly,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 04:27 PM
Hu Jean X.,Director,2022-06-16,Option Exercise,0,244,0,Jun 17 05:42 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-05-25,Option Exercise,120.74,7888,952405,May 26 04:33 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-05-25,Sale,284.1,7888,2240986,May 26 04:33 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-05-17,Sale,283.43,1324,375261,May 18 05:33 PM
Xie Michael,"VP, Engineering & CTO",2022-05-09,Sale,248.85,1653,411347,May 10 05:02 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-05-01,Option Exercise,0,1703,0,May 03 04:53 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-05-01,Option Exercise,0,2629,0,May 03 04:52 PM
Xie Michael,"VP, Engineering & CTO",2022-05-01,Option Exercise,0,3280,0,May 03 04:56 PM
Xie Ken,President & CEO,2022-05-01,Option Exercise,0,7897,0,May 03 04:54 PM
Perche Patrice,Chief Revenue Off./EVP Supp.,2022-05-01,Option Exercise,0,2206,0,May 03 04:52 PM
Sim Judith,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:53 PM
NEUKOM WILLIAM H.,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:52 PM
Hsieh Ming,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:50 PM
Hu Jean X.,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:51 PM
GOLDMAN KENNETH A,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:49 PM
Ducourty Kelly,Director,2022-03-31,Option Exercise,0,244,0,Apr 01 04:49 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-03-21,Option Exercise,119.32,1704,203323,Mar 23 04:09 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-03-21,Sale,315.5,1704,537612,Mar 23 04:09 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-02-24,Option Exercise,131.47,17580,2311221,Feb 28 04:11 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-02-24,Sale,316.36,3127,989248,Feb 28 04:12 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-02-24,Sale,301.02,14453,4350706,Feb 28 04:11 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-02-22,Option Exercise,143.85,8514,1224699,Feb 23 04:06 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-02-22,Sale,298.08,8514,2537825,Feb 23 04:06 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-02-17,Sale,313.43,3600,1128349,Feb 18 04:33 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-02-03,Sale,303.66,2407,730901,Feb 03 07:08 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-02-01,Option Exercise,0,4325,0,Feb 03 07:08 PM
Xie Michael,"VP, Engineering & CTO",2022-02-01,Option Exercise,0,7787,0,Feb 03 06:58 PM
Xie Ken,President & CEO,2022-02-01,Option Exercise,0,17822,0,Feb 03 06:57 PM
Jensen Keith,CFO & Chief Accounting Officer,2022-02-01,Option Exercise,0,6276,0,Feb 03 06:49 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-01-21,Option Exercise,72.8,2412,175582,Jan 24 05:29 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2022-01-21,Sale,297.2,2412,716851,Jan 24 05:29 PM
Sim Judith,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:47 PM
NEUKOM WILLIAM H.,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:46 PM
Hu Jean X.,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:45 PM
Hsieh Ming,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:44 PM
GOLDMAN KENNETH A,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:42 PM
Ducourty Kelly,Director,2021-12-31,Option Exercise,0,244,0,Jan 03 05:40 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-12-21,Option Exercise,72.8,2412,175582,Dec 22 08:30 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-12-21,Sale,332.31,2412,801539,Dec 22 08:30 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-11-24,Option Exercise,82.96,7992,663024,Nov 26 06:16 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-11-24,Sale,330,7992,2637383,Nov 26 06:16 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-11-22,Option Exercise,72.81,2411,175533,Nov 23 09:14 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-11-22,Sale,335.16,2411,808065,Nov 23 09:14 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-11-16,Sale,339.84,1550,526758,Nov 18 04:13 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-11-03,Sale,330.06,1153,380559,Nov 03 06:14 PM
Xie Michael,"VP, Engineering & CTO",2021-11-02,Sale,327.8,2088,684445,Nov 03 06:19 PM
Xie Ken,President & CEO,2021-11-01,Option Exercise,0,8756,0,Nov 03 06:17 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-11-01,Option Exercise,0,2290,0,Nov 03 06:14 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-11-01,Option Exercise,0,3081,0,Nov 03 06:21 PM
Xie Michael,"VP, Engineering & CTO",2021-11-01,Option Exercise,0,4145,0,Nov 03 06:19 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-10-21,Option Exercise,72.77,2410,175383,Oct 22 05:07 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-10-21,Sale,331.47,2410,798847,Oct 22 05:07 PM
Sim Judith,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:23 PM
Hu Jean X.,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:22 PM
GOLDMAN KENNETH A,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:20 PM
Hsieh Ming,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:21 PM
NEUKOM WILLIAM H.,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:19 PM
Ducourty Kelly,Director,2021-09-30,Option Exercise,0,243,0,Oct 01 04:18 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-09-21,Option Exercise,72.81,2411,175533,Sep 22 06:04 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-09-21,Sale,302,2411,728122,Sep 22 06:04 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-08-24,Option Exercise,82.96,7992,663024,Aug 25 04:45 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-08-24,Sale,301.31,7992,2408097,Aug 25 04:45 PM
Xie Michael,"VP, Engineering & CTO",2021-08-24,Sale,301.26,40000,12050535,Aug 25 04:43 PM
Xie Michael,"VP, Engineering & CTO",2021-08-24,Sale,301.27,40000,12050946,Aug 25 04:43 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-08-23,Option Exercise,72.8,2412,175582,Aug 24 04:12 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-08-23,Sale,305.73,2412,737417,Aug 24 04:12 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-08-17,Sale,297.87,1550,461703,Aug 18 04:20 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-08-03,Option Exercise,72.79,7234,526583,Aug 03 08:23 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-08-03,Sale,291.81,8388,2447692,Aug 03 08:23 PM
Xie Michael,"VP, Engineering & CTO",2021-08-02,Sale,281.2,2088,587143,Aug 03 08:27 PM
Whittle John,"VP Corp Dev&Strat Alliance,GC",2021-08-01,Option Exercise,0,2291,0,Aug 03 08:23 PM
Xie Michael,"VP, Engineering & CTO",2021-08-01,Option Exercise,0,4145,0,Aug 03 08:27 PM
Xie Ken,President & CEO,2021-08-01,Option Exercise,0,8755,0,Aug 03 08:26 PM
Jensen Keith,CFO & Chief Accounting Officer,2021-08-01,Option Exercise,0,3081,0,Aug 03 08:25 PM
