Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
McNabb Dana M,Chief S&G Officer,2022-07-06,Option Exercise,55.72,5568,310249,Jul 07 03:38 PM
McNabb Dana M,Chief S&G Officer,2022-07-06,Sale,76.16,10993,837174,Jul 07 03:38 PM
Pallot Mark A,Chief Accounting Officer,2022-06-30,Option Exercise,50.61,2255,114123,Jul 01 03:24 PM
Bruce Kofi A,Chief Financial Officer,2022-06-30,Option Exercise,38.15,10911,416255,Jul 01 03:20 PM
Walker Sean N,Group President,2022-06-30,Option Exercise,38.15,29489,1125005,Jul 01 03:27 PM
Pallot Mark A,Chief Accounting Officer,2022-06-30,Sale,74.66,2255,168358,Jul 01 03:24 PM
Walker Sean N,Group President,2022-06-30,Sale,75,29489,2211675,Jul 01 03:27 PM
HARMENING JEFFREY L,Chairman of the Board & CEO,2022-04-21,Option Exercise,38.15,47306,1804724,Apr 25 02:22 PM
OGrady Shawn P,Group President,2022-04-20,Option Exercise,48.33,43565,2105496,Apr 22 03:42 PM
Allendorf Richard C,General Counsel & Secretary,2022-04-20,Option Exercise,50.93,17370,884643,Apr 22 03:46 PM
OGrady Shawn P,Group President,2022-04-20,Sale,71.9,43565,3132324,Apr 22 03:42 PM
OGrady Shawn P,Group President,2022-04-05,Option Exercise,48.33,27157,1312498,Apr 07 10:27 AM
OGrady Shawn P,Group President,2022-04-05,Sale,69.5,27157,1887412,Apr 07 10:27 AM
Williams-Roll Jacqueline,Chief Human Resources Officer,2022-04-01,Option Exercise,38.15,10911,416255,Apr 05 01:12 PM
Williams-Roll Jacqueline,Chief Human Resources Officer,2022-04-01,Sale,68.61,10911,748658,Apr 05 01:12 PM
Pallot Mark A,Chief Accounting Officer,2022-01-10,Option Exercise,38.15,1410,53792,Jan 12 12:30 PM
Quam Bethany C.,"Group President, Pet",2022-01-10,Option Exercise,38.15,5455,208108,Jan 12 12:34 PM
Quam Bethany C.,"Group President, Pet",2022-01-10,Sale,69.02,14455,997691,Jan 12 12:34 PM
Pallot Mark A,Chief Accounting Officer,2022-01-10,Sale,69.31,1410,97723,Jan 12 12:30 PM
McNabb Dana M,Chief S&G Officer,2022-01-07,Option Exercise,51.69,7190,371663,Jan 11 02:34 PM
McNabb Dana M,Chief S&G Officer,2022-01-07,Sale,68.86,20743,1428458,Jan 11 02:34 PM
Benson Jodi J,Chief Innovation Officer,2022-01-06,Option Exercise,48.33,9127,441108,Jan 07 05:23 PM
Benson Jodi J,Chief Innovation Officer,2022-01-06,Sale,68.91,9127,628942,Jan 07 05:23 PM
Benson Jodi J,Chief Innovation Officer,2021-12-28,Sale,66.59,5000,332962,Dec 30 05:41 PM
Church John R,Chief T&E Services Officer,2021-12-22,Option Exercise,38.15,47306,1804724,Dec 27 10:38 AM
OGrady Shawn P,Group President,2021-12-22,Option Exercise,38.15,29489,1125005,Dec 27 10:41 AM
OGrady Shawn P,Group President,2021-12-22,Option Exercise,38.15,47306,1804724,Dec 27 10:41 AM
Church John R,Chief T&E Services Officer,2021-12-22,Sale,64.99,47306,3074483,Dec 27 10:38 AM
OGrady Shawn P,Group President,2021-12-22,Sale,64.93,29489,1914815,Dec 27 10:41 AM
OGrady Shawn P,Group President,2021-12-22,Sale,64.96,47306,3072799,Dec 27 10:41 AM
Walker Sean N,Group President,2021-10-20,Sale,62.76,4894,307148,Oct 22 10:11 AM
Nudi Jonathon,Group President,2021-10-06,Sale,61.45,9725,597601,Oct 08 06:17 PM
Allendorf Richard C,General Counsel & Secretary,2021-10-01,Option Exercise,38.15,9731,371238,Oct 04 07:45 PM
Allendorf Richard C,General Counsel & Secretary,2021-10-01,Sale,60.54,9731,589115,Oct 04 07:45 PM
OGrady Shawn P,Group President,2021-09-24,Sale,60.48,28614,1730563,Sep 28 10:09 AM
Walker Sean N,Group President,2021-07-14,Option Exercise,37.21,26337,980000,Jul 16 10:04 AM
Walker Sean N,Group President,2021-07-14,Sale,58.78,26337,1548081,Jul 16 10:04 AM
HARMENING JEFFREY L,Chairman of the Board & CEO,2021-07-02,Option Exercise,37.21,44147,1642710,Jul 06 09:42 PM
