Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-07-29,Option Exercise,77.26,800,61808,Aug 01 04:05 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-07-29,Sale,100.64,800,80516,Aug 01 04:05 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2022-05-11,Sale,98.84,1000,98840,May 11 12:51 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2022-04-28,Sale,100.05,1000,100050,Apr 28 06:22 PM
ADAIR CHARLES E,Director,2022-04-27,Option Exercise,56.32,3000,168960,Apr 28 06:08 PM
ADAIR CHARLES E,Director,2022-04-27,Sale,101.6,3000,304790,Apr 28 06:08 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-04-22,Option Exercise,77.26,38000,2935880,Apr 25 03:48 PM
Moore Christopher Todd,"Corp.SVP, Assoc.Counsel & Sec",2022-04-22,Option Exercise,50.69,882,44712,Apr 25 04:26 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-04-22,Sale,104.22,38000,3960193,Apr 25 03:48 PM
Moore Christopher Todd,"Corp.SVP, Assoc.Counsel & Sec",2022-04-22,Sale,104.22,882,91921,Apr 25 04:26 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-03-29,Option Exercise,77.26,1500,115890,Mar 30 05:52 PM
HENRIE MICHAEL SHANE,SVP & Chief Accounting Officer,2022-03-29,Sale,102.94,1500,154409,Mar 30 05:52 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-03-09,Sale,97.95,3000,293836,Mar 09 05:07 PM
INGRAM ROBERT W,Director,2022-02-22,Sale,104.84,4000,419360,Feb 22 07:28 PM
Greer Steven Kelly,Exec. Officer Principal Sub,2022-02-11,Option Exercise,50.64,17000,860880,Feb 15 05:49 PM
Greer Steven Kelly,Exec. Officer Principal Sub,2022-02-11,Sale,106.53,17000,1810928,Feb 15 05:49 PM
ADAIR CHARLES E,Director,2022-02-10,Option Exercise,56.32,6231,350930,Feb 11 05:12 PM
ADAIR CHARLES E,Director,2022-02-10,Sale,107.33,6231,668762,Feb 11 05:12 PM
Greer Steven Kelly,Exec. Officer of Principal Sub,2022-02-04,Sale,104.74,6226,652112,Feb 15 05:43 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-30,Sale,94.52,700,66164,Jan 03 12:31 PM
INGRAM ROBERT W,Director,2021-12-23,Sale,92.65,219,20290,Dec 23 05:14 PM
Haworth Jennifer Allison,EVP & Chief Marketing Officer,2021-12-20,Option Exercise,37.96,12000,455571,Dec 21 11:26 AM
Haworth Jennifer Allison,EVP & Chief Marketing Officer,2021-12-20,Sale,85.68,7300,625493,Dec 21 11:26 AM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-16,Sale,93,1400,130200,Dec 16 05:29 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-12-06,Sale,91.05,873,79487,Dec 06 03:46 PM
ADAIR CHARLES E,Director,2021-11-17,Option Exercise,54.16,1667,90285,Nov 17 06:04 PM
ADAIR CHARLES E,Director,2021-11-17,Sale,93.98,1667,156667,Nov 17 06:04 PM
BUCHAN MELISSA JANE,Director,2021-11-02,Sale,92.08,1700,156532,Nov 04 12:23 PM
INGRAM ROBERT W,Director,2021-08-12,Sale,97.38,1350,131462,Aug 12 05:24 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-08-02,Sale,93.39,6383,596089,Aug 04 06:33 PM
DICHIARO STEVEN JOHN,Exec. Officer of Principal Sub,2021-07-30,Sale,93.96,617,57974,Aug 04 06:24 PM
