Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
ARNOLD FRANCES,Director,2022-07-29,Sale,116.44,1230,143219,Jul 29 05:23 PM
MATHER ANN,Director,2022-07-25,Sale,108.94,300,32682,Jul 26 08:21 PM
HENNESSY JOHN L,Director,2022-07-11,Sale,2337.13,75,175285,Jul 11 07:25 PM
Schindler Philipp,"SVP, Chief Business Officer",2022-07-05,Sale,2182.62,3834,8368180,Jul 06 01:06 PM
RAGHAVAN PRABHAKAR,Senior Vice President,2022-07-01,Sale,2166.74,1109,2402915,Jul 01 07:52 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-07-01,Sale,2166.74,42,91003,Jul 01 07:02 PM
MATHER ANN,Director,2022-06-27,Sale,2383.32,20,47666,Jun 29 08:11 PM
HENNESSY JOHN L,Director,2022-06-09,Sale,2348.39,33,77497,Jun 13 07:05 PM
HENNESSY JOHN L,Director,2022-06-09,Sale,2346.81,42,98566,Jun 13 07:00 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-06-01,Sale,2298.63,42,96542,Jun 02 07:02 PM
MATHER ANN,Director,2022-05-25,Sale,2102.84,21,44160,May 27 06:10 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-24,Buy,33.72,13528,456149,May 25 06:14 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-11,Buy,34.71,76136,2642642,May 12 06:44 PM
"GV 2021 GP, L.L.C.",Member of 10% Group,2022-05-10,Buy,34.65,255647,8858075,May 12 06:44 PM
HENNESSY JOHN L,Director,2022-05-09,Sale,2280.98,31,70710,May 10 08:36 PM
HENNESSY JOHN L,Director,2022-05-09,Sale,2270.9,44,99919,May 10 08:30 PM
RAGHAVAN PRABHAKAR,Senior Vice President,2022-05-03,Sale,2335.3,490,1144297,May 04 05:46 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2022-05-03,Sale,2335.3,42,98083,May 04 05:28 PM
Page Lawrence,Director,2022-04-19,Sale,2611.38,1956,5107853,Apr 21 08:49 PM
Page Lawrence,Director,2022-04-19,Sale,2590.79,11932,30913302,Apr 21 08:42 PM
Page Lawrence,Director,2022-04-19,Sale,2602.65,758,1972808,Apr 21 08:41 PM
Page Lawrence,Director,2022-04-19,Sale,2582.86,13130,33912961,Apr 21 08:40 PM
Page Lawrence,Director,2022-04-18,Sale,2574.16,100,257416,Apr 20 06:01 PM
Page Lawrence,Director,2022-04-18,Sale,2553.5,13789,35210245,Apr 20 06:00 PM
Page Lawrence,Director,2022-04-18,Sale,2545.46,13889,35353875,Apr 20 05:56 PM
Page Lawrence,Director,2022-04-14,Sale,2583.5,1700,4391951,Apr 18 09:00 PM
Page Lawrence,Director,2022-04-14,Sale,2552.04,12189,31106850,Apr 18 08:57 PM
Page Lawrence,Director,2022-04-14,Sale,2593.2,1200,3111839,Apr 18 08:53 PM
Page Lawrence,Director,2022-04-14,Sale,2560.86,12689,32494785,Apr 18 08:43 PM
Sergey Brin,Director,2022-04-13,Sale,2600.32,2710,7046878,Apr 15 09:39 PM
Sergey Brin,Director,2022-04-13,Sale,2578.54,11178,28822950,Apr 15 09:37 PM
Sergey Brin,Director,2022-04-13,Sale,2609.21,1276,3329356,Apr 15 09:36 PM
Sergey Brin,Director,2022-04-13,Sale,2590.52,12612,32671681,Apr 15 09:35 PM
Sergey Brin,Director,2022-04-12,Sale,2601.9,6261,16290519,Apr 14 06:27 PM
Sergey Brin,Director,2022-04-12,Sale,2560.91,7628,19534643,Apr 14 06:23 PM
Sergey Brin,Director,2022-04-12,Sale,2623.06,5100,13377609,Apr 14 04:52 PM
Sergey Brin,Director,2022-04-12,Sale,2581.38,8789,22687792,Apr 14 04:48 PM
Sergey Brin,Director,2022-04-11,Sale,2632.28,2639,6946576,Apr 12 09:52 PM
Sergey Brin,Director,2022-04-11,Sale,2648.31,2300,6091104,Apr 12 09:49 PM
Sergey Brin,Director,2022-04-11,Sale,2594.59,11250,29189085,Apr 12 09:47 PM
Sergey Brin,Director,2022-04-11,Sale,2612,11589,30270520,Apr 12 09:20 PM
"GV 2016 GP, L.L.C.",10% Owner,2022-04-11,Sale,11.16,544249,6074458,Apr 12 06:12 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2618.42,31,81171,Apr 13 08:58 PM
HENNESSY JOHN L,Director,2022-04-11,Sale,2574.94,94,242044,Apr 13 08:56 PM
