Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Robbins Paige K,Sr. VP,2022-07-28,Sale,500.03,2330,1165078,Jul 28 05:15 PM
Thomson Laurie R,"VP, Controller",2022-05-05,Option Exercise,311.26,276,85908,May 06 02:00 PM
Thomson Laurie R,"VP, Controller",2022-05-05,Sale,492.05,276,135806,May 06 02:00 PM
Thomson Laurie R,"VP, Controller",2022-05-04,Sale,500.26,225,112558,May 06 02:00 PM
Macpherson Donald G,Chairman and CEO,2022-05-02,Option Exercise,248.22,12266,3044667,May 04 08:27 AM
Macpherson Donald G,Chairman and CEO,2022-05-02,Sale,488.83,12266,5995969,May 04 08:27 AM
Merriwether Deidra C,Sr. VP & CFO,2022-04-18,Sale,488.62,488,238447,Apr 19 03:08 PM
HOWARD JOHN L,Sr. VP and General Counsel,2022-04-01,Sale,509.24,1732,882004,Apr 04 02:12 PM
HOWARD JOHN L,Sr. VP and General Counsel,2021-12-06,Option Exercise,231.88,9728,2255729,Dec 07 04:19 PM
HOWARD JOHN L,Sr. VP and General Counsel,2021-12-06,Sale,496.68,9728,4831682,Dec 07 04:19 PM
Macpherson Donald G,Chairman and CEO,2021-12-03,Option Exercise,245.86,15741,3870082,Dec 06 03:17 PM
Macpherson Donald G,Chairman and CEO,2021-12-03,Sale,487.86,15741,7679359,Dec 06 03:17 PM
Robbins Paige K,Sr. VP,2021-10-29,Sale,450,565,254250,Oct 29 05:19 PM
