Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2022-05-24,Option Exercise,128.96,11293,1456370,May 25 04:37 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2022-05-24,Sale,288.03,11293,3252700,May 25 04:37 PM
Seidman Becker Caryn,Director,2022-05-23,Buy,287.73,1500,431595,May 23 05:52 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-05-19,Option Exercise,189.25,136,25738,May 20 05:31 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-05-19,Sale,289.23,136,39335,May 20 05:31 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-03-25,Option Exercise,158.8,504,80034,Mar 29 04:42 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-03-25,Sale,309.8,504,156139,Mar 29 04:42 PM
KINNAIRD JEFFREY G,EVP - Merchandising,2021-11-19,Option Exercise,129.21,7000,904438,Nov 19 05:06 PM
KINNAIRD JEFFREY G,EVP - Merchandising,2021-11-19,Sale,408.83,7000,2861810,Nov 19 05:06 PM
Hourigan Timothy A.,EVP - Human Resources,2021-11-17,Option Exercise,69.65,12797,891311,Nov 19 05:04 PM
McPhail Richard V,EVP & CFO,2021-11-17,Option Exercise,78.87,14544,1147085,Nov 19 05:08 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-11-17,Option Exercise,125.45,4874,611463,Nov 19 05:10 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-11-17,Option Exercise,141.2,18878,2665567,Nov 19 05:12 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-11-17,Sale,394.24,4874,1921526,Nov 19 05:10 PM
McPhail Richard V,EVP & CFO,2021-11-17,Sale,392.83,14544,5713320,Nov 19 05:08 PM
Hourigan Timothy A.,EVP - Human Resources,2021-11-17,Sale,394.1,12797,5043257,Nov 19 05:04 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2021-11-17,Sale,395.64,82,32442,Nov 19 05:00 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-11-17,Sale,395.19,18878,7460424,Nov 19 05:12 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-08-23,Sale,328.65,5000,1643250,Aug 24 05:27 PM
Menear Craig A,Chairman & CEO,2021-08-20,Option Exercise,69.65,68468,4768796,Aug 24 05:25 PM
Menear Craig A,Chairman & CEO,2021-08-20,Sale,325.46,68468,22283483,Aug 24 05:25 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-08-18,Option Exercise,97.57,1154,112596,Aug 20 05:01 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-08-18,Sale,325.62,1154,375765,Aug 20 05:01 PM
