Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Costello Beth Ann,EVP and CFO,2022-05-04,Option Exercise,35.83,47214,1691678,May 06 04:05 PM
Swift Christopher,Chairman and CEO,2022-05-04,Option Exercise,24.15,47130,1138190,May 06 04:05 PM
Swift Christopher,Chairman and CEO,2022-05-04,Sale,72.89,47130,3435255,May 06 04:05 PM
Costello Beth Ann,EVP and CFO,2022-05-04,Sale,73.18,47214,3455262,May 06 04:05 PM
Robinson David C,EVP and General Counsel,2022-04-22,Sale,73.02,14743,1076534,Apr 26 05:55 PM
Lewis Scott R.,SVP and Controller,2022-04-11,Sale,75,5000,375000,Apr 13 04:16 PM
Paiano Robert W,EVP & Chief Risk Officer,2022-04-11,Sale,75,8510,638250,Apr 13 04:16 PM
Bennett Jonathan R,EVP,2022-02-16,Sale,70.73,5109,361360,Feb 18 04:11 PM
Robinson David C,EVP and General Counsel,2022-02-14,Option Exercise,0,20021,0,Feb 16 04:38 PM
ELLIOT DOUGLAS G,President,2022-02-14,Option Exercise,0,82488,0,Feb 16 04:37 PM
Rodden Lori A,Executive Vice President,2022-02-14,Option Exercise,0,1402,0,Feb 16 04:37 PM
Costello Beth Ann,EVP and CFO,2022-02-14,Option Exercise,0,28431,0,Feb 16 04:37 PM
Kinney John J.,EVP,2022-02-14,Option Exercise,0,8009,0,Feb 16 04:37 PM
Stepnowski Amy,EVP,2022-02-14,Option Exercise,0,1802,0,Feb 16 04:38 PM
Paiano Robert W,EVP & Chief Risk Officer,2022-02-14,Option Exercise,0,12814,0,Feb 16 04:38 PM
Swift Christopher,Chairman and CEO,2022-02-14,Option Exercise,0,132141,0,Feb 16 04:38 PM
Bennett Jonathan R,EVP,2022-02-14,Option Exercise,0,9610,0,Feb 16 04:37 PM
Lewis Scott R.,SVP and Controller,2022-02-14,Option Exercise,0,2192,0,Feb 16 04:37 PM
ELLIOT DOUGLAS G,President,2022-01-04,Option Exercise,35.83,83733,3000153,Jan 05 06:19 PM
ELLIOT DOUGLAS G,President,2022-01-04,Sale,70.68,83733,5917931,Jan 05 06:19 PM
ELLIOT DOUGLAS G,President,2022-01-03,Option Exercise,35.83,3800,136154,Jan 05 06:19 PM
ELLIOT DOUGLAS G,President,2022-01-03,Sale,70.03,3800,266095,Jan 05 06:19 PM
ELLIOT DOUGLAS G,President,2021-12-30,Option Exercise,35.83,6896,247084,Jan 03 04:18 PM
Paiano Robert W,EVP & Chief Risk Officer,2021-12-30,Option Exercise,24.15,19794,478025,Jan 03 04:18 PM
Paiano Robert W,EVP & Chief Risk Officer,2021-12-30,Sale,70,19794,1385580,Jan 03 04:18 PM
ELLIOT DOUGLAS G,President,2021-12-30,Sale,70,6896,482748,Jan 03 04:18 PM
Allardice Robert B. III,Director,2021-11-02,Sale,73.27,3000,219810,Nov 03 04:08 PM
Bennett Jonathan R,EVP,2021-10-29,Option Exercise,43.59,20593,897649,Nov 02 04:09 PM
Bennett Jonathan R,EVP,2021-10-29,Sale,75,20593,1544475,Nov 02 04:09 PM
Robinson David C,EVP and General Counsel,2021-10-04,Sale,70.85,5469,387479,Oct 06 04:05 PM
Bennett Jonathan R,EVP,2021-09-01,Option Exercise,41.25,22406,924248,Sep 03 06:59 PM
Bennett Jonathan R,EVP,2021-09-01,Sale,70,22406,1568420,Sep 03 06:59 PM
Allardice Robert B. III,Director,2021-08-16,Sale,67.61,9000,608517,Aug 18 06:39 PM
Robinson David C,EVP and General Counsel,2021-08-04,Sale,65,5469,355485,Aug 06 04:08 PM
Bloom William A,Executive Vice President,2021-07-20,Sale,62,16000,992000,Jul 23 08:53 AM
