Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SCHUYLER MATTHEW W,See Remarks,2022-07-18,Sale,120,3000,360000,Jul 19 05:47 PM
SCHUYLER MATTHEW W,See Remarks,2022-06-15,Sale,121.31,3000,363930,Jun 16 04:04 PM
STEENLAND DOUGLAS M,Director,2022-05-24,Buy,127.69,1967,251156,May 24 06:15 PM
SCHUYLER MATTHEW W,See Remarks,2022-05-16,Sale,134.03,3000,402077,May 17 05:40 PM
SCHUYLER MATTHEW W,See Remarks,2022-04-18,Sale,157.32,3000,471967,Apr 19 06:26 PM
SCHUYLER MATTHEW W,See Remarks,2022-03-15,Sale,144.08,3000,432246,Mar 16 04:56 PM
Mabus Raymond E,Director,2022-03-11,Buy,144.7,700,101290,Mar 11 04:59 PM
Duffy Michael W,See Remarks,2022-03-09,Option Exercise,45.46,3654,166111,Mar 09 06:08 PM
Duffy Michael W,See Remarks,2022-03-09,Sale,138.5,3654,506079,Mar 09 06:08 PM
Duffy Michael W,See Remarks,2022-03-08,Sale,136.73,4800,656304,Mar 09 06:08 PM
Jacobs Kevin J,See Remarks,2022-03-07,Sale,130.37,3,391,Mar 07 05:43 PM
SCHUYLER MATTHEW W,See Remarks,2022-02-15,Sale,157.71,3000,473130,Feb 16 06:10 PM
SCHUYLER MATTHEW W,See Remarks,2022-01-18,Sale,145.19,3000,435583,Jan 19 06:03 PM
SCHUYLER MATTHEW W,See Remarks,2021-12-15,Sale,139.33,3000,417977,Dec 16 05:39 PM
SCHUYLER MATTHEW W,See Remarks,2021-11-15,Sale,143.43,3000,430276,Nov 16 05:09 PM
Campbell Kristin Ann,See Remarks,2021-11-05,Option Exercise,83.48,28067,2342941,Nov 08 06:48 PM
SCHUYLER MATTHEW W,See Remarks,2021-11-05,Sale,152.19,10000,1521900,Nov 08 06:49 PM
Campbell Kristin Ann,See Remarks,2021-11-05,Sale,151.21,28067,4244095,Nov 08 06:48 PM
Jacobs Kevin J,See Remarks,2021-11-03,Option Exercise,62.66,195722,12263178,Nov 05 05:21 PM
Jacobs Kevin J,See Remarks,2021-11-03,Sale,145.12,195722,28402753,Nov 05 05:21 PM
SCHUYLER MATTHEW W,See Remarks,2021-10-15,Sale,144.82,3000,434454,Oct 18 05:55 PM
SCHUYLER MATTHEW W,See Remarks,2021-09-15,Sale,130.01,3000,390030,Sep 17 04:51 PM
SCHUYLER MATTHEW W,See Remarks,2021-08-16,Sale,121.42,3000,364267,Aug 17 07:03 PM
