Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
COHN BENJAMIN JORDAN,Principal Accounting Officer,2022-05-17,Option Exercise,40.85,3844,157027,May 19 04:59 PM
Verstreken Jan,"Group President, International",2022-05-17,Sale,78.8,6500,512168,May 19 05:01 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2022-05-17,Sale,78.75,3844,302730,May 19 04:59 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2022-05-13,Option Exercise,39.39,7052,277770,May 17 04:13 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2022-05-13,Sale,75.49,7052,532365,May 17 04:13 PM
Daugherty Sean S.,"Group President, BSH & Surg.",2022-02-24,Sale,71.14,2179,155016,Feb 28 04:07 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2021-11-19,Sale,75.79,2570,194791,Nov 23 04:05 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2021-08-10,Option Exercise,37.64,5000,188200,Aug 12 04:14 PM
COHN BENJAMIN JORDAN,Principal Accounting Officer,2021-08-10,Sale,77.48,5000,387425,Aug 12 04:14 PM
Griffin John M.,General Counsel,2021-08-09,Option Exercise,37.64,26683,1004348,Aug 11 04:08 PM
Griffin John M.,General Counsel,2021-08-09,Sale,75.62,26683,2017768,Aug 11 04:08 PM
