Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
MYERS MARIE,Chief Financial Officer,2022-08-01,Sale,33.05,4500,148725,Aug 02 05:00 PM
Ludgate Kristen M,Chief People Officer,2022-07-12,Option Exercise,0,82167,0,Jul 14 05:01 PM
LORES ENRIQUE,President and CEO,2022-07-01,Sale,32.67,34000,1110780,Jul 05 04:54 PM
MYERS MARIE,Chief Financial Officer,2022-07-01,Sale,32.67,4500,147015,Jul 05 04:54 PM
MYERS MARIE,Chief Financial Officer,2022-06-08,Sale,38.95,6219,242230,Jun 09 05:04 PM
MYERS MARIE,Chief Financial Officer,2022-06-02,Sale,39.91,4500,179595,Jun 03 05:02 PM
MYERS MARIE,Chief Financial Officer,2022-05-02,Sale,36.62,4500,164790,May 04 05:02 PM
MYERS MARIE,Chief Financial Officer,2022-04-01,Sale,36.25,4500,163125,Apr 01 05:46 PM
LORES ENRIQUE,President and CEO,2022-04-01,Sale,36.27,34000,1233180,Apr 01 05:45 PM
BROUSSARD BRUCE D,Director,2022-03-31,Buy,36.67,6810,249723,Apr 01 05:45 PM
MYERS MARIE,Chief Financial Officer,2022-03-31,Sale,36.58,20638,754902,Apr 01 05:46 PM
MYERS MARIE,Chief Financial Officer,2022-03-30,Option Exercise,0,34435,0,Apr 01 05:46 PM
MYERS MARIE,Chief Financial Officer,2022-03-03,Sale,36.33,4500,163485,Mar 04 04:52 PM
CHO ALEX,"President, Personal Systems",2022-03-02,Sale,35.11,53874,1891516,Mar 04 04:51 PM
MYERS MARIE,Chief Financial Officer,2022-02-17,Option Exercise,0,13013,0,Feb 22 05:14 PM
MYERS MARIE,Chief Financial Officer,2022-02-17,Sale,37.43,4500,168435,Feb 22 05:14 PM
Anderson Harvey,Chief Legal Officer & Sec,2022-02-15,Sale,36.84,8939,329313,Feb 17 05:09 PM
Anderson Harvey,Chief Legal Officer & Sec,2022-02-01,Option Exercise,0,13969,0,Feb 03 05:37 PM
LORES ENRIQUE,President and CEO,2022-01-03,Sale,37.84,34000,1286560,Jan 05 05:15 PM
Tran Tuan,Pres Imaging Prtng & Solutions,2021-12-23,Sale,37.74,82096,3098714,Dec 28 05:17 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-12-10,Sale,36.3,10934,396904,Dec 14 06:01 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-12-09,Sale,36.02,8268,297813,Dec 09 06:00 PM
Weiszhaar Barbara Barton,Acting Controller,2021-12-09,Sale,36.06,15912,573787,Dec 09 05:59 PM
Tran Tuan,Pres Imaging Prtng & Solutions,2021-12-07,Option Exercise,0,77421,0,Dec 09 06:01 PM
LORES ENRIQUE,President and CEO,2021-12-07,Option Exercise,0,190528,0,Dec 09 06:01 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-12-07,Option Exercise,0,38092,0,Dec 09 06:00 PM
CHO ALEX,"President, Personal Systems",2021-12-07,Option Exercise,0,90687,0,Dec 09 05:59 PM
Weiszhaar Barbara Barton,Acting Controller,2021-12-07,Option Exercise,0,20447,0,Dec 09 05:59 PM
Schell Christoph,Chief Commercial Officer,2021-12-07,Option Exercise,0,109454,0,Dec 09 05:58 PM
MYERS MARIE,Chief Financial Officer,2021-12-07,Option Exercise,0,23135,0,Dec 09 05:59 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-12-03,Sale,38.1,17166,654025,Dec 08 07:41 AM
Weiszhaar Barbara Barton,Acting Controller,2021-11-30,Sale,35.38,1547,54733,Dec 02 05:41 PM
SURESH SUBRA,Director,2021-11-24,Sale,34.12,10939,373239,Nov 29 05:21 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-11-23,Option Exercise,0,24238,0,Nov 24 05:09 PM
CHO ALEX,"President, Personal Systems",2021-11-18,Sale,31.04,38411,1192277,Nov 18 06:30 PM
Schell Christoph,Chief Commercial Officer,2021-11-16,Option Exercise,0,88167,0,Nov 18 06:35 PM
LORES ENRIQUE,President and CEO,2021-11-16,Option Exercise,0,99626,0,Nov 18 06:33 PM
CHO ALEX,"President, Personal Systems",2021-11-16,Option Exercise,0,70533,0,Nov 18 06:30 PM
Schell Christoph,Chief Commercial Officer,2021-11-08,Sale,32.08,116389,3733759,Nov 09 05:10 PM
Schell Christoph,Chief Commercial Officer,2021-11-05,Sale,32.01,41362,1323998,Nov 09 05:10 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-11-02,Sale,31.26,7811,244172,Nov 02 08:27 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-10-31,Option Exercise,0,7168,0,Nov 02 08:27 PM
Weiszhaar Barbara Barton,Acting Controller,2021-10-29,Option Exercise,0,1990,0,Nov 02 08:28 PM
Anderson Harvey,Chief Legal Officer & Sec,2021-10-29,Option Exercise,0,8596,0,Nov 02 08:27 PM
LORES ENRIQUE,President and CEO,2021-10-01,Sale,27.53,34000,936020,Oct 05 05:19 PM
CHO ALEX,"President, Personal Systems",2021-07-06,Sale,30.58,8314,254242,Jul 06 05:02 PM
CHO ALEX,"President, Personal Systems",2021-07-01,Option Exercise,0,12823,0,Jul 06 05:02 PM
