Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KAVANAUGH JAMES J,Sr. VP and CFO,2022-06-08,Option Exercise,0,13817,0,Jun 10 04:29 PM
KRISHNA ARVIND,Chairman and CEO,2022-06-08,Option Exercise,0,21803,0,Jun 10 04:29 PM
LAMOREAUX NICKLE JACLYN,Senior Vice President,2022-06-08,Option Exercise,0,2183,0,Jun 10 04:30 PM
Rosamilia Thomas W,Senior Vice President,2022-06-08,Option Exercise,0,11578,0,Jun 10 04:30 PM
BROWDY MICHELLE H,Senior Vice President,2022-06-08,Option Exercise,0,8348,0,Jun 10 04:28 PM
Del Bene Robert F,"VP, Controller",2022-06-08,Option Exercise,0,4076,0,Jun 10 04:29 PM
Del Bene Robert F,"VP, Controller",2022-06-07,Option Exercise,0,1435,0,Jun 09 06:20 PM
KAVANAUGH JAMES J,Sr. VP and CFO,2022-06-07,Option Exercise,0,3885,0,Jun 09 06:20 PM
KRISHNA ARVIND,Chairman and CEO,2022-06-07,Option Exercise,0,4020,0,Jun 09 06:21 PM
LAMOREAUX NICKLE JACLYN,Senior Vice President,2022-06-07,Option Exercise,0,478,0,Jun 09 06:21 PM
Rosamilia Thomas W,Senior Vice President,2022-06-07,Option Exercise,0,3885,0,Jun 09 06:21 PM
BROWDY MICHELLE H,Senior Vice President,2022-06-07,Option Exercise,0,2880,0,Jun 09 06:20 PM
Del Bene Robert F,"VP, Controller",2022-06-02,Sale,139.04,1600,222465,Jun 03 04:33 PM
LAMOREAUX NICKLE JACLYN,Senior Vice President,2022-06-01,Option Exercise,0,1615,0,Jun 02 05:54 PM
INTERNATIONAL BUSINESS MACHINE,10% Owner,2022-05-19,Sale,13.95,22301536,311106427,May 23 05:00 PM
COHN GARY D,Vice Chairman,2022-01-04,Option Exercise,0,5112,0,Jan 05 05:50 PM
COHN GARY D,Vice Chairman,2021-12-28,Option Exercise,0,33672,0,Dec 29 04:28 PM
HOWARD MICHELLE J,Director,2021-12-13,Buy,123.76,80,9901,Dec 13 07:51 PM
KRISHNA ARVIND,Chairman and CEO,2021-12-11,Option Exercise,0,24996,0,Dec 13 07:50 PM
LAMOREAUX NICKLE JACLYN,Senior Vice President,2021-08-18,Option Exercise,0,4033,0,Aug 19 04:23 PM
