Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SATTERTHWAITE LIVINGSTON,Director,2022-11-09,Option Exercise,42.86,3530,151296,Nov 12 11:33 AM
SALLIOTTE DANIEL J,Director,2022-11-09,Option Exercise,133.73,5172,691649,Nov 12 11:47 AM
SATTERTHWAITE LIVINGSTON,Director,2021-11-09,Option Exercise,42.86,3530,151296,Nov 12 11:33 AM
SALLIOTTE DANIEL J,Director,2021-11-09,Option Exercise,133.73,5172,691649,Nov 12 11:47 AM
SATTERTHWAITE LIVINGSTON,Director,2021-11-09,Option Exercise,42.86,3530,151296,Nov 12 11:33 AM
SATTERTHWAITE LIVINGSTON,Director,2021-11-09,Sale,235.54,3530,831446,Nov 12 11:33 AM
SALLIOTTE DANIEL J,Director,2021-11-09,Sale,235.9,14763,3482592,Nov 12 11:47 AM
COOK WILLIAM M,Director,2021-11-01,Option Exercise,42.86,3530,151296,Nov 02 03:43 PM
COOK WILLIAM M,Director,2021-11-01,Sale,223.03,679,151438,Nov 02 03:43 PM
Parry David C,Director,2021-10-29,Option Exercise,47.14,8005,377378,Nov 02 03:49 PM
