Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Tray Thomas,Principal Accounting Officer,2022-07-22,Sale,83.13,1564,130015,Jul 26 04:00 PM
Flannelly Barry P,EVP & General Manager US,2022-07-07,Sale,79.38,2873,228059,Jul 11 04:00 PM
Iyengar Vijay K,"EVP, GMAPPS",2022-07-07,Sale,79.38,5787,459372,Jul 11 04:00 PM
Flannelly Barry P,EVP & General Manager US,2022-04-08,Option Exercise,70.48,41864,2950628,Apr 12 04:10 PM
Flannelly Barry P,EVP & General Manager US,2022-04-08,Sale,83.49,43993,3672887,Apr 12 04:10 PM
BAKER BROS. ADVISORS LP,Director,2022-03-10,Buy,73.13,218563,15982720,Mar 10 06:02 PM
BAKER BROS. ADVISORS LP,Director,2022-03-09,Buy,71.72,70517,5057550,Mar 10 06:02 PM
BAKER BROS. ADVISORS LP,Director,2022-03-08,Option Exercise,22.05,40000,882000,Mar 10 06:02 PM
BAKER BROS. ADVISORS LP,Director,2022-03-08,Buy,70.67,100000,7067500,Mar 10 06:02 PM
BAKER BROS. ADVISORS LP,Director,2022-02-22,Buy,68.07,99800,6793536,Feb 22 05:45 PM
BAKER BROS. ADVISORS LP,Director,2022-02-18,Buy,68.38,133032,9096550,Feb 22 05:45 PM
BAKER BROS. ADVISORS LP,Director,2022-02-17,Buy,67.74,292972,19844805,Feb 22 05:45 PM
Dickinson Jonathan Elliott,"EVP, General Manager, Europe",2022-01-31,Sale,74.19,7375,547151,Feb 02 04:25 PM
SWAIN PAULA J,"EVP, Human Resources",2022-01-07,Option Exercise,73.21,10870,795793,Jan 11 04:18 PM
SWAIN PAULA J,"EVP, Human Resources",2022-01-07,Sale,73.31,10870,796880,Jan 11 04:18 PM
SWAIN PAULA J,"EVP, Human Resources",2022-01-04,Option Exercise,73.21,9319,682244,Jan 05 04:25 PM
SWAIN PAULA J,"EVP, Human Resources",2022-01-04,Sale,73.46,9319,684574,Jan 05 04:25 PM
Trower Paul,Principal Accounting Officer,2022-01-03,Option Exercise,73.21,8214,601347,Jan 05 04:40 PM
Trower Paul,Principal Accounting Officer,2022-01-03,Sale,73.31,8214,602168,Jan 05 04:40 PM
DIXON WENDY L,Director,2021-12-23,Option Exercise,73.25,20000,1465000,Dec 27 04:11 PM
DIXON WENDY L,Director,2021-12-23,Sale,22.05,20000,441000,Dec 27 04:11 PM
BAKER BROS. ADVISORS LP,Director,2021-12-17,Buy,72.8,1075872,78322148,Dec 17 06:30 PM
BAKER BROS. ADVISORS LP,Director,2021-12-16,Buy,71.96,169315,12184411,Dec 17 06:30 PM
BAKER BROS. ADVISORS LP,Director,2021-12-15,Buy,71.51,350332,25052340,Dec 17 06:30 PM
Dhanak Dashyant,EVP & Chief Scientific Officer,2021-10-01,Sale,68.67,389,26713,Oct 04 04:41 PM
Pasquale Maria E,EVP & General Counsel,2021-09-24,Option Exercise,65.36,382,24968,Sep 28 08:18 AM
SWAIN PAULA J,"EVP, Human Resources",2021-09-20,Option Exercise,73.21,1356,99273,Sep 21 04:09 PM
Dhanak Dashyant,EVP & Chief Scientific Officer,2021-09-01,Sale,76.71,388,29763,Sep 03 07:40 AM
Dhanak Dashyant,EVP & Chief Scientific Officer,2021-08-02,Sale,77.49,389,30144,Aug 04 04:16 PM
Iyengar Vijay K,"EVP GPS, BD, & Licensing",2021-07-29,Sale,78.29,4911,384482,Aug 02 04:14 PM
