Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Liu Deborah,Director,2022-07-21,Option Exercise,0,1359,0,Jul 22 05:32 PM
SMITH BRAD D,Director,2022-07-01,Option Exercise,0,2744,0,Jul 06 07:41 PM
Goodarzi Sasan K,"CEO, President and Director",2022-07-01,Option Exercise,0,5581,0,Jul 06 07:39 PM
Krishna Varun,"EVP, Consumer Group",2022-07-01,Option Exercise,0,744,0,Jul 06 07:40 PM
Clatterbuck Michelle M,EVP and CFO,2022-07-01,Option Exercise,0,2364,0,Jul 06 07:38 PM
FENNELL LAURA A,"EVP, People and Places",2022-07-01,Option Exercise,0,1461,0,Jul 06 07:39 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-07-01,Option Exercise,0,842,0,Jul 06 06:25 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-07-01,Option Exercise,0,2406,0,Jul 06 06:25 PM
Hotz Lauren D,"VP, Chief Accounting Officer",2022-07-01,Option Exercise,0,535,0,Jul 06 06:24 PM
Chriss James Alexander,"EVP, SBSEG",2022-07-01,Option Exercise,0,2263,0,Jul 06 06:22 PM
SMITH BRAD D,Director,2022-06-30,Option Exercise,0,2076,0,Jul 05 06:33 PM
Vazquez Raul,Director,2022-06-23,Sale,390.37,1790,698753,Jun 27 04:23 PM
FENNELL LAURA A,"EVP, People and Places",2022-06-23,Sale,392.39,10000,3923883,Jun 27 04:22 PM
Chriss James Alexander,"EVP, SBSEG",2022-05-26,Sale,386.29,984,380109,May 27 07:05 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-05-01,Option Exercise,0,401,0,May 03 06:35 PM
Chriss James Alexander,"EVP, SBSEG",2022-05-01,Option Exercise,0,576,0,May 03 06:21 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-04-01,Option Exercise,0,1096,0,Apr 04 03:10 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp Sec.",2022-04-01,Option Exercise,0,841,0,Apr 04 03:09 PM
SMITH BRAD D,Director,2022-04-01,Option Exercise,0,2743,0,Apr 04 03:10 PM
Goodarzi Sasan K,"CEO, President and Director",2022-04-01,Option Exercise,0,1715,0,Apr 04 03:08 PM
Hotz Lauren D,"VP, Chief Accounting Officer",2022-04-01,Option Exercise,0,256,0,Apr 04 03:08 PM
Johnson Gregory N,"EVP, Consumer Group",2022-04-01,Option Exercise,0,1349,0,Apr 04 03:09 PM
FENNELL LAURA A,"EVP, People and Places",2022-04-01,Option Exercise,0,1458,0,Apr 04 03:02 PM
Clatterbuck Michelle M,EVP and CFO,2022-04-01,Option Exercise,0,1232,0,Apr 04 02:59 PM
Chriss James Alexander,"EVP, SBSEG",2022-04-01,Option Exercise,0,953,0,Apr 04 02:58 PM
FENNELL LAURA A,"EVP, People and Places",2022-03-02,Option Exercise,113.19,51786,5861657,Mar 04 07:54 PM
FENNELL LAURA A,"EVP, People and Places",2022-03-02,Sale,475.03,59286,28162550,Mar 04 07:54 PM
Chriss James Alexander,"EVP, SBSEG",2022-02-28,Sale,478.84,368,176213,Mar 01 09:07 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-02-01,Option Exercise,0,402,0,Feb 03 04:09 PM
Chriss James Alexander,"EVP, SBSEG",2022-02-01,Option Exercise,0,576,0,Feb 03 04:08 PM
DALZELL RICHARD L,Director,2022-01-23,Option Exercise,0,4695,0,Jan 24 07:53 PM
DALZELL RICHARD L,Director,2022-01-20,Option Exercise,0,3138,0,Jan 24 07:53 PM
WEINER JEFF,Director,2022-01-20,Option Exercise,0,2945,0,Jan 24 07:54 PM
NORA JOHNSON SUZANNE M,Director,2022-01-20,Option Exercise,0,2220,0,Jan 24 07:52 PM
POWELL DENNIS D,Director,2022-01-20,Option Exercise,0,2220,0,Jan 24 07:53 PM
Vazquez Raul,Director,2022-01-20,Option Exercise,0,2220,0,Jan 24 07:56 PM
FENNELL LAURA A,"EVP, People and Places",2022-01-05,Sale,607.47,15000,9112077,Jan 06 03:34 PM
Goodarzi Sasan K,"CEO, President and Director",2021-12-31,Option Exercise,0,1725,0,Jan 04 09:05 PM
SMITH BRAD D,Executive Chairman,2021-12-31,Option Exercise,0,2889,0,Jan 04 09:05 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-12-31,Option Exercise,0,1020,0,Jan 04 06:13 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-12-31,Option Exercise,0,1095,0,Jan 04 06:14 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-12-30,Sale,646.01,4992,3224904,Jan 04 06:14 PM
FENNELL LAURA A,"EVP, People and Places",2021-12-17,Option Exercise,0,610,0,Dec 21 04:17 PM
SMITH BRAD D,Executive Chairman,2021-12-17,Option Exercise,0,547,0,Dec 21 04:22 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-12-17,Option Exercise,0,357,0,Dec 21 04:21 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-12-17,Option Exercise,0,36,0,Dec 21 04:19 PM
Chriss James Alexander,"EVP, SBSEG",2021-11-23,Sale,652.75,433,282641,Nov 24 01:22 PM
Goodarzi Sasan K,"CEO, President and Director",2021-11-22,Sale,685.96,35994,24690536,Nov 24 01:26 PM
Clatterbuck Michelle M,EVP and CFO,2021-11-22,Sale,691.96,620,429015,Nov 24 01:24 PM
Chriss James Alexander,"EVP, SBSEG",2021-11-22,Sale,691.96,336,232499,Nov 24 01:22 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-11-01,Option Exercise,0,402,0,Nov 03 07:16 PM
Chriss James Alexander,"EVP, SBSEG",2021-11-01,Option Exercise,0,576,0,Nov 03 07:14 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-10-01,Option Exercise,0,1096,0,Oct 04 06:54 PM
SMITH BRAD D,Executive Chairman,2021-10-01,Option Exercise,0,2836,0,Oct 04 06:50 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-10-01,Option Exercise,0,665,0,Oct 04 06:40 PM
Goodarzi Sasan K,"CEO, President & Director",2021-10-01,Option Exercise,0,1725,0,Oct 04 06:35 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-10-01,Option Exercise,0,405,0,Oct 04 06:33 PM
Clatterbuck Michelle M,EVP and CFO,2021-10-01,Option Exercise,0,1232,0,Oct 04 06:28 PM
