Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-07-13,Sale,47.5,1125,53438,Jul 15 05:03 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-06-13,Sale,50,1125,56250,Jun 15 04:28 PM
RAKOWICH WALTER C,Director,2022-05-17,Sale,53.6,1320,70752,May 18 06:20 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-04-14,Sale,56.11,6218,348892,Apr 15 05:12 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-03-29,Option Exercise,33.72,29037,979128,Mar 31 04:41 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-03-29,Sale,55,29037,1597035,Mar 31 04:41 PM
McIntosh Greg W,"EVP, GM, Global RM",2022-03-25,Option Exercise,0,7871,0,Mar 29 07:49 PM
Meaney William L,President and CEO,2022-03-10,Sale,50.72,614,31142,Mar 11 04:37 PM
Meaney William L,President and CEO,2022-03-09,Option Exercise,0,2115,0,Mar 11 04:37 PM
Baker-Greene Edward,"EVP, CHRO",2022-03-09,Sale,51.31,6000,307860,Mar 11 04:33 PM
Meaney William L,President and CEO,2022-03-07,Option Exercise,29.99,10002,299950,Mar 09 08:15 PM
Meaney William L,President and CEO,2022-03-02,Sale,49.67,7724,383651,Mar 03 07:52 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-03-02,Sale,50,2658,132900,Mar 03 07:46 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-03-02,Sale,49.67,584,29007,Mar 03 07:41 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-03-01,Option Exercise,0,9549,0,Mar 03 07:46 PM
Baker-Greene Edward,"EVP, CHRO",2022-03-01,Option Exercise,0,3671,0,Mar 03 07:42 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-03-01,Option Exercise,0,820,0,Mar 03 07:41 PM
Hytinen Barry,EVP and CFO,2022-03-01,Option Exercise,0,10893,0,Mar 03 07:37 PM
Kidd Mark,"EVP, GM Data Centers",2022-03-01,Option Exercise,0,5062,0,Mar 03 07:37 PM
Meaney William L,President and CEO,2022-03-01,Option Exercise,0,26634,0,Mar 03 07:52 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-03-01,Option Exercise,0,9549,0,Mar 03 07:51 PM
McIntosh Greg W,"EVP, GM, Global RM",2022-03-01,Option Exercise,0,3935,0,Mar 03 07:49 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-03-01,Option Exercise,0,6526,0,Mar 03 07:47 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-03-01,Sale,50,7828,391400,Mar 03 07:46 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-25,Option Exercise,0,930,0,Mar 01 07:41 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-25,Sale,46.52,2470,114904,Mar 01 07:41 PM
Meaney William L,President and CEO,2022-02-25,Sale,48.05,58024,2788343,Mar 01 07:37 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-25,Sale,46.52,500,23260,Feb 28 09:20 PM
Meaney William L,President and CEO,2022-02-24,Option Exercise,0,151545,0,Feb 28 09:22 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-24,Option Exercise,0,11939,0,Feb 28 09:20 PM
Kidd Mark,"EVP, GM Data Centers",2022-02-24,Option Exercise,0,14695,0,Feb 28 09:19 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-02-24,Option Exercise,0,15612,0,Feb 28 09:18 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-24,Option Exercise,0,1334,0,Feb 28 09:16 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-02-24,Option Exercise,0,15612,0,Feb 28 09:15 PM
Kidd Mark,"EVP, GM Data Centers",2022-02-22,Option Exercise,0,6456,0,Feb 24 06:54 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-02-22,Option Exercise,0,6818,0,Feb 24 06:49 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-22,Option Exercise,0,999,0,Feb 24 06:47 PM
Hytinen Barry,EVP and CFO,2022-02-22,Option Exercise,0,7544,0,Feb 24 06:45 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-02-22,Option Exercise,0,6818,0,Feb 24 07:05 PM
Meaney William L,President and CEO,2022-02-22,Option Exercise,0,48614,0,Feb 24 07:00 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-22,Option Exercise,0,5148,0,Feb 24 06:56 PM
McIntosh Greg W,"EVP, GM, Global RM",2022-02-22,Option Exercise,0,1775,0,Feb 24 06:58 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-01-12,Sale,46.38,500,23190,Jan 13 09:46 PM
Matlock Robin,Director,2022-01-04,Option Exercise,0,841,0,Apr 11 09:27 PM
Baker-Greene Edward,"EVP, CHRO",2022-01-04,Option Exercise,0,8722,0,Jan 06 04:34 PM
Hytinen Barry,EVP and CFO,2022-01-03,Option Exercise,0,32884,0,Jan 05 09:35 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-28,Option Exercise,31.36,32087,1006248,Dec 29 04:12 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-28,Sale,52.61,32087,1688033,Dec 29 04:12 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-27,Option Exercise,37,31919,1181003,Dec 29 04:14 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-27,Sale,52.06,31919,1661737,Dec 29 04:14 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-16,Option Exercise,35.72,23716,847136,Dec 20 09:04 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-16,Option Exercise,29.27,39441,1154438,Dec 20 09:06 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-16,Sale,50.48,39441,1990784,Dec 20 09:06 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-16,Sale,50.72,23716,1202876,Dec 20 09:04 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-12-15,Sale,48.41,500,24205,Dec 17 08:26 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-11-17,Sale,47.53,500,23765,Nov 18 05:45 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-10-29,Sale,46.38,517,23978,Nov 01 05:08 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-09-15,Sale,45.59,499,22749,Sep 17 04:37 PM
Borges Daniel,SVP & Chief Accounting Officer,2021-09-09,Option Exercise,35.72,1860,66439,Sep 10 05:19 PM
Borges Daniel,SVP & Chief Accounting Officer,2021-09-09,Sale,48.2,1860,89652,Sep 10 05:19 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-09-02,Option Exercise,33.72,29037,979128,Sep 07 05:09 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-09-02,Sale,48.72,29037,1414683,Sep 07 05:09 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-08-11,Sale,46.13,600,27678,Aug 12 08:41 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-07-14,Sale,44,600,26400,Jul 15 05:17 PM
