Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Option Exercise,139.52,9000,1255680,Jul 28 06:41 PM
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Sale,225,9000,2025000,Jul 28 06:41 PM
GUTHART GARY S,President & CEO,2022-07-26,Option Exercise,57.48,126000,7242341,Jul 27 06:49 PM
GUTHART GARY S,President & CEO,2022-07-26,Sale,216.3,79412,17177054,Jul 27 06:49 PM
DeSantis Robert,EVP & Chief Product Officer,2022-05-11,Option Exercise,0,363,0,May 13 05:15 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Option Exercise,139.52,6000,837120,Apr 27 06:28 PM
DeSantis Robert,EVP & Chief Product Officer,2022-04-26,Option Exercise,222.43,1611,358331,Apr 27 08:45 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Sale,252.51,6000,1515058,Apr 27 06:28 PM
DeSantis Robert,EVP & Chief Product Officer,2022-04-26,Sale,253.04,1611,407647,Apr 27 08:45 PM
Reed Monica P,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:44 PM
RUBASH MARK J,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:43 PM
Leonard Keith R,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:42 PM
Beery Joseph C,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:41 PM
KANIA DON R,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:39 PM
NACHTSHEIM JAMI K,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:40 PM
BARRATT CRAIG H,Director,2022-04-22,Option Exercise,0,753,0,Apr 26 12:38 PM
Ladd Amy L,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:37 PM
LEVY ALAN J,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:36 PM
Johnson Amal M,Director,2022-04-22,Option Exercise,0,555,0,Apr 26 12:36 PM
Curet Myriam,EVP & Chief Medical Officer,2022-03-01,Sale,289.96,2000,579920,Mar 02 04:05 PM
MOHR MARSHALL,Executive Vice President Glob,2022-02-28,Option Exercise,0,2256,0,Mar 01 07:30 PM
GUTHART GARY S,President & CEO,2022-02-28,Option Exercise,0,3867,0,Mar 01 02:18 PM
Rosa David J.,Executive Vice President and C,2022-02-28,Option Exercise,0,2256,0,Mar 01 02:32 PM
Curet Myriam,EVP & Chief Medical Officer,2022-02-28,Option Exercise,0,2256,0,Mar 01 02:40 PM
DeSantis Robert,EVP & Chief Product Officer,2022-02-28,Option Exercise,0,2175,0,Mar 01 02:48 PM
Andersen Reiter Kara,Sr VP General Counsel & CCO,2022-02-28,Option Exercise,0,1128,0,Mar 01 02:53 PM
Samath Jamie,Chief Financial Officer,2022-02-28,Option Exercise,0,1257,0,Mar 01 02:57 PM
Widman Fredrik,VP Corporate Controller,2022-02-28,Option Exercise,0,852,0,Mar 01 03:24 PM
Charlton Henry L,Senior Vice President & Chief,2022-02-28,Option Exercise,0,1449,0,Mar 01 03:27 PM
Charlton Henry L,Senior Vice President & Chief,2022-02-26,Option Exercise,0,1284,0,Mar 01 03:27 PM
Widman Fredrik,VP Corporate Controller,2022-02-26,Option Exercise,0,609,0,Mar 01 03:24 PM
Samath Jamie,Chief Financial Officer,2022-02-26,Option Exercise,0,1284,0,Mar 01 02:57 PM
