Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Herkes Claire,"EVP, Conferences",2022-07-15,Option Exercise,0,395,0,Jul 19 04:57 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-08,Sale,267.28,250,66820,Jun 09 04:41 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-07,Sale,266.71,224,59743,Jun 09 04:41 PM
FERGUSON DIANA SUE,Director,2022-06-03,Option Exercise,0,660,0,Jun 03 05:20 PM
SMITH JAMES C,Director,2022-06-03,Option Exercise,0,1029,0,Jun 03 05:15 PM
PAGLIUCA STEPHEN G,Director,2022-06-03,Option Exercise,0,1029,0,Jun 03 05:14 PM
GRABE WILLIAM O,Director,2022-06-03,Option Exercise,0,1029,0,Jun 03 05:13 PM
FUCHS ANNE SUTHERLAND,Director,2022-06-03,Option Exercise,0,1029,0,Jun 03 05:12 PM
CESAN RAUL E,Director,2022-06-03,Option Exercise,0,1029,0,Jun 03 05:10 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-27,Sale,260,1000,260000,May 31 04:58 PM
Kranich Robin B,EVP & CHRO,2022-05-26,Sale,256.95,1321,339431,May 31 04:59 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-26,Sale,255,500,127500,May 31 04:58 PM
Genovese Yvonne,"EVP, Global Product Management",2022-05-26,Sale,255.47,590,150727,May 31 04:57 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-05-23,Sale,250.82,500,125410,May 25 04:34 PM
Allard Kenneth,EVP & CMO,2022-05-08,Option Exercise,0,1028,0,May 10 05:02 PM
Serra Eileen,Director,2022-05-06,Buy,251.99,700,176393,May 10 05:04 PM
Kaufman Jules,"EVP, GC",2022-05-04,Sale,271.27,4541,1231837,May 06 05:01 PM
Allard Kenneth,EVP & CMO,2022-04-30,Option Exercise,0,206,0,May 03 05:10 PM
Kranich Robin B,EVP & CHRO,2022-03-02,Sale,284.22,1548,439973,Mar 04 04:49 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-03-02,Sale,283.28,993,281297,Mar 04 04:47 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-03-01,Sale,273.41,1000,273410,Mar 02 05:11 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-15,Sale,297.08,1000,297080,Feb 17 07:32 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-10,Option Exercise,0,1938,0,Feb 11 05:17 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-10,Option Exercise,0,3667,0,Feb 11 05:19 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-10,Option Exercise,0,3667,0,Feb 11 05:12 PM
Herkes Claire,"EVP, Conferences",2022-02-10,Option Exercise,0,1938,0,Feb 11 05:10 PM
Jain Akhil,"SVP, Consulting",2022-02-10,Option Exercise,0,1938,0,Feb 11 05:07 PM
Kaufman Jules,"EVP, GC",2022-02-10,Option Exercise,0,3667,0,Feb 11 05:09 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-10,Option Exercise,0,485,0,Feb 11 05:02 PM
Kranich Robin B,EVP & CHRO,2022-02-10,Option Exercise,0,3667,0,Feb 11 05:05 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-10,Option Exercise,0,3100,0,Feb 11 05:21 PM
HALL EUGENE A,CEO,2022-02-10,Option Exercise,0,20939,0,Feb 11 05:13 PM
Allard Kenneth,EVP & CMO,2022-02-10,Option Exercise,0,2470,0,Feb 11 05:23 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-10,Option Exercise,0,3584,0,Feb 11 05:18 PM
Kranich Robin B,EVP & CHRO,2022-02-08,Option Exercise,0,3559,0,Feb 10 05:08 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-08,Option Exercise,0,2439,0,Feb 10 05:07 PM
HALL EUGENE A,CEO,2022-02-08,Option Exercise,0,20524,0,Feb 10 05:06 PM
Kaufman Jules,"EVP, GC",2022-02-08,Option Exercise,0,3139,0,Feb 10 05:05 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-08,Option Exercise,0,2904,0,Feb 10 05:02 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-08,Option Exercise,0,492,0,Feb 10 05:04 PM
Herkes Claire,"EVP, Conferences",2022-02-08,Option Exercise,0,547,0,Feb 10 05:01 PM
Allard Kenneth,EVP & CMO,2022-02-08,Option Exercise,0,328,0,Feb 10 04:59 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-08,Option Exercise,0,3559,0,Feb 10 04:58 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-08,Option Exercise,0,601,0,Feb 10 04:57 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-08,Option Exercise,0,3139,0,Feb 10 04:56 PM
Safian Craig,EVP & CFO,2022-02-08,Option Exercise,0,5164,0,Feb 10 04:55 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-06,Option Exercise,0,481,0,Feb 08 06:09 PM
Herkes Claire,"EVP, Conferences",2022-02-06,Option Exercise,0,437,0,Feb 08 06:11 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-06,Option Exercise,0,437,0,Feb 08 06:14 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-06,Option Exercise,0,2167,0,Feb 08 06:17 PM
Safian Craig,EVP & CFO,2022-02-06,Option Exercise,0,4932,0,Feb 08 06:22 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-06,Option Exercise,0,2739,0,Feb 08 06:54 PM
Allard Kenneth,EVP & CMO,2022-02-06,Option Exercise,0,262,0,Feb 08 06:41 PM
Kaufman Jules,"EVP, GC",2022-02-06,Option Exercise,0,2786,0,Feb 08 06:49 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-06,Option Exercise,0,2976,0,Feb 08 06:25 PM
HALL EUGENE A,CEO,2022-02-06,Option Exercise,0,17358,0,Feb 08 06:28 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-06,Option Exercise,0,2566,0,Feb 08 06:33 PM
Kranich Robin B,EVP & CHRO,2022-02-06,Option Exercise,0,2976,0,Feb 08 06:35 PM
Kranich Robin B,EVP & CHRO,2022-02-05,Option Exercise,0,1942,0,Feb 08 06:35 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-05,Option Exercise,0,1785,0,Feb 08 06:33 PM
HALL EUGENE A,CEO,2022-02-05,Option Exercise,0,11195,0,Feb 08 06:28 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-05,Option Exercise,0,1942,0,Feb 08 06:25 PM
Kaufman Jules,"EVP, GC",2022-02-05,Option Exercise,0,1924,0,Feb 08 06:49 PM
Allard Kenneth,EVP & CMO,2022-02-05,Option Exercise,0,1208,0,Feb 08 06:41 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-05,Option Exercise,0,1924,0,Feb 08 06:54 PM
Safian Craig,EVP & CFO,2022-02-05,Option Exercise,0,3218,0,Feb 08 06:22 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-05,Option Exercise,0,1539,0,Feb 08 06:17 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-05,Option Exercise,0,527,0,Feb 08 06:14 PM
Herkes Claire,"EVP, Conferences",2022-02-05,Option Exercise,0,486,0,Feb 08 06:11 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-05,Option Exercise,0,527,0,Feb 08 06:09 PM
FUCHS ANNE SUTHERLAND,Director,2021-12-15,Sale,317.5,3150,1000125,Dec 16 04:36 PM
Dawkins Alwyn,"EVP, Global Business Sales",2021-12-10,Sale,320.29,1000,320290,Dec 14 04:33 PM
DYKSTRA KAREN E,Director,2021-12-07,Sale,315.32,1800,567576,Dec 09 04:21 PM
