Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Field Darren P.,EVP Intermodal,2022-07-28,Sale,179.85,2200,395663,Aug 01 09:08 AM
Scott Stuart Lockard,EVP/CIO,2022-07-15,Option Exercise,0,3000,0,Jul 19 01:55 PM
Bracy Kevin,"SR VP, Treasurer",2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
Hicks Bradley W.,EVP & Pres Highway Services,2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-07-15,Option Exercise,0,6667,0,Jul 19 01:55 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2022-07-15,Option Exercise,0,6667,0,Jul 19 01:55 PM
Kuhlow John,EVP & CFO,2022-07-15,Option Exercise,0,3340,0,Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0,1250,0,Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
Webb Brian,EVP- Final Mile Services,2022-07-15,Option Exercise,0,2500,0,Jul 19 05:17 PM
Scott Stuart Lockard,EVP/CIO,2022-07-15,Option Exercise,0,3000,0,Jul 19 01:55 PM
Bracy Kevin,"SR VP, Treasurer",2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
Hicks Bradley W.,EVP & Pres Highway Services,2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-07-15,Option Exercise,0,6667,0,Jul 19 01:55 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2022-07-15,Option Exercise,0,6667,0,Jul 19 01:55 PM
Kuhlow John,EVP & CFO,2022-07-15,Option Exercise,0,3340,0,Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0,1250,0,Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0,1667,0,Jul 19 01:55 PM
GASAWAY SHARILYN S,Director,2022-05-19,Buy,161.87,650,105214,May 20 11:30 AM
Hicks Bradley W.,EVP & Pres Highway Services,2022-03-07,Sale,204.94,800,163949,Mar 07 02:14 PM
McGee Eric,EVP Highway Services,2022-02-09,Sale,194.34,1765,343001,Feb 09 07:28 PM
Scott Stuart Lockard,EVP/CIO,2022-02-01,Sale,193,5473,1056272,Feb 02 06:01 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2022-01-31,Option Exercise,0,16038,0,Feb 02 06:00 PM
Hicks Bradley W.,EVP & Pres Highway Services,2022-01-31,Option Exercise,0,4177,0,Feb 02 06:00 PM
Kuhlow John,EVP & CFO,2022-01-31,Option Exercise,0,2227,0,Feb 02 06:01 PM
HARPER ALFRED C,"EVP, CSO",2022-01-31,Option Exercise,0,12026,0,Feb 02 06:01 PM
Scott Stuart Lockard,EVP/CIO,2022-01-31,Option Exercise,0,12449,0,Feb 02 06:01 PM
Bracy Kevin,"SR VP, Treasurer",2022-01-31,Option Exercise,0,339,0,Feb 02 06:01 PM
McGee Eric,EVP Highway Services,2022-01-31,Option Exercise,0,2459,0,Feb 02 06:01 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-01-31,Option Exercise,0,424,0,Feb 02 06:01 PM
Field Darren P.,EVP Intermodal,2022-01-31,Option Exercise,0,7412,0,Feb 02 06:00 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-01-31,Option Exercise,0,16038,0,Feb 02 06:00 PM
ROBERTS JOHN N,President and CEO,2022-01-31,Option Exercise,0,45096,0,Feb 02 06:00 PM
Kuhlow John,EVP & CFO,2021-11-12,Sale,201.17,1000,201171,Nov 12 02:19 PM
Hicks Bradley W.,EVP & Pres Highway Services,2021-11-05,Sale,197.1,1000,197097,Nov 08 02:38 PM
McGee Eric,EVP Highway Services,2021-11-03,Sale,194.41,250,48602,Nov 04 03:33 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2021-10-31,Option Exercise,0,659,0,Nov 01 05:37 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2021-10-31,Option Exercise,0,648,0,Nov 01 05:37 PM
Bracy Kevin,"SR VP, Treasurer",2021-10-31,Option Exercise,0,606,0,Nov 01 02:49 PM
Kuhlow John,EVP & CFO,2021-10-31,Option Exercise,0,900,0,Nov 01 02:49 PM
Field Darren P.,EVP Intermodal,2021-10-22,Sale,196.44,1000,196440,Oct 25 12:04 PM
Scott Stuart Lockard,EVP/CIO,2021-09-03,Sale,183.34,1757,322132,Sep 07 01:45 PM
Hicks Bradley W.,EVP & Pres Highway Services,2021-08-27,Sale,179.19,500,89595,Aug 30 02:37 PM
McGee Eric,EVP Highway Services,2021-07-26,Sale,165.53,1300,215189,Jul 28 12:00 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2021-07-15,Option Exercise,0,1885,0,Jul 19 07:40 PM
Scott Stuart Lockard,EVP/CIO,2021-07-15,Option Exercise,0,6048,0,Jul 19 07:29 PM
Kuhlow John,EVP & CFO,2021-07-15,Option Exercise,0,3741,0,Jul 19 07:16 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2021-07-15,Option Exercise,0,9714,0,Jul 19 07:16 PM
McGee Eric,EVP Highway Services,2021-07-15,Option Exercise,0,2181,0,Jul 19 07:04 PM
Bracy Kevin,"SR VP, Treasurer",2021-07-15,Option Exercise,0,1850,0,Jul 19 06:57 PM
ROBERTS JOHN N,President and CEO,2021-07-15,Option Exercise,0,12371,0,Jul 19 06:57 PM
Simpson Shelley,"EVP, CCO & People/HR",2021-07-15,Option Exercise,0,12714,0,Jul 19 06:58 PM
Hicks Bradley W.,EVP & Pres Highway Services,2021-07-15,Option Exercise,0,2181,0,Jul 19 06:58 PM
