Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
VanHimbergen Robert M,VP Corporate Controller,2022-02-25,Option Exercise,33.39,5683,189755,Feb 28 10:42 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-25,Sale,64.44,5683,366213,Feb 28 10:42 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-03,Option Exercise,41.75,8573,357923,Feb 04 10:43 AM
VanHimbergen Robert M,VP Corporate Controller,2022-02-03,Sale,69.63,8573,596938,Feb 04 10:43 AM
Leng Visal,"VP & Pres, APAC BTS",2022-01-12,Option Exercise,33.39,600,20034,Jan 13 04:07 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-12,Sale,81,600,48600,Jan 13 04:07 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-07,Option Exercise,33.39,33723,1126011,Jan 10 03:24 PM
Leng Visal,"VP & Pres, APAC BTS",2022-01-07,Sale,80.13,33723,2702224,Jan 10 03:24 PM
MANNING NATHAN D,"VP & Pres, North America",2021-12-14,Sale,78.47,5144,403650,Dec 14 06:01 PM
Donofrio John,Exec VP & General Counsel,2021-12-13,Sale,78.9,31784,2507670,Dec 13 05:54 PM
MANNING NATHAN D,"VP & Pres, North America",2021-12-13,Sale,79.47,4086,324714,Dec 13 05:53 PM
Williams Jeffrey M,VP & Pres G Prod Bldg Tech Sol,2021-12-10,Sale,78.96,25076,1980001,Dec 10 06:05 PM
Oliver George,Chairman & CEO,2021-08-03,Option Exercise,71.88,176752,12704934,Aug 04 04:42 PM
Oliver George,Chairman & CEO,2021-08-03,Sale,71.88,176752,12705398,Aug 04 04:42 PM
Oliver George,Chairman & CEO,2021-07-06,Option Exercise,68.17,176754,12049320,Jul 07 04:51 PM
Oliver George,Chairman & CEO,2021-07-06,Sale,68.17,176754,12048740,Jul 07 04:51 PM
