Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-07-20,Sale,70.76,146153,10342459,Jul 20 05:33 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-07-11,Sale,72.68,146153,10622561,Jul 11 05:22 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-06-21,Sale,70.61,146153,10320287,Jun 21 01:53 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-06-10,Sale,69.26,146153,10122250,Jun 10 05:36 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-05-20,Sale,66.92,146153,9780500,May 20 04:31 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-05-10,Sale,74.06,146153,10824486,May 11 12:00 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-04-20,Sale,68.4,146153,9996661,Apr 20 03:50 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-04-11,Sale,67.91,146153,9925557,Apr 12 04:20 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-03-21,Sale,61.02,146153,8917935,Mar 22 03:03 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-03-10,Sale,61.26,146153,8952777,Mar 11 04:56 PM
AMAYA NICOLAS,Senior Vice President,2022-03-04,Option Exercise,0,6596,0,Mar 08 04:25 PM
Hirst Alistair D,Senior Vice President,2022-02-23,Sale,66.52,12454,828491,Feb 23 05:11 PM
HOOD CHRISTOPHER M,Senior Vice President,2022-02-23,Sale,66.53,7575,503944,Feb 23 05:11 PM
PILNICK GARY H,Vice Chairman,2022-02-23,Sale,66.53,14506,965077,Feb 23 05:12 PM
BANATI AMIT,SVP & Chief Financial Officer,2022-02-23,Sale,66.53,11054,735387,Feb 23 05:12 PM
BANATI AMIT,SVP & Chief Financial Officer,2022-02-22,Option Exercise,0,3069,0,Feb 23 05:12 PM
McGurk Monica Houle,Senior Vice President,2022-02-22,Option Exercise,0,1975,0,Feb 23 05:12 PM
Howell Melissa A,Senior Vice President,2022-02-22,Option Exercise,0,2824,0,Feb 23 05:11 PM
PILNICK GARY H,Vice Chairman,2022-02-22,Option Exercise,0,4118,0,Feb 23 05:12 PM
HOOD CHRISTOPHER M,Senior Vice President,2022-02-22,Option Exercise,0,4330,0,Feb 23 05:11 PM
LAWLOR DAVID,Senior Vice President,2022-02-22,Option Exercise,0,2165,0,Feb 23 05:12 PM
FORCHE KURT D,VP-Corporate Controller,2022-02-22,Option Exercise,0,770,0,Feb 23 05:12 PM
AMAYA NICOLAS,Senior Vice President,2022-02-22,Option Exercise,0,3683,0,Feb 23 05:12 PM
Hirst Alistair D,Senior Vice President,2022-02-22,Option Exercise,0,3036,0,Feb 23 05:11 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2022-02-22,Sale,66.08,146163,9658115,Feb 22 06:22 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-11-22,Sale,62.7,83334,5225325,Nov 22 05:01 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-11-10,Sale,63.22,83333,5268071,Nov 10 05:11 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-10-20,Sale,61.91,83334,5158900,Oct 20 03:18 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-10-11,Sale,62.73,83333,5227862,Oct 12 05:49 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-09-20,Sale,63.43,83334,5286076,Sep 20 04:23 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-09-10,Sale,62.61,83333,5217296,Sep 10 03:34 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-08-20,Sale,66.38,83332,5531878,Aug 23 11:10 AM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-08-10,Sale,63.79,83331,5315568,Aug 10 05:14 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-07-20,Sale,64.9,83334,5407993,Jul 20 03:50 PM
KELLOGG W K FOUNDATION TRUST,10% Owner,2021-07-12,Sale,63.79,83333,5316079,Jul 13 12:24 PM
