Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Sanders Dax,"VP (Pres., Products Pipelines)",2022-07-31,Option Exercise,0,156531,0,Aug 02 12:22 PM
Holland James E,VP and COO,2022-07-31,Option Exercise,0,71737,0,Aug 02 12:22 PM
Mathews Denise R,VP and Chief Admin. Officer,2022-07-31,Option Exercise,0,33477,0,Aug 02 12:22 PM
James Catherine C.,VP and General Counsel,2022-07-31,Option Exercise,0,38260,0,Aug 02 12:23 PM
Dang Kimberly A,President,2022-07-31,Option Exercise,0,143473,0,Aug 02 12:21 PM
Michels David Patrick,VP and Chief Financial Officer,2022-07-31,Option Exercise,0,35869,0,Aug 02 12:21 PM
Schlosser John W,"V.P. (President, Terminals)",2022-07-25,Sale,18,3000,54000,Jul 26 04:46 PM
Grahmann Kevin P,"V.P., Corporate Development",2022-07-16,Option Exercise,0,8370,0,Jul 19 06:51 PM
ASHLEY ANTHONY B,"VP (President, CO2 and ETV)",2022-07-16,Option Exercise,0,13152,0,Jul 19 06:51 PM
Sanders Dax,"VP (Pres., Products Pipelines)",2022-06-01,Sale,20.08,3600,72279,Jun 03 04:27 PM
Sanders Dax,"VP (Pres., Products Pipelines)",2022-06-01,Sale,20.08,2000,40165,Jun 03 04:27 PM
Schlosser John W,"V.P. (President, Terminals)",2022-05-25,Sale,19.21,1500,28809,May 25 04:59 PM
Schlosser John W,"V.P. (President, Terminals)",2022-04-25,Sale,18.51,1500,27762,Apr 25 05:27 PM
Sanders Dax,"VP (Pres., Products Pipelines)",2022-04-08,Sale,19.51,91129,1777881,Apr 11 05:59 PM
Schlosser John W,"V.P. (President, Terminals)",2022-03-25,Sale,18.34,1500,27518,Mar 28 04:19 PM
Schlosser John W,"V.P. (President, Terminals)",2022-03-02,Sale,18,1500,27000,Mar 03 04:26 PM
Arenivas Jesse,"VP (President, CO2 and ETV)",2022-03-01,Sale,17.47,65000,1135752,Mar 01 05:40 PM
MACDONALD DEBORAH,Director,2021-12-08,Buy,16.24,10000,162400,Dec 10 09:57 AM
VAGT ROBERT F,Director,2021-12-08,Buy,16.34,6000,98016,Dec 10 09:57 AM
HULTQUIST GARY,Director,2021-12-08,Buy,16.27,13000,211497,Dec 10 02:04 PM
Schlosser John W,"V.P. (President, Terminals)",2021-10-12,Sale,18,4500,81000,Oct 12 06:31 PM
MARTIN THOMAS A,"V.P. (Pres.,Nat.Gas Pipelines)",2021-08-06,Sale,17.08,66607,1137648,Aug 06 05:34 PM
Sanders Dax,"VP (Pres., Products Pipelines)",2021-07-31,Option Exercise,0,84794,0,Aug 03 03:37 PM
Mathews Denise R,VP and Chief Admin. Officer,2021-07-31,Option Exercise,0,33918,0,Aug 03 03:36 PM
Michels David Patrick,VP and Chief Financial Officer,2021-07-31,Option Exercise,0,33918,0,Aug 03 03:37 PM
KEAN STEVEN J,Chief Executive Officer,2021-07-31,Option Exercise,0,904466,0,Aug 03 03:35 PM
MARTIN THOMAS A,"V.P. (Pres.,Nat.Gas Pipelines)",2021-07-31,Option Exercise,0,96100,0,Aug 03 03:35 PM
Arenivas Jesse,"VP (President, CO2 and ETV)",2021-07-31,Option Exercise,0,84794,0,Aug 03 03:34 PM
Dang Kimberly A,President,2021-07-31,Option Exercise,0,113059,0,Aug 03 03:34 PM
Holland James E,VP and COO,2021-07-31,Option Exercise,0,73488,0,Aug 03 03:34 PM
Grahmann Kevin P,"V.P., Corporate Development",2021-07-17,Option Exercise,0,7067,0,Jul 19 04:53 PM
Grahmann Kevin P,"V.P., Corporate Development",2021-07-15,Option Exercise,0,6912,0,Jul 19 04:53 PM
